activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,18,entropy,1,1,1,0,1,1,1,0,1,1,0,1,5,adaptive,43,log2,3,15,kneighborsClassifier,7,10,sgd,uniform,0.7545787545787546
logistic,auto,17,gini,1,0,0,1,0,1,0,0,1,1,1,1,13,constant,56,sqrt,9,17,kneighborsClassifier,6,4,lbfgs,uniform,0.7484737484737485
relu,kd_tree,16,entropy,0,0,1,0,0,0,0,0,1,0,0,1,15,constant,38,sqrt,20,28,randomForestClassifier,10,5,sgd,distance,0.8437118437118437
tanh,kd_tree,29,gini,0,0,1,1,0,1,1,1,0,0,1,1,23,invscaling,69,auto,15,23,kneighborsClassifier,8,7,lbfgs,distance,0.7851037851037851
relu,ball_tree,25,gini,1,1,1,0,0,1,0,1,1,1,0,0,34,constant,30,auto,7,34,randomForestClassifier,9,8,adam,distance,0.9194139194139194
relu,kd_tree,8,entropy,1,0,0,0,1,0,0,0,0,1,1,1,3,adaptive,86,sqrt,9,3,randomForestClassifier,9,9,lbfgs,distance,0.8620268620268621
tanh,kd_tree,16,gini,1,1,1,0,0,0,1,1,0,0,0,0,27,constant,94,log2,3,14,randomForestClassifier,3,1,lbfgs,distance,0.873015873015873
tanh,brute,20,entropy,0,0,0,1,1,1,0,0,1,1,1,0,20,constant,100,auto,7,29,kneighborsClassifier,2,1,adam,uniform,0.7289377289377289
logistic,auto,29,gini,0,0,1,0,0,1,0,0,0,1,1,1,13,adaptive,82,auto,15,8,randomForestClassifier,7,6,sgd,uniform,0.9242979242979243
tanh,ball_tree,21,entropy,1,1,0,0,1,1,1,1,1,1,1,0,29,invscaling,20,auto,5,25,nnClassifier,10,10,sgd,uniform,0.590964590964591
tanh,auto,20,gini,1,0,0,1,0,0,1,0,1,0,0,0,10,adaptive,72,log2,15,23,randomForestClassifier,7,6,lbfgs,distance,0.8864468864468864
logistic,auto,16,entropy,0,0,1,0,1,0,1,0,0,1,0,0,39,invscaling,7,log2,9,39,kneighborsClassifier,9,1,adam,distance,0.811965811965812
relu,auto,27,entropy,0,0,0,0,1,1,0,0,1,0,0,0,7,adaptive,77,auto,2,13,nnClassifier,5,4,sgd,distance,0.5946275946275946
relu,auto,13,gini,1,0,1,1,1,1,1,1,0,1,0,0,35,invscaling,8,auto,15,38,kneighborsClassifier,6,6,adam,distance,0.796092796092796
logistic,auto,28,entropy,0,0,1,0,1,0,1,0,0,0,1,1,10,adaptive,8,sqrt,7,36,kneighborsClassifier,2,6,adam,uniform,0.8278388278388278
logistic,auto,19,entropy,0,1,1,1,0,0,1,1,1,0,0,0,13,constant,13,log2,8,16,kneighborsClassifier,9,10,adam,uniform,0.73992673992674
logistic,brute,14,gini,0,1,1,0,1,0,0,0,0,1,1,1,14,constant,1,sqrt,13,17,kneighborsClassifier,9,8,adam,uniform,0.8290598290598291
logistic,kd_tree,13,gini,1,1,0,1,1,1,1,1,1,1,1,1,9,constant,78,sqrt,19,25,kneighborsClassifier,6,2,adam,distance,0.7472527472527473
tanh,brute,10,gini,0,0,1,1,1,1,1,0,0,1,1,0,7,adaptive,23,auto,19,34,kneighborsClassifier,8,9,lbfgs,distance,0.8461538461538461
relu,ball_tree,28,gini,1,1,1,1,0,0,0,0,0,0,1,1,2,adaptive,3,log2,2,14,randomForestClassifier,8,9,lbfgs,distance,0.873015873015873
logistic,auto,29,gini,0,0,1,0,0,1,0,0,0,1,1,1,13,adaptive,82,auto,15,8,randomForestClassifier,7,6,sgd,uniform,0.9242979242979243
relu,ball_tree,25,gini,1,1,1,0,0,1,0,1,1,1,0,0,34,constant,30,auto,7,34,randomForestClassifier,9,8,adam,distance,0.9194139194139194
tanh,auto,20,gini,1,0,0,1,0,0,1,0,1,0,0,0,10,adaptive,72,log2,15,23,randomForestClassifier,7,6,lbfgs,distance,0.8864468864468864
tanh,kd_tree,16,gini,1,1,1,0,0,0,1,1,0,0,0,0,27,constant,94,log2,3,14,randomForestClassifier,3,1,lbfgs,distance,0.873015873015873
relu,ball_tree,28,gini,1,1,1,1,0,0,0,0,0,0,1,1,2,adaptive,3,log2,2,14,randomForestClassifier,8,9,lbfgs,distance,0.873015873015873
relu,kd_tree,8,entropy,1,0,0,0,1,0,0,0,0,1,1,1,3,adaptive,86,sqrt,9,3,randomForestClassifier,9,9,lbfgs,distance,0.8620268620268621
tanh,brute,10,gini,0,0,1,1,1,1,1,0,0,1,1,0,7,adaptive,23,auto,19,34,kneighborsClassifier,8,9,lbfgs,distance,0.8461538461538461
relu,kd_tree,16,entropy,0,0,1,0,0,0,0,0,1,0,0,1,15,constant,38,sqrt,20,28,randomForestClassifier,10,5,sgd,distance,0.8437118437118437
logistic,brute,14,gini,0,1,1,0,1,0,0,0,0,1,1,1,14,constant,1,sqrt,13,17,kneighborsClassifier,9,8,adam,uniform,0.8290598290598291
