activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,0,21,invscaling,32,log2,7,9,randomForestClassifier,1,10,adam,distance,0.9157509157509157
relu,auto,26,gini,1,0,1,1,1,0,1,0,1,0,0,0,12,constant,60,sqrt,12,16,randomForestClassifier,6,7,lbfgs,uniform,0.8901098901098901
tanh,auto,30,entropy,0,1,1,0,1,0,1,1,0,0,0,0,35,adaptive,9,sqrt,15,26,randomForestClassifier,6,3,lbfgs,distance,0.8962148962148963
tanh,ball_tree,13,entropy,1,1,0,1,0,1,0,1,1,0,0,0,5,invscaling,32,sqrt,12,20,randomForestClassifier,1,7,lbfgs,distance,0.8937728937728938
relu,kd_tree,9,entropy,0,0,1,1,0,1,0,0,1,0,0,0,8,adaptive,9,log2,11,18,randomForestClassifier,8,10,sgd,distance,0.8852258852258852
identity,brute,10,entropy,1,0,0,0,0,1,0,1,1,1,0,1,9,adaptive,3,log2,2,18,randomForestClassifier,9,10,adam,distance,0.8901098901098901
logistic,kd_tree,14,entropy,0,1,1,1,0,0,0,1,0,1,1,1,10,constant,68,sqrt,6,19,randomForestClassifier,1,4,adam,uniform,0.8766788766788767
logistic,ball_tree,27,entropy,1,0,0,0,0,0,0,1,0,0,1,1,39,adaptive,95,log2,5,22,kneighborsClassifier,8,10,sgd,uniform,0.7936507936507936
logistic,brute,23,entropy,0,0,0,1,1,1,1,1,0,1,1,1,33,invscaling,26,auto,16,13,randomForestClassifier,4,3,adam,uniform,0.9291819291819292
logistic,brute,23,entropy,0,0,0,1,1,1,1,1,0,1,1,1,33,invscaling,26,auto,16,13,randomForestClassifier,4,3,adam,uniform,0.9291819291819292
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9255189255189256
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,33,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,0,21,invscaling,32,log2,7,9,randomForestClassifier,1,10,adam,distance,0.9157509157509157
