activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,18,gini,1,0,0,1,0,1,1,1,1,0,1,1,3,invscaling,43,log2,16,15,randomForestClassifier,6,10,sgd,distance,0.9194139194139194
tanh,kd_tree,22,entropy,1,0,1,0,1,1,1,1,0,1,1,0,24,constant,20,sqrt,4,15,randomForestClassifier,6,5,adam,uniform,0.9267399267399268
logistic,ball_tree,29,entropy,1,1,0,0,1,0,1,1,0,1,0,1,21,constant,72,sqrt,18,38,randomForestClassifier,4,7,adam,distance,0.9120879120879121
identity,brute,27,gini,1,0,0,0,1,0,0,0,0,0,0,1,6,adaptive,14,auto,3,8,kneighborsClassifier,3,2,lbfgs,distance,0.7423687423687424
tanh,auto,9,gini,1,1,1,0,0,1,0,0,0,0,1,0,22,invscaling,100,sqrt,7,2,nnClassifier,7,7,sgd,distance,0.6019536019536019
relu,auto,29,entropy,0,0,1,1,0,0,0,0,1,1,1,1,32,invscaling,93,sqrt,20,6,kneighborsClassifier,9,10,adam,distance,0.7936507936507936
logistic,brute,28,gini,0,0,0,0,1,1,0,0,1,1,1,1,39,constant,48,auto,4,38,randomForestClassifier,7,8,sgd,distance,0.9084249084249084
identity,brute,30,gini,0,1,1,0,0,0,0,1,0,1,1,0,23,invscaling,2,log2,15,26,kneighborsClassifier,5,2,sgd,uniform,0.7887667887667887
relu,brute,28,entropy,1,1,0,1,0,0,1,0,0,1,0,1,25,adaptive,9,log2,14,36,kneighborsClassifier,2,3,sgd,uniform,0.7753357753357754
relu,brute,24,entropy,1,1,0,0,0,0,1,0,0,0,1,0,9,invscaling,65,auto,13,40,kneighborsClassifier,1,7,adam,distance,0.7912087912087912
identity,ball_tree,16,entropy,1,0,0,0,1,1,0,1,0,0,0,0,27,adaptive,89,auto,14,25,nnClassifier,3,8,sgd,distance,0.5836385836385837
logistic,kd_tree,26,entropy,1,1,1,0,1,1,1,1,0,0,0,1,3,constant,68,auto,8,29,kneighborsClassifier,9,6,sgd,uniform,0.78998778998779
relu,kd_tree,19,gini,0,0,0,0,1,1,1,0,0,0,0,1,14,adaptive,15,log2,13,28,nnClassifier,4,4,lbfgs,uniform,0.5787545787545788
tanh,ball_tree,22,entropy,0,1,1,0,0,0,0,0,1,0,0,1,7,adaptive,53,auto,7,10,kneighborsClassifier,4,8,sgd,distance,0.7875457875457875
logistic,brute,18,entropy,1,0,1,0,0,0,1,0,0,0,1,0,14,constant,31,log2,11,30,kneighborsClassifier,5,8,adam,distance,0.8058608058608059
identity,kd_tree,30,entropy,1,1,0,1,0,1,1,0,0,0,0,0,36,constant,66,log2,12,14,randomForestClassifier,2,3,adam,distance,0.8852258852258852
relu,ball_tree,30,gini,1,1,1,1,0,1,0,0,1,0,0,1,18,invscaling,18,log2,8,38,kneighborsClassifier,2,6,lbfgs,distance,0.7814407814407814
tanh,auto,19,entropy,1,1,1,1,1,1,0,0,1,1,1,0,28,invscaling,48,auto,16,11,nnClassifier,6,2,sgd,uniform,0.5885225885225885
relu,kd_tree,19,gini,1,1,1,0,1,1,1,1,1,1,0,0,18,constant,30,log2,3,30,kneighborsClassifier,10,7,lbfgs,uniform,0.7655677655677655
identity,auto,15,entropy,0,1,1,1,0,0,0,1,0,0,0,0,7,constant,29,auto,17,12,randomForestClassifier,1,3,lbfgs,uniform,0.8571428571428571
tanh,kd_tree,22,entropy,1,0,1,0,1,1,1,1,0,1,1,0,24,constant,20,sqrt,4,15,randomForestClassifier,6,5,adam,uniform,0.9267399267399268
tanh,kd_tree,18,gini,1,0,0,1,0,1,1,1,1,0,1,1,3,invscaling,43,log2,16,15,randomForestClassifier,6,10,sgd,distance,0.9194139194139194
logistic,ball_tree,29,entropy,1,1,0,0,1,0,1,1,0,1,0,1,21,constant,72,sqrt,18,38,randomForestClassifier,4,7,adam,distance,0.9120879120879121
logistic,brute,28,gini,0,0,0,0,1,1,0,0,1,1,1,1,39,constant,48,auto,4,38,randomForestClassifier,7,8,sgd,distance,0.9084249084249084
identity,kd_tree,30,entropy,1,1,0,1,0,1,1,0,0,0,0,0,36,constant,66,log2,12,14,randomForestClassifier,2,3,adam,distance,0.8852258852258852
identity,auto,15,entropy,0,1,1,1,0,0,0,1,0,0,0,0,7,constant,29,auto,17,12,randomForestClassifier,1,3,lbfgs,uniform,0.8571428571428571
logistic,brute,18,entropy,1,0,1,0,0,0,1,0,0,0,1,0,14,constant,31,log2,11,30,kneighborsClassifier,5,8,adam,distance,0.8058608058608059
relu,auto,29,entropy,0,0,1,1,0,0,0,0,1,1,1,1,32,invscaling,93,sqrt,20,6,kneighborsClassifier,9,10,adam,distance,0.7936507936507936
relu,brute,24,entropy,1,1,0,0,0,0,1,0,0,0,1,0,9,invscaling,65,auto,13,40,kneighborsClassifier,1,7,adam,distance,0.7912087912087912
logistic,kd_tree,26,entropy,1,1,1,0,1,1,1,1,0,0,0,1,3,constant,68,auto,8,29,kneighborsClassifier,9,6,sgd,uniform,0.78998778998779
tanh,kd_tree,22,entropy,1,0,1,0,1,1,1,1,1,0,1,1,3,invscaling,31,log2,16,15,randomForestClassifier,6,10,sgd,distance,0.9316239316239316
tanh,kd_tree,18,gini,1,0,0,1,0,1,1,1,0,1,0,1,21,constant,72,sqrt,18,38,randomForestClassifier,4,7,adam,uniform,0.9157509157509157
logistic,ball_tree,29,entropy,1,1,0,0,1,0,1,1,1,1,1,1,39,constant,48,auto,4,38,randomForestClassifier,7,4,sgd,distance,0.9169719169719169
logistic,kd_tree,28,gini,0,0,0,0,1,1,0,0,0,0,0,0,36,constant,66,log2,12,14,randomForestClassifier,2,3,adam,distance,0.873015873015873
identity,kd_tree,30,entropy,1,1,0,1,0,1,1,0,0,0,0,0,7,constant,29,auto,17,12,randomForestClassifier,1,3,lbfgs,uniform,0.884004884004884
identity,auto,15,gini,0,1,1,1,0,0,0,1,0,0,1,0,14,constant,31,log2,11,30,kneighborsClassifier,5,8,adam,distance,0.8192918192918193
logistic,brute,18,entropy,1,0,1,0,0,0,1,0,1,1,1,1,32,invscaling,93,sqrt,20,6,kneighborsClassifier,9,10,adam,distance,0.7936507936507936
relu,auto,29,entropy,1,0,1,1,0,0,0,0,0,0,1,0,9,invscaling,65,auto,13,40,kneighborsClassifier,1,7,adam,distance,0.8253968253968254
relu,brute,24,entropy,1,1,0,1,0,0,1,0,0,0,0,1,3,constant,68,auto,8,29,kneighborsClassifier,9,6,sgd,uniform,0.7985347985347986
logistic,ball_tree,26,entropy,1,0,1,0,1,1,1,1,0,1,1,0,24,constant,20,sqrt,4,15,randomForestClassifier,6,5,adam,uniform,0.9267399267399268
tanh,kd_tree,22,entropy,1,0,1,0,1,1,1,1,1,0,1,1,3,invscaling,31,log2,16,15,randomForestClassifier,6,10,sgd,distance,0.9316239316239316
tanh,kd_tree,22,entropy,1,0,1,0,1,1,1,1,0,1,1,0,24,constant,20,sqrt,4,15,randomForestClassifier,6,5,adam,uniform,0.9267399267399268
logistic,ball_tree,26,entropy,1,0,1,0,1,1,1,1,0,1,1,0,24,constant,20,sqrt,4,15,randomForestClassifier,6,5,adam,uniform,0.9267399267399268
tanh,kd_tree,18,gini,1,0,0,1,0,1,1,1,1,0,1,1,3,invscaling,43,log2,16,15,randomForestClassifier,6,10,sgd,distance,0.9194139194139194
logistic,ball_tree,29,entropy,1,1,0,0,1,0,1,1,1,1,1,1,39,constant,48,auto,4,38,randomForestClassifier,7,4,sgd,distance,0.9169719169719169
tanh,kd_tree,18,gini,1,0,0,1,0,1,1,1,0,1,0,1,21,constant,72,sqrt,18,38,randomForestClassifier,4,7,adam,uniform,0.9157509157509157
logistic,ball_tree,29,entropy,1,1,0,0,1,0,1,1,0,1,0,1,21,constant,72,sqrt,18,38,randomForestClassifier,4,7,adam,distance,0.9120879120879121
logistic,brute,28,gini,0,0,0,0,1,1,0,0,1,1,1,1,39,constant,48,auto,4,38,randomForestClassifier,7,8,sgd,distance,0.9084249084249084
identity,kd_tree,30,entropy,1,1,0,1,0,1,1,0,0,0,0,0,36,constant,66,log2,12,14,randomForestClassifier,2,3,adam,distance,0.8852258852258852
identity,kd_tree,30,entropy,1,1,0,1,0,1,1,0,0,0,0,0,7,constant,29,auto,17,12,randomForestClassifier,1,3,lbfgs,uniform,0.884004884004884
