activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,11,entropy,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,21,invscaling,21,auto,17,6,kneighborsClassifier,6,8,adam,uniform,0.9763636363636363
identity,kd_tree,10,gini,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,28,constant,6,auto,5,27,randomForestClassifier,1,10,sgd,distance,0.8290909090909091
identity,kd_tree,21,gini,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,6,invscaling,28,sqrt,17,28,kneighborsClassifier,9,10,sgd,distance,0.98
tanh,brute,13,entropy,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,2,constant,6,auto,20,37,kneighborsClassifier,4,10,lbfgs,distance,0.9763636363636363
relu,kd_tree,29,entropy,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,23,invscaling,47,auto,10,14,randomForestClassifier,9,8,lbfgs,uniform,0.9454545454545454
relu,kd_tree,18,entropy,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,4,constant,4,sqrt,6,29,randomForestClassifier,6,4,adam,uniform,0.8290909090909091
relu,brute,15,entropy,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,28,adaptive,89,log2,11,23,kneighborsClassifier,4,2,lbfgs,uniform,0.98
relu,kd_tree,25,gini,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,25,adaptive,6,auto,12,14,randomForestClassifier,10,6,lbfgs,uniform,0.8745454545454545
relu,auto,31,gini,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,2,adaptive,12,log2,16,2,randomForestClassifier,2,7,sgd,uniform,0.9418181818181818
identity,kd_tree,24,gini,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,5,invscaling,94,log2,3,23,nnClassifier,3,7,sgd,distance,0.00909090909090909
tanh,ball_tree,32,entropy,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,29,invscaling,64,auto,20,21,kneighborsClassifier,2,9,sgd,uniform,0.9818181818181818
tanh,kd_tree,30,gini,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,5,invscaling,42,auto,11,22,nnClassifier,4,10,sgd,distance,0.0
logistic,kd_tree,21,gini,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,10,constant,83,log2,11,4,nnClassifier,1,9,sgd,distance,0.0
relu,ball_tree,24,entropy,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,24,invscaling,14,auto,19,23,nnClassifier,1,10,lbfgs,uniform,0.0
logistic,kd_tree,9,entropy,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,28,invscaling,59,auto,12,14,kneighborsClassifier,7,7,sgd,uniform,0.9763636363636363
identity,brute,11,gini,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,33,adaptive,28,auto,13,35,nnClassifier,8,1,sgd,distance,0.07454545454545454
identity,ball_tree,16,gini,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,16,constant,8,auto,16,25,kneighborsClassifier,3,8,sgd,distance,0.98
tanh,brute,8,gini,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,9,adaptive,39,auto,17,15,nnClassifier,10,4,adam,distance,0.08727272727272728
identity,kd_tree,18,gini,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,23,invscaling,76,log2,14,23,nnClassifier,1,5,adam,distance,0.012727272727272728
