activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,29,gini,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,7,adaptive,8,log2,13,2,randomForestClassifier,2,1,sgd,distance,0.9236363636363636
tanh,brute,25,entropy,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,32,adaptive,94,sqrt,12,11,nnClassifier,3,6,adam,uniform,0.06363636363636363
tanh,kd_tree,14,gini,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,15,adaptive,91,auto,20,29,randomForestClassifier,3,9,sgd,uniform,0.9509090909090909
tanh,kd_tree,11,gini,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,27,invscaling,28,sqrt,19,39,kneighborsClassifier,1,8,sgd,uniform,0.9745454545454545
tanh,ball_tree,11,entropy,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,13,adaptive,88,log2,17,16,nnClassifier,6,7,sgd,distance,0.07454545454545454
identity,brute,16,entropy,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,3,constant,40,auto,7,26,randomForestClassifier,5,7,sgd,uniform,0.96
tanh,brute,15,gini,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,39,adaptive,57,auto,19,36,randomForestClassifier,3,5,sgd,distance,0.9327272727272727
logistic,brute,29,gini,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,26,invscaling,37,auto,4,23,kneighborsClassifier,4,1,adam,uniform,0.9854545454545455
logistic,ball_tree,32,gini,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,6,constant,58,auto,10,3,randomForestClassifier,2,8,adam,distance,0.9563636363636364
identity,brute,31,entropy,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,23,invscaling,41,log2,2,31,kneighborsClassifier,6,1,lbfgs,distance,0.9890909090909091
relu,brute,12,entropy,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,20,invscaling,53,log2,9,22,nnClassifier,8,5,lbfgs,distance,0.07636363636363637
relu,ball_tree,15,gini,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,33,invscaling,100,sqrt,2,4,kneighborsClassifier,10,5,adam,uniform,0.9872727272727273
tanh,auto,19,entropy,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,38,constant,79,auto,12,7,randomForestClassifier,10,6,adam,distance,0.9581818181818181
tanh,auto,13,entropy,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,29,constant,96,log2,2,15,nnClassifier,3,2,adam,distance,0.07454545454545454
