activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,12,entropy,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,25,invscaling,98,sqrt,9,7,kneighborsClassifier,10,3,sgd,distance,0.9636363636363636
identity,auto,12,entropy,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,15,adaptive,47,auto,7,16,nnClassifier,2,7,sgd,uniform,0.03090909090909091
tanh,ball_tree,32,gini,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,37,invscaling,5,auto,17,16,kneighborsClassifier,7,10,lbfgs,distance,0.98
identity,ball_tree,8,gini,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,34,invscaling,32,auto,20,33,nnClassifier,5,3,sgd,distance,0.05090909090909091
identity,ball_tree,19,entropy,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,5,invscaling,51,auto,18,12,nnClassifier,5,6,sgd,uniform,0.014545454545454545
logistic,kd_tree,24,gini,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,4,invscaling,94,log2,14,20,kneighborsClassifier,2,7,lbfgs,uniform,0.9545454545454546
tanh,brute,27,entropy,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,28,constant,47,sqrt,11,19,kneighborsClassifier,5,7,lbfgs,distance,0.9745454545454545
identity,kd_tree,21,gini,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,31,constant,89,auto,5,18,kneighborsClassifier,3,8,sgd,distance,0.9490909090909091
tanh,kd_tree,25,entropy,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,11,invscaling,51,auto,8,9,randomForestClassifier,8,10,sgd,distance,0.9581818181818181
identity,brute,28,gini,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,30,invscaling,23,log2,5,13,randomForestClassifier,1,6,lbfgs,uniform,0.9563636363636364
tanh,ball_tree,25,gini,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,6,constant,95,log2,3,27,randomForestClassifier,3,10,adam,distance,0.9490909090909091
identity,brute,28,entropy,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,15,adaptive,39,sqrt,4,9,kneighborsClassifier,5,4,adam,uniform,0.9672727272727273
tanh,brute,29,gini,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,28,adaptive,92,log2,6,16,nnClassifier,7,10,lbfgs,uniform,0.10727272727272727
logistic,ball_tree,15,entropy,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,11,adaptive,15,sqrt,9,21,randomForestClassifier,1,6,lbfgs,uniform,0.9563636363636364
identity,ball_tree,32,gini,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,38,invscaling,86,log2,19,25,nnClassifier,9,4,lbfgs,distance,0.09454545454545454
tanh,ball_tree,23,gini,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,33,invscaling,76,auto,2,26,nnClassifier,9,6,adam,distance,0.10545454545454545
relu,ball_tree,31,gini,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,19,constant,26,auto,11,2,randomForestClassifier,1,6,adam,uniform,0.9454545454545454
logistic,kd_tree,27,entropy,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,8,invscaling,84,sqrt,5,14,randomForestClassifier,3,1,adam,distance,0.9490909090909091
logistic,brute,13,entropy,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,18,adaptive,67,sqrt,10,7,nnClassifier,5,10,adam,distance,0.07818181818181819
relu,auto,32,gini,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,38,adaptive,44,log2,12,20,nnClassifier,6,4,lbfgs,distance,0.1
tanh,ball_tree,32,gini,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,37,invscaling,5,auto,17,16,kneighborsClassifier,7,10,lbfgs,distance,0.98
tanh,brute,27,entropy,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,28,constant,47,sqrt,11,19,kneighborsClassifier,5,7,lbfgs,distance,0.9745454545454545
identity,brute,28,entropy,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,15,adaptive,39,sqrt,4,9,kneighborsClassifier,5,4,adam,uniform,0.9672727272727273
logistic,auto,12,entropy,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,25,invscaling,98,sqrt,9,7,kneighborsClassifier,10,3,sgd,distance,0.9636363636363636
tanh,kd_tree,25,entropy,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,11,invscaling,51,auto,8,9,randomForestClassifier,8,10,sgd,distance,0.9581818181818181
identity,brute,28,gini,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,30,invscaling,23,log2,5,13,randomForestClassifier,1,6,lbfgs,uniform,0.9563636363636364
logistic,ball_tree,15,entropy,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,11,adaptive,15,sqrt,9,21,randomForestClassifier,1,6,lbfgs,uniform,0.9563636363636364
logistic,kd_tree,24,gini,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,4,invscaling,94,log2,14,20,kneighborsClassifier,2,7,lbfgs,uniform,0.9545454545454546
identity,kd_tree,21,gini,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,31,constant,89,auto,5,18,kneighborsClassifier,3,8,sgd,distance,0.9490909090909091
tanh,ball_tree,25,gini,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,6,constant,95,log2,3,27,randomForestClassifier,3,10,adam,distance,0.9490909090909091
tanh,ball_tree,32,gini,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,28,constant,47,sqrt,11,19,kneighborsClassifier,5,7,lbfgs,distance,0.9872727272727273
tanh,brute,27,entropy,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,15,adaptive,39,sqrt,4,9,kneighborsClassifier,5,4,adam,uniform,0.9727272727272728
identity,brute,28,entropy,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,25,invscaling,98,sqrt,9,7,kneighborsClassifier,10,3,sgd,distance,0.9709090909090909
logistic,auto,12,entropy,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,11,invscaling,51,auto,8,9,randomForestClassifier,8,10,sgd,distance,0.9545454545454546
tanh,kd_tree,25,entropy,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,30,invscaling,23,log2,11,13,randomForestClassifier,1,6,lbfgs,uniform,0.9545454545454546
identity,brute,28,gini,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,11,adaptive,15,sqrt,9,21,randomForestClassifier,1,6,lbfgs,uniform,0.9490909090909091
logistic,ball_tree,15,entropy,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,4,invscaling,94,log2,14,20,kneighborsClassifier,2,7,lbfgs,uniform,0.9618181818181818
logistic,kd_tree,24,gini,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,31,constant,89,auto,5,18,nnClassifier,3,8,sgd,distance,0.0
identity,kd_tree,21,gini,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,6,constant,95,log2,3,27,randomForestClassifier,3,10,adam,distance,0.9418181818181818
tanh,ball_tree,25,gini,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,37,invscaling,5,auto,17,16,kneighborsClassifier,5,10,lbfgs,distance,0.9818181818181818
tanh,ball_tree,32,gini,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,28,constant,47,sqrt,11,19,kneighborsClassifier,5,7,lbfgs,distance,0.9872727272727273
tanh,ball_tree,25,gini,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,37,invscaling,5,auto,17,16,kneighborsClassifier,5,10,lbfgs,distance,0.9818181818181818
