activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,12,gini,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,7,constant,65,sqrt,16,14,nnClassifier,1,8,adam,uniform,0.012727272727272728
identity,ball_tree,10,gini,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,29,adaptive,94,log2,13,34,kneighborsClassifier,4,3,adam,uniform,0.9927272727272727
tanh,auto,10,entropy,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,11,adaptive,35,sqrt,5,2,kneighborsClassifier,10,6,lbfgs,uniform,0.9818181818181818
identity,auto,29,gini,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,28,constant,42,auto,11,34,nnClassifier,1,9,sgd,uniform,0.012727272727272728
tanh,brute,18,gini,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,25,constant,49,log2,5,16,randomForestClassifier,9,2,sgd,distance,0.9454545454545454
identity,auto,8,entropy,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,30,adaptive,80,auto,13,38,randomForestClassifier,1,2,lbfgs,uniform,0.9327272727272727
relu,kd_tree,25,gini,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,7,constant,20,auto,18,4,nnClassifier,2,5,sgd,uniform,0.056363636363636366
logistic,brute,27,gini,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,17,invscaling,93,log2,18,33,kneighborsClassifier,4,2,sgd,uniform,0.9672727272727273
identity,ball_tree,14,entropy,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,3,adaptive,77,auto,13,25,nnClassifier,9,3,adam,distance,0.08363636363636363
identity,auto,18,entropy,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,28,constant,87,log2,20,39,kneighborsClassifier,2,10,sgd,distance,0.9654545454545455
