feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,0,0,1,1,1,0,0,1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9668674698795181,5.560443162918091
1,1,0,1,0,0,1,0,1,0,0,0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8805220883534136,10.564532041549683
0,0,1,0,1,1,0,0,0,1,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9588353413654619,15.358864784240723
1,0,1,1,0,0,0,1,1,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9779116465863453,19.721699237823486
0,0,0,1,0,0,0,1,1,0,1,0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9487951807228916,24.28913378715515
1,1,0,1,1,1,1,1,1,0,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.8734939759036144,29.18610644340515
1,1,0,0,0,0,1,1,1,1,0,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8825301204819277,33.85565137863159
1,0,1,1,0,1,0,1,0,0,0,1,1,0,nnClassifier,relu,NA,14,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,0.6967871485943775,70.15684247016907
0,0,1,1,0,0,0,1,1,0,1,0,0,0,nnClassifier,relu,NA,12,NA,nan,adaptive,nan,NA,nan,nan,1,nan,sgd,NA,0.7058232931726908,106.8160183429718
1,0,1,0,0,1,0,1,1,1,0,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9337349397590361,111.44242143630981
0,0,0,0,0,0,0,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,26,sqrt,10,33,nan,nan,NA,NA,0.8544176706827309,117.85651922225952
1,0,1,0,1,0,0,1,0,0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9869477911646586,122.4902195930481
1,0,0,0,1,0,0,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,56,sqrt,12,12,nan,nan,NA,NA,0.9759036144578314,127.97376871109009
0,1,1,0,1,0,0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,86,sqrt,13,7,nan,nan,NA,NA,0.9809236947791165,134.17977166175842
0,0,1,1,1,0,1,1,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,sqrt,6,5,nan,nan,NA,NA,0.9789156626506024,139.96946334838867
1,0,1,0,0,0,0,1,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,auto,14,14,nan,nan,NA,NA,0.9829317269076305,145.8673939704895
1,0,1,0,0,0,1,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,sqrt,18,32,nan,nan,NA,NA,0.9759036144578314,152.1527144908905
0,0,1,1,0,0,0,0,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,auto,14,6,nan,nan,NA,NA,0.9497991967871486,157.97340369224548
1,0,0,0,0,0,1,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,8,auto,4,25,nan,nan,NA,NA,0.9618473895582329,163.5806872844696
1,0,1,0,0,0,0,1,0,0,1,0,1,1,nnClassifier,tanh,NA,13,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.7038152610441767,175.56463956832886
1,0,1,1,0,1,1,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,88,log2,17,31,nan,nan,NA,NA,0.9809236947791165,181.91533946990967
1,1,1,1,0,1,1,1,0,1,1,1,0,1,nnClassifier,relu,NA,22,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.7058232931726908,188.70725178718567
1,0,1,0,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,22,auto,8,37,nan,nan,NA,NA,0.9869477911646586,195.31858801841736
1,0,1,0,1,1,0,1,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,62,log2,20,35,nan,nan,NA,NA,0.9759036144578314,200.99096727371216
1,0,1,1,1,1,1,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,97,sqrt,16,34,nan,nan,NA,NA,0.9799196787148594,207.31304168701172
0,1,1,1,0,1,0,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,44,auto,4,16,nan,nan,NA,NA,0.9819277108433735,213.25915598869324
1,0,1,1,1,1,1,1,0,0,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9929718875502008,217.7755765914917
0,0,1,0,1,0,1,1,1,0,0,1,0,0,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9688755020080321,222.49792671203613
1,0,1,0,1,1,1,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,16,auto,18,40,nan,nan,NA,NA,0.9779116465863453,228.67663478851318
0,1,1,0,0,0,0,1,1,0,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9748995983935743,233.36253213882446
1,0,0,0,1,0,1,1,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,38,sqrt,20,26,nan,nan,NA,NA,0.9678714859437751,239.17478251457214
0,1,1,1,1,1,1,1,0,0,1,0,0,0,kneighborsClassifier,NA,brute,nan,NA,17,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9578313253012049,243.44833040237427
1,0,1,0,0,1,1,1,1,0,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9869477911646586,248.21825003623962
1,1,1,1,1,1,1,1,0,1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8694779116465864,252.97566747665405
1,1,1,1,0,1,1,1,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,42,log2,2,22,nan,nan,NA,NA,0.9779116465863453,259.2748272418976
1,1,1,0,1,1,0,1,0,0,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8775100401606426,264.3920726776123
