feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,0,0,0,0,1,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,55,auto,8,3,nan,nan,NA,NA,0.9608433734939759,6.711814880371094
0,1,0,0,0,0,1,0,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,41,auto,19,21,nan,nan,NA,NA,0.8995983935742972,12.808793306350708
1,1,1,0,0,0,0,1,1,0,0,0,1,1,kneighborsClassifier,NA,brute,nan,NA,11,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8453815261044176,18.374431133270264
0,1,1,1,1,1,0,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,14,auto,7,35,nan,nan,NA,NA,0.9779116465863453,25.15575623512268
1,1,1,1,1,1,0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,10,auto,10,30,nan,nan,NA,NA,0.9769076305220884,31.752004146575928
1,1,1,1,0,1,0,1,1,1,1,1,1,1,nnClassifier,logistic,NA,9,NA,nan,constant,nan,NA,nan,nan,2,nan,sgd,NA,0.7369477911646586,79.15576601028442
0,1,1,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,sqrt,14,17,nan,nan,NA,NA,0.9789156626506024,85.47622323036194
1,0,1,0,0,0,1,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,59,sqrt,9,28,nan,nan,NA,NA,0.9698795180722891,91.4379072189331
0,1,0,1,1,1,0,1,1,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9658634538152611,96.70057320594788
0,0,0,1,1,0,0,0,1,1,1,1,0,1,nnClassifier,identity,NA,14,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.75,106.77030372619629
1,0,0,1,0,1,1,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,41,auto,3,21,nan,nan,NA,NA,0.9779116465863453,113.84186816215515
1,1,0,0,1,1,1,1,1,1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.8905622489959839,118.71743297576904
0,0,1,0,0,1,0,0,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,log2,10,20,nan,nan,NA,NA,0.928714859437751,125.03633332252502
1,0,1,1,0,0,0,1,0,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,45,log2,20,23,nan,nan,NA,NA,0.964859437751004,131.10105776786804
0,1,1,1,0,1,1,1,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,28,log2,11,31,nan,nan,NA,NA,0.963855421686747,138.02286648750305
0,0,0,1,1,1,1,0,0,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9819277108433735,143.04036831855774
0,1,1,1,1,1,1,0,1,1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,35,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9668674698795181,148.14239835739136
1,0,1,1,0,0,1,0,0,1,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,6,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9869477911646586,153.48528361320496
1,1,0,1,0,1,0,1,1,1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,16,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8704819277108434,158.71345853805542
0,1,1,1,0,1,1,1,1,1,1,1,1,1,nnClassifier,identity,NA,9,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,0.7469879518072289,163.6038212776184
1,0,1,0,0,1,1,1,0,1,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9979919678714859,168.92143940925598
0,0,0,0,1,1,1,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,34,sqrt,16,32,nan,nan,NA,NA,0.9728915662650602,175.05260181427002
1,1,1,1,1,1,0,1,1,1,1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8634538152610441,180.09581542015076
0,1,1,0,1,1,1,0,0,1,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9497991967871486,184.76219391822815
0,0,1,1,1,0,0,1,0,1,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9849397590361446,190.10755038261414
1,0,0,1,0,1,0,0,1,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9959839357429718,194.98663878440857
0,0,1,1,0,1,0,0,0,1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9819277108433735,199.97051906585693
0,0,0,0,0,0,1,1,0,0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9337349397590361,205.04580855369568
1,0,1,0,0,1,0,1,1,1,1,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9949799196787149,210.6613199710846
0,0,0,1,0,1,1,0,0,1,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9136546184738956,215.58849120140076
1,0,0,1,1,0,0,1,1,1,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9959839357429718,220.80805468559265
1,0,1,0,1,0,0,1,0,1,1,0,1,0,kneighborsClassifier,NA,brute,nan,NA,27,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9929718875502008,225.8011453151703
1,0,0,0,0,0,1,1,1,1,0,0,1,1,kneighborsClassifier,NA,brute,nan,NA,24,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9949799196787149,231.1014506816864
0,0,1,0,1,0,0,1,1,1,1,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9909638554216867,236.14322972297668
1,0,0,0,1,1,1,0,0,1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9869477911646586,241.27270817756653
0,0,1,1,1,1,1,1,0,1,0,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9869477911646586,246.59866952896118
1,0,0,0,0,0,1,1,0,1,1,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,8,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9929718875502008,251.91281938552856
1,0,0,1,1,0,1,0,1,1,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,14,NA,nan,NA,nan,nan,nan,1,NA,distance,0.998995983935743,256.7590618133545
1,1,0,1,1,1,0,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,auto,12,7,nan,nan,NA,NA,0.9698795180722891,263.87055373191833
