feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8849056603773585,5.20231819152832
1,0,nnClassifier,logistic,NA,31,NA,nan,adaptive,nan,NA,nan,nan,8,nan,adam,NA,0.5754716981132075,14.534770250320435
1,0,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,8,NA,distance,0.539622641509434,19.23507523536682
1,1,kneighborsClassifier,NA,brute,nan,NA,12,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8811320754716981,23.853416681289673
1,1,kneighborsClassifier,NA,brute,nan,NA,12,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8943396226415095,28.476094484329224
1,0,kneighborsClassifier,NA,brute,nan,NA,16,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5811320754716981,33.335402965545654
0,1,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.6528301886792452,37.785311698913574
1,1,kneighborsClassifier,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8830188679245283,42.66238784790039
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8943396226415095,47.71248650550842
1,1,nnClassifier,identity,NA,13,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.5622641509433962,52.26911234855652
1,1,kneighborsClassifier,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8924528301886793,57.43754053115845
1,1,kneighborsClassifier,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8867924528301887,62.2831175327301
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,57,sqrt,7,17,nan,nan,NA,NA,0.8849056603773585,67.56051826477051
0,1,kneighborsClassifier,NA,ball_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.6528301886792452,72.08612084388733
1,1,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8867924528301887,76.80324363708496
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8849056603773585,81.61127376556396
1,1,kneighborsClassifier,NA,brute,nan,NA,28,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8886792452830189,85.95145392417908
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8867924528301887,90.41761612892151
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.8943396226415095,95.43604755401611
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,46,log2,4,19,nan,nan,NA,NA,0.8849056603773585,100.5807933807373
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,26,log2,15,28,nan,nan,NA,NA,0.8849056603773585,105.66914081573486
1,1,kneighborsClassifier,NA,brute,nan,NA,31,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8943396226415095,110.24773859977722
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8867924528301887,115.02767062187195
1,1,nnClassifier,tanh,NA,9,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.5113207547169811,132.4220826625824
1,1,kneighborsClassifier,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8773584905660378,137.32646775245667
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,28,log2,3,18,nan,nan,NA,NA,0.8849056603773585,142.23950600624084
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.8943396226415095,147.19141626358032
1,1,nnClassifier,logistic,NA,8,NA,nan,constant,nan,NA,nan,nan,2,nan,sgd,NA,0.5679245283018868,154.19833374023438
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8566037735849057,159.01874375343323
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,12,sqrt,6,11,nan,nan,NA,NA,0.8867924528301887,164.07532501220703
1,1,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8943396226415095,168.3213415145874
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,97,sqrt,3,3,nan,nan,NA,NA,0.8886792452830189,173.4341163635254
1,0,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.5622641509433962,177.7567102909088
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.8943396226415095,182.64951515197754
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8867924528301887,187.3467526435852
1,0,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.5754716981132075,191.9604709148407
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8849056603773585,196.71965718269348
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8773584905660378,201.44790077209473
1,1,nnClassifier,identity,NA,8,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,0.5622641509433962,206.08492040634155
1,1,kneighborsClassifier,NA,auto,nan,NA,13,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.8830188679245283,210.3089141845703
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.8830188679245283,214.55292654037476
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8735849056603774,219.4517683982849
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8886792452830189,223.73004794120789
0,1,kneighborsClassifier,NA,ball_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.6584905660377358,228.21396780014038
1,1,kneighborsClassifier,NA,brute,nan,NA,35,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8867924528301887,233.50176405906677
1,1,kneighborsClassifier,NA,auto,nan,NA,18,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.8943396226415095,238.19841122627258
1,1,kneighborsClassifier,NA,auto,nan,NA,27,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8943396226415095,242.8172059059143
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8924528301886793,247.16360592842102
1,1,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.8943396226415095,251.67305660247803
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8886792452830189,255.87103962898254
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8566037735849057,260.40708208084106
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8943396226415095,264.5581862926483
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8566037735849057,268.63779067993164
1,1,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8886792452830189,273.4177544116974
1,1,kneighborsClassifier,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8886792452830189,277.75987005233765
1,1,kneighborsClassifier,NA,brute,nan,NA,14,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.8830188679245283,282.5563941001892
1,1,kneighborsClassifier,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8566037735849057,286.60678148269653
1,1,kneighborsClassifier,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8943396226415095,291.1549959182739
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8943396226415095,295.79592967033386
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,97,sqrt,17,4,nan,nan,NA,NA,0.8886792452830189,301.146680355072
