feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,nnClassifier,relu,NA,11,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.5528301886792453,8.139740228652954
0,1,nnClassifier,identity,NA,30,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,0.5509433962264151,13.58716630935669
1,1,nnClassifier,relu,NA,20,NA,nan,constant,nan,NA,nan,nan,8,nan,lbfgs,NA,0.5094339622641509,19.962318181991577
1,0,nnClassifier,relu,NA,10,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,0.5528301886792453,27.90997624397278
1,0,kneighborsClassifier,NA,auto,nan,NA,7,NA,nan,NA,nan,nan,nan,4,NA,distance,0.5264150943396226,32.474982261657715
1,1,nnClassifier,relu,NA,10,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.4962264150943396,38.767314434051514
0,1,nnClassifier,relu,NA,10,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.47735849056603774,53.06584143638611
0,0,nnClassifier,identity,NA,27,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,0.0,57.64718413352966
1,1,nnClassifier,tanh,NA,28,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,0.5,72.22419691085815
1,0,nnClassifier,relu,NA,28,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.46226415094339623,77.79220962524414
1,0,nnClassifier,logistic,NA,14,NA,nan,adaptive,nan,NA,nan,nan,5,nan,adam,NA,0.5528301886792453,89.30150079727173
1,0,nnClassifier,logistic,NA,9,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,0.5547169811320755,104.62951827049255
0,0,nnClassifier,logistic,NA,8,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,0.0,109.47050189971924
1,0,nnClassifier,identity,NA,11,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,0.5528301886792453,117.48818826675415
0,0,nnClassifier,identity,NA,31,NA,nan,constant,nan,NA,nan,nan,9,nan,adam,NA,0.0,122.47542643547058
0,0,nnClassifier,logistic,NA,24,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,0.0,128.07466435432434
0,1,nnClassifier,identity,NA,28,NA,nan,constant,nan,NA,nan,nan,5,nan,adam,NA,0.37358490566037733,133.39444303512573
1,0,nnClassifier,tanh,NA,17,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,0.5566037735849056,150.09510469436646
1,1,nnClassifier,logistic,NA,23,NA,nan,adaptive,nan,NA,nan,nan,7,nan,adam,NA,0.5226415094339623,167.09241652488708
1,0,nnClassifier,identity,NA,11,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,0.5452830188679245,175.95195698738098
1,0,nnClassifier,identity,NA,8,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,0.5490566037735849,180.71174907684326
1,0,nnClassifier,tanh,NA,17,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.5509433962264151,189.24399828910828
1,0,nnClassifier,logistic,NA,16,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.5528301886792453,200.9821093082428
0,1,nnClassifier,tanh,NA,30,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.4660377358490566,206.8321876525879
1,0,nnClassifier,identity,NA,24,NA,nan,adaptive,nan,NA,nan,nan,8,nan,adam,NA,0.5528301886792453,213.78628754615784
1,0,nnClassifier,tanh,NA,24,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,0.5584905660377358,228.12089681625366
1,0,nnClassifier,tanh,NA,31,NA,nan,adaptive,nan,NA,nan,nan,5,nan,adam,NA,0.5509433962264151,235.43091249465942
0,1,nnClassifier,identity,NA,31,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.5471698113207547,240.90096831321716
1,0,nnClassifier,tanh,NA,8,NA,nan,adaptive,nan,NA,nan,nan,4,nan,adam,NA,0.5490566037735849,260.48182582855225
1,0,nnClassifier,tanh,NA,22,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,0.5509433962264151,277.1218810081482
