feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,90,sqrt,18,11,nan,nan,NA,NA,0.5867924528301887,5.746200084686279
1,1,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8924528301886793,10.516578197479248
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8905660377358491,15.324188947677612
1,0,kneighborsClassifier,NA,auto,nan,NA,23,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.5641509433962264,19.45618510246277
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8924528301886793,23.602551698684692
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8886792452830189,28.07132077217102
1,1,kneighborsClassifier,NA,auto,nan,NA,18,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,32.68054533004761
1,1,kneighborsClassifier,NA,auto,nan,NA,18,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8849056603773585,36.99481773376465
1,0,kneighborsClassifier,NA,auto,nan,NA,30,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5735849056603773,41.61797308921814
1,1,kneighborsClassifier,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,45.97171974182129
0,1,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.6358490566037736,50.28394412994385
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9,54.798906326293945
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,52,log2,4,7,nan,nan,NA,NA,0.9056603773584906,59.64420413970947
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,20,log2,17,32,nan,nan,NA,NA,0.8905660377358491,64.37810254096985
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,sqrt,7,8,nan,nan,NA,NA,0.9,69.49495553970337
1,1,kneighborsClassifier,NA,brute,nan,NA,13,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,73.81347846984863
0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,79,log2,17,8,nan,nan,NA,NA,0.6471698113207547,78.7509777545929
1,1,kneighborsClassifier,NA,auto,nan,NA,8,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9056603773584906,83.46173310279846
1,1,kneighborsClassifier,NA,auto,nan,NA,34,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,87.79614281654358
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,sqrt,18,6,nan,nan,NA,NA,0.8867924528301887,93.0085186958313
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,sqrt,20,10,nan,nan,NA,NA,0.8943396226415095,97.78385806083679
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,log2,12,4,nan,nan,NA,NA,0.8905660377358491,102.90062212944031
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,80,log2,5,14,nan,nan,NA,NA,0.9056603773584906,108.16983437538147
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,sqrt,5,23,nan,nan,NA,NA,0.8981132075471698,113.29171943664551
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,auto,6,30,nan,nan,NA,NA,0.8660377358490566,118.20954823493958
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,74,log2,4,7,nan,nan,NA,NA,0.9056603773584906,123.2099277973175
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,89,log2,8,6,nan,nan,NA,NA,0.8981132075471698,128.1783835887909
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,96,auto,17,4,nan,nan,NA,NA,0.8905660377358491,132.9704828262329
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,80,log2,19,29,nan,nan,NA,NA,0.8905660377358491,137.84097266197205
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,30,log2,2,39,nan,nan,NA,NA,0.8924528301886793,143.00579571723938
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,log2,4,10,nan,nan,NA,NA,0.8905660377358491,148.13573360443115
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,73,auto,8,7,nan,nan,NA,NA,0.8981132075471698,153.8022656440735
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,79,auto,4,29,nan,nan,NA,NA,0.8924528301886793,159.09187126159668
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,31,auto,2,5,nan,nan,NA,NA,0.8943396226415095,163.9700620174408
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,10,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,168.78217768669128
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,8,log2,9,23,nan,nan,NA,NA,0.8849056603773585,173.73471522331238
1,0,kneighborsClassifier,NA,auto,nan,NA,13,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5754716981132075,178.5865716934204
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,79,log2,8,35,nan,nan,NA,NA,0.8924528301886793,183.67601990699768
0,1,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.6509433962264151,188.44898390769958
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,auto,1,9,nan,nan,NA,NA,0.9037735849056604,193.62354278564453
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,60,sqrt,7,13,nan,nan,NA,NA,0.9,198.71654987335205
0,1,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.6339622641509434,202.759113073349
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,auto,6,17,nan,nan,NA,NA,0.9037735849056604,207.9662549495697
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,22,auto,3,23,nan,nan,NA,NA,0.8943396226415095,213.12521839141846
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,49,log2,3,29,nan,nan,NA,NA,0.8943396226415095,218.4432349205017
1,1,kneighborsClassifier,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8867924528301887,223.26637244224548
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,auto,6,11,nan,nan,NA,NA,0.9,228.2556014060974
1,1,kneighborsClassifier,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8924528301886793,232.72946572303772
1,1,kneighborsClassifier,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9056603773584906,237.44514870643616
1,1,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.8924528301886793,241.6590976715088
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,96,log2,2,19,nan,nan,NA,NA,0.9,247.4044451713562
1,1,kneighborsClassifier,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,252.13710689544678
1,1,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8943396226415095,256.4370222091675
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,62,sqrt,1,21,nan,nan,NA,NA,0.9,261.20922899246216
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,log2,1,5,nan,nan,NA,NA,0.8849056603773585,266.2418444156647
