feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8679245283018868,5.1151344776153564
0,1,kneighborsClassifier,NA,brute,nan,NA,6,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.6433962264150943,9.999754905700684
1,1,kneighborsClassifier,NA,brute,nan,NA,23,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8811320754716981,14.797761678695679
1,0,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,1,NA,distance,0.5754716981132075,19.431784868240356
1,0,kneighborsClassifier,NA,brute,nan,NA,34,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.6056603773584905,23.723055601119995
0,1,kneighborsClassifier,NA,auto,nan,NA,23,NA,nan,NA,nan,nan,nan,6,NA,distance,0.6471698113207547,28.050972938537598
1,1,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8905660377358491,32.50321698188782
1,1,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8509433962264151,37.13460922241211
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8905660377358491,42.70850086212158
1,1,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8849056603773585,47.20673060417175
1,1,kneighborsClassifier,NA,auto,nan,NA,22,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8943396226415095,51.67939901351929
1,1,kneighborsClassifier,NA,auto,nan,NA,33,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8679245283018868,56.396655559539795
0,1,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,7,NA,distance,0.6566037735849056,61.340251207351685
1,1,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8867924528301887,65.88364100456238
1,1,kneighborsClassifier,NA,brute,nan,NA,31,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8943396226415095,70.34083318710327
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8905660377358491,75.02768468856812
1,1,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8886792452830189,79.50461840629578
1,1,kneighborsClassifier,NA,auto,nan,NA,24,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8754716981132076,84.64780378341675
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8811320754716981,89.59133625030518
1,1,kneighborsClassifier,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8811320754716981,94.18854331970215
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8886792452830189,98.71684241294861
1,1,kneighborsClassifier,NA,brute,nan,NA,21,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8849056603773585,103.13384962081909
1,1,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8905660377358491,107.25969195365906
1,1,kneighborsClassifier,NA,brute,nan,NA,35,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8905660377358491,111.58567142486572
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8754716981132076,115.69916319847107
1,0,kneighborsClassifier,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,9,NA,distance,0.620754716981132,120.35677671432495
0,1,kneighborsClassifier,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,9,NA,distance,0.6528301886792452,125.16590142250061
1,0,kneighborsClassifier,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,4,NA,distance,0.6226415094339622,129.68751430511475
