feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,nnClassifier,relu,NA,24,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.4962264150943396,6.976823329925537
1,0,nnClassifier,identity,NA,18,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.569811320754717,12.444084405899048
1,0,kneighborsClassifier,NA,auto,nan,NA,21,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.6,16.72968316078186
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8981132075471698,21.346007585525513
0,1,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,2,NA,distance,0.6377358490566037,25.885064840316772
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8886792452830189,30.36556124687195
1,0,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.5849056603773585,35.31376838684082
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9075471698113208,40.12252640724182
1,0,kneighborsClassifier,NA,ball_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.569811320754717,44.57476043701172
0,1,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.6773584905660377,49.016643047332764
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8981132075471698,53.71665978431702
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9075471698113208,58.68755006790161
1,0,kneighborsClassifier,NA,ball_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.5528301886792453,63.36490988731384
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9075471698113208,67.85960817337036
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9075471698113208,72.30996322631836
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9075471698113208,76.65295147895813
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.909433962264151,81.61539578437805
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9075471698113208,86.10586595535278
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9150943396226415,90.47426295280457
