feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,kneighborsClassifier,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.6811320754716981,211.6200761795044
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9018867924528302,216.60789728164673
1,1,kneighborsClassifier,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9018867924528302,221.1982638835907
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,225.80964875221252
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9018867924528302,231.20626997947693
0,1,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.5735849056603773,235.98968267440796
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,240.89930868148804
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8754716981132076,246.0768084526062
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,64,log2,11,32,nan,nan,NA,NA,0.879245283018868,251.15703558921814
1,1,kneighborsClassifier,NA,auto,nan,NA,40,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,256.2983064651489
0,0,kneighborsClassifier,NA,auto,nan,NA,28,NA,nan,NA,nan,nan,nan,10,NA,distance,0.0,260.9739201068878
1,0,kneighborsClassifier,NA,auto,nan,NA,27,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.569811320754717,265.3759877681732
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,270.5230848789215
1,1,kneighborsClassifier,NA,auto,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,275.98831510543823
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,281.55521297454834
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,286.27984285354614
1,1,kneighborsClassifier,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,291.54712200164795
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,296.81543612480164
0,0,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,6,NA,distance,0.0,301.0894663333893
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,306.65756011009216
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,311.91770911216736
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,316.48076272010803
1,1,kneighborsClassifier,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,321.3105034828186
1,1,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,326.5137414932251
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,331.7875921726227
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,336.9340012073517
1,1,kneighborsClassifier,NA,auto,nan,NA,22,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,342.94419717788696
1,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,347.61523509025574
1,1,kneighborsClassifier,NA,auto,nan,NA,27,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,352.1500642299652
1,1,kneighborsClassifier,NA,brute,nan,NA,21,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,356.9241142272949
1,1,kneighborsClassifier,NA,brute,nan,NA,28,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,362.0848195552826
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,366.8108820915222
1,0,kneighborsClassifier,NA,auto,nan,NA,7,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.5584905660377358,371.4780170917511
1,1,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,376.5988960266113
1,0,kneighborsClassifier,NA,auto,nan,NA,3,NA,nan,NA,nan,nan,nan,10,NA,distance,0.5471698113207547,381.36447978019714
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,386.3199965953827
1,1,kneighborsClassifier,NA,brute,nan,NA,14,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,391.6305556297302
1,1,kneighborsClassifier,NA,brute,nan,NA,17,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,396.19058775901794
1,1,kneighborsClassifier,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,400.64835953712463
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,405.9717903137207
1,1,kneighborsClassifier,NA,brute,nan,NA,18,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,410.4112660884857
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8962264150943396,415.8492343425751
1,1,kneighborsClassifier,NA,brute,nan,NA,34,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,420.1293776035309
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,424.7288613319397
1,1,kneighborsClassifier,NA,brute,nan,NA,34,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,429.5995018482208
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,434.09727358818054
1,1,kneighborsClassifier,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,438.69758200645447
1,0,kneighborsClassifier,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,7,NA,distance,0.5452830188679245,443.4736957550049
1,1,kneighborsClassifier,NA,auto,nan,NA,23,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,448.7851514816284
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,8,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,453.17661142349243
1,1,kneighborsClassifier,NA,brute,nan,NA,24,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,457.56331491470337
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,461.91315054893494
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,466.6909499168396
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,471.0231063365936
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,475.67062067985535
0,0,kneighborsClassifier,NA,auto,nan,NA,24,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.0,480.82609486579895
1,1,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,485.74767303466797
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,490.31287384033203
