activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,23,gini,0,1,0,0,1,0,15,invscaling,46,sqrt,8,13,randomForestClassifier,4,8,lbfgs,distance,0.9821109123434705
relu,ball_tree,16,entropy,1,0,0,1,0,1,4,constant,9,log2,12,32,randomForestClassifier,1,5,sgd,uniform,0.9803220035778175
relu,ball_tree,29,entropy,1,0,0,1,1,0,3,constant,64,log2,6,36,kneighborsClassifier,10,7,sgd,distance,0.9856887298747764
logistic,auto,26,gini,1,0,1,1,0,0,23,invscaling,37,log2,19,31,nnClassifier,4,1,sgd,uniform,1.0
identity,auto,18,entropy,1,0,0,0,0,0,2,invscaling,79,sqrt,18,10,nnClassifier,6,3,adam,uniform,1.0
identity,kd_tree,9,gini,1,0,0,1,1,1,12,constant,35,log2,4,12,kneighborsClassifier,9,10,sgd,uniform,0.9892665474060823
tanh,auto,30,gini,1,0,1,1,0,0,29,invscaling,66,sqrt,6,14,randomForestClassifier,8,4,sgd,uniform,0.9847942754919499
tanh,brute,25,gini,1,0,1,0,0,0,7,constant,68,auto,20,37,nnClassifier,9,2,lbfgs,uniform,1.0
logistic,auto,29,entropy,0,0,1,1,0,0,38,invscaling,36,sqrt,15,13,randomForestClassifier,5,8,adam,distance,0.983005366726297
identity,kd_tree,12,gini,0,1,1,1,1,0,40,adaptive,28,sqrt,13,19,nnClassifier,1,3,lbfgs,uniform,1.0
logistic,ball_tree,9,gini,1,0,0,0,1,0,25,adaptive,82,log2,20,3,randomForestClassifier,1,3,sgd,uniform,0.983005366726297
identity,kd_tree,27,entropy,1,1,1,1,0,1,37,constant,85,auto,3,6,randomForestClassifier,1,7,sgd,distance,0.9856887298747764
identity,brute,12,entropy,0,0,1,0,0,0,35,invscaling,64,log2,12,11,randomForestClassifier,3,10,adam,distance,0.9776386404293381
logistic,ball_tree,21,gini,1,1,0,1,1,1,40,constant,28,auto,18,32,nnClassifier,3,1,adam,distance,1.0
relu,ball_tree,13,entropy,0,0,1,1,1,0,37,constant,98,log2,5,34,randomForestClassifier,2,5,lbfgs,distance,0.9865831842576028
identity,auto,19,gini,0,1,1,1,1,0,30,constant,72,log2,8,9,randomForestClassifier,2,7,lbfgs,distance,0.9892665474060823
relu,brute,12,gini,1,0,0,1,1,0,19,constant,4,sqrt,11,30,kneighborsClassifier,10,8,sgd,uniform,0.9874776386404294
logistic,kd_tree,24,gini,0,0,0,0,1,1,39,adaptive,6,log2,7,27,randomForestClassifier,1,2,lbfgs,uniform,0.9856887298747764
relu,kd_tree,24,entropy,0,1,0,1,0,1,25,invscaling,98,log2,3,36,nnClassifier,9,10,adam,uniform,1.0
identity,ball_tree,26,entropy,1,0,1,1,1,1,36,adaptive,100,sqrt,6,3,nnClassifier,8,4,lbfgs,uniform,1.0
logistic,auto,26,gini,1,0,1,1,0,0,23,invscaling,37,log2,19,31,nnClassifier,4,1,sgd,uniform,1.0
identity,auto,18,entropy,1,0,0,0,0,0,2,invscaling,79,sqrt,18,10,nnClassifier,6,3,adam,uniform,1.0
tanh,brute,25,gini,1,0,1,0,0,0,7,constant,68,auto,20,37,nnClassifier,9,2,lbfgs,uniform,1.0
identity,kd_tree,12,gini,0,1,1,1,1,0,40,adaptive,28,sqrt,13,19,nnClassifier,1,3,lbfgs,uniform,1.0
logistic,ball_tree,21,gini,1,1,0,1,1,1,40,constant,28,auto,18,32,nnClassifier,3,1,adam,distance,1.0
relu,kd_tree,24,entropy,0,1,0,1,0,1,25,invscaling,98,log2,3,36,nnClassifier,9,10,adam,uniform,1.0
identity,ball_tree,26,entropy,1,0,1,1,1,1,36,adaptive,100,sqrt,6,3,nnClassifier,8,4,lbfgs,uniform,1.0
identity,kd_tree,9,gini,1,0,0,1,1,1,12,constant,35,log2,4,12,kneighborsClassifier,9,10,sgd,uniform,0.9892665474060823
identity,auto,19,gini,0,1,1,1,1,0,30,constant,72,log2,8,9,randomForestClassifier,2,7,lbfgs,distance,0.9892665474060823
relu,brute,12,gini,1,0,0,1,1,0,19,constant,4,sqrt,11,30,kneighborsClassifier,10,8,sgd,uniform,0.9874776386404294
logistic,auto,26,gini,1,0,1,1,0,0,2,invscaling,79,sqrt,18,10,nnClassifier,6,3,adam,uniform,1.0
identity,auto,18,entropy,1,0,1,0,0,0,7,constant,68,auto,20,37,nnClassifier,9,2,lbfgs,uniform,1.0
tanh,brute,25,gini,1,0,1,0,0,0,40,adaptive,65,sqrt,13,19,nnClassifier,1,3,lbfgs,uniform,1.0
identity,kd_tree,12,gini,0,1,1,1,1,1,40,constant,28,auto,18,32,nnClassifier,3,1,adam,distance,1.0
logistic,ball_tree,21,gini,1,1,0,1,1,1,25,invscaling,98,log2,3,36,nnClassifier,9,10,adam,uniform,1.0
relu,kd_tree,24,entropy,0,1,0,1,0,1,36,adaptive,100,sqrt,6,3,nnClassifier,1,4,lbfgs,uniform,1.0
identity,ball_tree,26,entropy,1,0,1,1,1,1,12,constant,35,sqrt,4,29,kneighborsClassifier,9,10,sgd,uniform,0.9892665474060823
identity,kd_tree,9,gini,1,0,0,1,1,0,30,constant,72,log2,8,9,randomForestClassifier,2,7,lbfgs,distance,0.9865831842576028
identity,auto,19,gini,0,0,1,1,1,0,19,constant,4,sqrt,11,30,kneighborsClassifier,10,8,sgd,uniform,0.9874776386404294
relu,brute,23,gini,1,0,0,1,1,0,23,invscaling,37,log2,19,38,nnClassifier,7,1,sgd,uniform,1.0
logistic,auto,26,gini,1,0,1,1,0,0,23,invscaling,37,log2,19,31,nnClassifier,4,1,sgd,uniform,1.0
identity,auto,18,entropy,1,0,0,0,0,0,2,invscaling,79,sqrt,18,10,nnClassifier,6,3,adam,uniform,1.0
tanh,brute,25,gini,1,0,1,0,0,0,7,constant,68,auto,20,37,nnClassifier,9,2,lbfgs,uniform,1.0
identity,kd_tree,12,gini,0,1,1,1,1,0,40,adaptive,28,sqrt,13,19,nnClassifier,1,3,lbfgs,uniform,1.0
logistic,ball_tree,21,gini,1,1,0,1,1,1,40,constant,28,auto,18,32,nnClassifier,3,1,adam,distance,1.0
relu,kd_tree,24,entropy,0,1,0,1,0,1,25,invscaling,98,log2,3,36,nnClassifier,9,10,adam,uniform,1.0
identity,ball_tree,26,entropy,1,0,1,1,1,1,36,adaptive,100,sqrt,6,3,nnClassifier,8,4,lbfgs,uniform,1.0
