activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,29,entropy,0,0,1,1,1,0,22,adaptive,66,auto,19,27,nnClassifier,10,3,adam,distance,1.0
relu,ball_tree,31,gini,0,0,0,1,1,0,11,constant,70,sqrt,2,32,randomForestClassifier,10,2,sgd,distance,0.9856887298747764
tanh,kd_tree,13,entropy,0,0,1,0,1,1,21,adaptive,82,log2,9,33,kneighborsClassifier,1,7,sgd,uniform,0.9874776386404294
identity,kd_tree,10,gini,1,1,1,0,1,0,33,constant,78,auto,14,21,nnClassifier,2,10,adam,uniform,1.0
identity,kd_tree,30,gini,0,1,0,1,1,1,22,adaptive,70,log2,16,7,randomForestClassifier,2,9,adam,uniform,0.9874776386404294
logistic,brute,25,gini,1,0,0,0,0,0,7,adaptive,49,sqrt,15,28,kneighborsClassifier,7,4,lbfgs,distance,0.9633273703041145
relu,brute,30,entropy,0,0,1,0,1,0,33,constant,100,sqrt,16,38,nnClassifier,10,8,adam,distance,1.0
tanh,auto,24,entropy,0,0,1,0,0,1,7,invscaling,13,auto,13,15,randomForestClassifier,8,5,lbfgs,distance,0.983005366726297
logistic,brute,22,entropy,1,0,1,1,0,1,38,invscaling,73,sqrt,4,26,kneighborsClassifier,10,10,sgd,distance,0.983005366726297
tanh,brute,32,gini,1,1,1,0,1,1,32,adaptive,27,sqrt,13,8,randomForestClassifier,7,5,sgd,distance,0.9856887298747764
logistic,ball_tree,27,entropy,1,1,0,0,0,1,16,constant,4,sqrt,10,31,kneighborsClassifier,9,4,sgd,uniform,0.9874776386404294
identity,kd_tree,32,entropy,1,1,0,0,1,1,6,constant,30,sqrt,15,40,nnClassifier,9,2,lbfgs,distance,1.0
relu,brute,12,gini,0,1,0,0,0,0,15,constant,94,sqrt,15,31,nnClassifier,2,5,lbfgs,distance,1.0
relu,auto,12,gini,0,1,0,0,0,1,17,adaptive,5,log2,6,5,nnClassifier,10,7,adam,uniform,1.0
relu,ball_tree,20,gini,0,1,1,0,1,0,30,constant,1,auto,7,24,nnClassifier,6,1,lbfgs,uniform,1.0
