activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,29,entropy,0,0,1,0,1,1,23,adaptive,29,sqrt,7,14,kneighborsClassifier,10,6,adam,uniform,0.9794275491949911
logistic,kd_tree,12,gini,0,1,1,1,1,0,27,invscaling,97,sqrt,16,33,kneighborsClassifier,9,7,sgd,uniform,0.983005366726297
relu,ball_tree,28,gini,1,1,0,1,0,1,8,invscaling,81,sqrt,2,4,nnClassifier,6,7,sgd,uniform,1.0
logistic,kd_tree,11,entropy,0,0,0,0,0,1,24,invscaling,58,auto,18,17,randomForestClassifier,9,8,adam,uniform,0.9776386404293381
tanh,brute,32,gini,0,1,1,0,0,0,35,invscaling,78,log2,15,34,randomForestClassifier,10,9,lbfgs,distance,0.9776386404293381
tanh,auto,19,entropy,0,0,0,1,1,1,13,invscaling,95,sqrt,5,4,kneighborsClassifier,2,10,lbfgs,uniform,0.9821109123434705
logistic,auto,15,entropy,0,0,1,0,1,1,7,adaptive,27,log2,5,13,kneighborsClassifier,3,5,sgd,distance,0.9776386404293381
tanh,kd_tree,17,gini,0,0,1,1,0,1,15,adaptive,23,auto,5,23,randomForestClassifier,5,1,lbfgs,distance,0.9803220035778175
relu,kd_tree,10,entropy,1,0,1,0,1,0,4,adaptive,94,auto,19,10,kneighborsClassifier,8,3,adam,distance,0.9767441860465116
identity,ball_tree,14,gini,1,1,1,0,1,1,4,invscaling,15,sqrt,3,37,kneighborsClassifier,7,3,sgd,uniform,0.981216457960644
identity,kd_tree,13,gini,0,0,1,0,1,1,32,invscaling,58,auto,9,3,kneighborsClassifier,2,3,adam,uniform,0.9776386404293381
relu,brute,15,gini,0,1,0,1,0,1,23,adaptive,97,sqrt,14,23,kneighborsClassifier,7,4,sgd,distance,0.9740608228980322
identity,brute,18,entropy,1,0,1,0,1,0,3,invscaling,49,log2,11,14,kneighborsClassifier,7,10,lbfgs,distance,0.9785330948121646
identity,ball_tree,15,entropy,1,1,1,0,1,1,32,invscaling,65,log2,9,11,kneighborsClassifier,3,7,sgd,uniform,0.981216457960644
logistic,auto,22,gini,0,1,1,0,1,0,36,invscaling,59,auto,20,28,randomForestClassifier,4,4,lbfgs,uniform,0.9785330948121646
logistic,kd_tree,11,entropy,0,1,1,0,1,1,23,invscaling,87,log2,19,32,randomForestClassifier,1,3,adam,uniform,0.9794275491949911
tanh,brute,17,entropy,1,0,1,1,1,0,4,invscaling,96,log2,17,2,kneighborsClassifier,5,6,lbfgs,uniform,0.983005366726297
tanh,kd_tree,24,entropy,0,1,0,0,1,1,21,constant,8,log2,8,7,nnClassifier,8,3,adam,distance,1.0
tanh,brute,28,gini,0,0,0,1,0,0,39,invscaling,90,auto,10,2,randomForestClassifier,5,10,adam,distance,0.9803220035778175
logistic,ball_tree,32,gini,1,1,0,0,0,0,16,adaptive,73,auto,18,18,kneighborsClassifier,9,7,lbfgs,uniform,0.9803220035778175
relu,ball_tree,28,gini,1,1,0,1,0,1,8,invscaling,81,sqrt,2,4,nnClassifier,6,7,sgd,uniform,1.0
tanh,kd_tree,24,entropy,0,1,0,0,1,1,21,constant,8,log2,8,7,nnClassifier,8,3,adam,distance,1.0
logistic,kd_tree,12,gini,0,1,1,1,1,0,27,invscaling,97,sqrt,16,33,kneighborsClassifier,9,7,sgd,uniform,0.983005366726297
tanh,brute,17,entropy,1,0,1,1,1,0,4,invscaling,96,log2,17,2,kneighborsClassifier,5,6,lbfgs,uniform,0.983005366726297
tanh,auto,19,entropy,0,0,0,1,1,1,13,invscaling,95,sqrt,5,4,kneighborsClassifier,2,10,lbfgs,uniform,0.9821109123434705
identity,ball_tree,14,gini,1,1,1,0,1,1,4,invscaling,15,sqrt,3,37,kneighborsClassifier,7,3,sgd,uniform,0.981216457960644
identity,ball_tree,15,entropy,1,1,1,0,1,1,32,invscaling,65,log2,9,11,kneighborsClassifier,3,7,sgd,uniform,0.981216457960644
tanh,kd_tree,17,gini,0,0,1,1,0,1,15,adaptive,23,auto,5,23,randomForestClassifier,5,1,lbfgs,distance,0.9803220035778175
tanh,brute,28,gini,0,0,0,1,0,0,39,invscaling,90,auto,10,2,randomForestClassifier,5,10,adam,distance,0.9803220035778175
logistic,ball_tree,32,gini,1,1,0,0,0,0,16,adaptive,73,auto,18,18,kneighborsClassifier,9,7,lbfgs,uniform,0.9803220035778175
relu,ball_tree,25,gini,1,1,0,1,0,1,21,constant,8,log2,8,7,nnClassifier,8,3,adam,distance,1.0
tanh,kd_tree,24,entropy,0,1,0,0,1,0,27,invscaling,97,sqrt,16,33,kneighborsClassifier,9,7,adam,uniform,0.9758497316636852
logistic,kd_tree,12,gini,0,1,1,1,1,0,4,invscaling,96,log2,17,2,kneighborsClassifier,5,6,lbfgs,uniform,0.9821109123434705
tanh,brute,17,entropy,1,0,1,1,1,1,13,invscaling,95,sqrt,5,4,kneighborsClassifier,2,10,lbfgs,uniform,0.9821109123434705
tanh,auto,19,entropy,0,0,0,1,1,1,4,invscaling,15,sqrt,3,37,kneighborsClassifier,7,3,sgd,uniform,0.9794275491949911
identity,ball_tree,14,gini,1,1,1,0,0,1,32,invscaling,65,log2,9,11,kneighborsClassifier,2,7,sgd,uniform,0.9883720930232558
identity,ball_tree,15,entropy,1,1,1,0,0,1,15,adaptive,23,auto,5,23,randomForestClassifier,10,1,lbfgs,distance,0.9821109123434705
tanh,kd_tree,17,gini,0,0,1,1,0,0,39,invscaling,90,auto,10,2,randomForestClassifier,5,10,adam,distance,0.983005366726297
tanh,brute,28,entropy,0,0,0,1,0,0,16,adaptive,73,sqrt,8,18,kneighborsClassifier,9,7,lbfgs,uniform,0.9767441860465116
logistic,ball_tree,32,gini,1,1,0,0,0,1,8,invscaling,81,sqrt,2,27,nnClassifier,6,7,sgd,uniform,1.0
relu,ball_tree,28,gini,1,1,0,1,0,1,8,invscaling,81,sqrt,2,4,nnClassifier,6,7,sgd,uniform,1.0
tanh,kd_tree,24,entropy,0,1,0,0,1,1,21,constant,8,log2,8,7,nnClassifier,8,3,adam,distance,1.0
relu,ball_tree,25,gini,1,1,0,1,0,1,21,constant,8,log2,8,7,nnClassifier,8,3,adam,distance,1.0
