activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,27,entropy,0,0,1,1,1,0,1,13,constant,52,sqrt,9,25,randomForestClassifier,5,10,lbfgs,uniform,0.6213307240704501
tanh,auto,13,entropy,0,1,1,0,1,0,1,29,constant,52,sqrt,11,36,randomForestClassifier,3,7,adam,uniform,0.5978473581213307
logistic,brute,18,gini,0,0,0,0,1,0,1,7,invscaling,66,log2,17,37,kneighborsClassifier,8,3,adam,uniform,0.46477495107632094
logistic,brute,13,gini,1,1,0,1,0,0,1,36,constant,85,sqrt,8,8,nnClassifier,3,8,lbfgs,uniform,0.004892367906066536
identity,ball_tree,15,gini,1,0,1,0,0,1,1,39,constant,28,auto,3,40,randomForestClassifier,3,9,adam,uniform,0.6135029354207436
tanh,ball_tree,11,entropy,0,0,0,1,1,0,1,22,invscaling,75,sqrt,5,23,nnClassifier,9,2,lbfgs,distance,0.016634050880626222
logistic,brute,22,entropy,0,0,1,1,1,0,1,23,constant,65,sqrt,16,35,kneighborsClassifier,8,6,sgd,distance,0.8855185909980431
tanh,kd_tree,8,entropy,0,0,0,1,0,1,1,17,constant,43,auto,8,3,kneighborsClassifier,3,7,adam,distance,0.8483365949119374
logistic,ball_tree,19,entropy,0,0,1,0,1,1,1,15,adaptive,14,auto,11,30,nnClassifier,6,5,adam,uniform,0.03718199608610567
logistic,auto,29,entropy,0,1,1,0,1,1,1,13,invscaling,62,auto,14,15,kneighborsClassifier,5,8,lbfgs,distance,0.8943248532289628
tanh,brute,30,entropy,0,1,0,0,1,1,1,30,constant,9,auto,5,13,nnClassifier,1,3,adam,distance,0.003913894324853229
tanh,kd_tree,27,gini,0,0,0,0,1,0,0,27,adaptive,62,sqrt,3,3,randomForestClassifier,4,10,adam,uniform,0.22309197651663404
identity,brute,25,gini,0,0,0,0,1,0,1,18,adaptive,69,log2,3,39,kneighborsClassifier,6,8,adam,uniform,0.3953033268101761
tanh,auto,11,gini,0,1,0,0,1,1,1,36,adaptive,73,auto,9,16,nnClassifier,3,2,sgd,uniform,0.015655577299412915
identity,auto,13,entropy,0,1,0,0,0,0,1,17,adaptive,19,log2,17,13,kneighborsClassifier,9,9,lbfgs,distance,0.7309197651663405
tanh,kd_tree,21,gini,1,1,0,1,1,1,1,25,adaptive,60,sqrt,10,23,kneighborsClassifier,3,8,adam,uniform,0.5821917808219178
