activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,8,gini,1,1,1,1,0,0,0,24,invscaling,16,auto,4,28,kneighborsClassifier,2,4,adam,distance,0.6731898238747553
logistic,kd_tree,21,gini,0,0,1,0,1,0,0,9,adaptive,14,sqrt,9,13,kneighborsClassifier,8,6,sgd,uniform,0.43933463796477495
relu,ball_tree,25,entropy,0,1,1,0,1,0,1,15,constant,38,sqrt,17,20,randomForestClassifier,9,8,sgd,uniform,0.5753424657534246
identity,auto,13,gini,1,1,1,0,0,1,0,27,constant,49,auto,12,30,randomForestClassifier,9,7,lbfgs,uniform,0.5782778864970646
logistic,ball_tree,20,entropy,1,1,0,0,1,0,1,6,invscaling,45,sqrt,9,20,randomForestClassifier,5,5,lbfgs,uniform,0.6262230919765166
identity,brute,32,gini,0,1,0,1,0,1,0,19,constant,63,sqrt,7,2,nnClassifier,10,9,sgd,distance,0.0
relu,ball_tree,14,gini,1,1,0,0,0,1,0,9,constant,84,auto,16,25,kneighborsClassifier,1,1,lbfgs,distance,0.5900195694716243
relu,ball_tree,18,gini,1,0,0,1,1,1,1,20,adaptive,4,sqrt,2,26,nnClassifier,10,5,adam,uniform,0.06360078277886497
logistic,auto,16,gini,0,0,1,0,0,0,0,19,invscaling,62,auto,18,39,nnClassifier,2,9,adam,uniform,0.0
logistic,kd_tree,10,entropy,0,0,0,0,1,0,0,34,constant,34,sqrt,12,33,kneighborsClassifier,7,8,lbfgs,distance,0.21037181996086105
identity,auto,29,gini,1,1,0,1,1,0,0,14,constant,62,auto,5,35,randomForestClassifier,1,8,lbfgs,distance,0.6203522504892368
identity,brute,23,entropy,0,1,0,0,0,0,1,10,invscaling,92,log2,17,24,kneighborsClassifier,8,1,sgd,distance,0.6908023483365949
tanh,auto,15,entropy,0,0,0,1,0,1,1,26,adaptive,64,sqrt,6,32,randomForestClassifier,7,5,lbfgs,uniform,0.512720156555773
logistic,brute,21,entropy,1,1,0,1,1,1,0,5,constant,36,sqrt,8,7,randomForestClassifier,9,9,lbfgs,uniform,0.6555772994129159
identity,brute,19,entropy,0,1,1,1,0,0,1,29,adaptive,75,log2,14,5,kneighborsClassifier,2,5,adam,distance,0.8033268101761253
tanh,ball_tree,15,entropy,1,0,1,1,1,1,1,23,adaptive,57,sqrt,17,31,kneighborsClassifier,9,3,lbfgs,uniform,0.5998043052837574
identity,ball_tree,11,entropy,1,1,1,1,0,1,0,4,adaptive,19,log2,6,16,kneighborsClassifier,8,2,lbfgs,uniform,0.6614481409001957
relu,ball_tree,31,entropy,0,0,0,0,0,1,0,25,invscaling,74,sqrt,15,14,kneighborsClassifier,3,8,adam,uniform,0.22798434442270057
logistic,brute,21,gini,0,0,1,1,0,1,0,25,invscaling,62,sqrt,11,6,nnClassifier,6,10,lbfgs,uniform,0.012720156555772993
tanh,brute,25,gini,0,1,0,1,1,0,0,13,constant,63,auto,18,15,kneighborsClassifier,2,8,adam,distance,0.5694716242661448
relu,kd_tree,21,gini,1,1,1,0,0,1,0,29,adaptive,94,log2,19,2,nnClassifier,8,9,sgd,uniform,0.03228962818003914
identity,auto,28,entropy,1,0,0,0,1,0,0,26,invscaling,56,log2,11,7,nnClassifier,8,2,sgd,uniform,0.0
logistic,kd_tree,27,gini,1,1,1,0,1,1,1,3,constant,45,auto,5,36,kneighborsClassifier,3,9,lbfgs,distance,0.8796477495107632
identity,auto,20,gini,1,0,0,0,0,0,1,38,adaptive,20,log2,16,8,randomForestClassifier,10,3,adam,distance,0.3150684931506849
identity,ball_tree,17,gini,1,0,0,1,1,1,0,11,adaptive,28,log2,6,40,kneighborsClassifier,3,5,sgd,uniform,0.5430528375733855
tanh,kd_tree,15,gini,1,1,0,0,1,1,1,9,adaptive,71,log2,13,12,randomForestClassifier,5,5,sgd,distance,0.6477495107632094
logistic,ball_tree,17,gini,0,0,0,0,0,1,1,27,invscaling,14,auto,2,29,randomForestClassifier,7,2,adam,distance,0.512720156555773
identity,kd_tree,31,entropy,1,0,1,0,0,0,1,21,invscaling,93,log2,20,18,kneighborsClassifier,5,3,adam,distance,0.7475538160469667
logistic,auto,23,entropy,1,0,1,1,1,0,1,34,adaptive,46,auto,4,26,kneighborsClassifier,7,2,adam,uniform,0.7181996086105675
relu,ball_tree,16,gini,1,0,1,0,1,1,0,9,invscaling,97,log2,10,26,nnClassifier,6,5,sgd,distance,0.0
identity,kd_tree,11,gini,0,0,0,1,0,1,0,10,constant,58,sqrt,19,28,nnClassifier,1,3,adam,uniform,0.0
