activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,21,entropy,0,1,1,1,0,0,0,22,adaptive,39,sqrt,16,22,randomForestClassifier,3,10,sgd,uniform,0.42759295499021527
relu,kd_tree,24,entropy,0,0,0,1,1,0,0,26,adaptive,56,log2,2,10,nnClassifier,4,9,lbfgs,distance,0.007827788649706457
identity,kd_tree,25,gini,0,0,1,0,1,1,0,3,constant,16,sqrt,20,26,randomForestClassifier,5,7,lbfgs,uniform,0.45499021526418787
relu,auto,16,entropy,0,1,1,1,0,0,0,2,constant,67,log2,16,35,nnClassifier,4,6,lbfgs,distance,0.011741682974559686
tanh,auto,25,gini,1,0,0,1,1,0,0,15,adaptive,93,auto,6,2,kneighborsClassifier,2,5,sgd,uniform,0.5107632093933464
tanh,auto,19,gini,1,0,0,1,0,0,0,21,adaptive,83,sqrt,7,31,randomForestClassifier,6,4,sgd,uniform,0.2553816046966732
relu,kd_tree,27,entropy,0,1,0,1,0,0,1,22,constant,81,log2,6,11,kneighborsClassifier,1,7,sgd,uniform,0.4041095890410959
identity,brute,14,gini,1,1,0,0,1,1,1,3,adaptive,98,log2,18,29,randomForestClassifier,3,4,sgd,distance,0.6115459882583171
relu,ball_tree,12,entropy,1,0,0,1,1,0,0,27,constant,70,log2,11,15,randomForestClassifier,9,1,adam,uniform,0.5019569471624267
identity,ball_tree,14,entropy,1,1,0,1,1,0,0,39,constant,15,auto,8,39,randomForestClassifier,6,3,sgd,uniform,0.5675146771037182
tanh,kd_tree,29,entropy,0,0,0,1,0,1,1,32,invscaling,93,log2,12,11,randomForestClassifier,7,3,sgd,distance,0.4471624266144814
tanh,ball_tree,30,gini,1,0,1,0,1,0,1,36,invscaling,54,log2,4,31,randomForestClassifier,6,3,adam,distance,0.6467710371819961
identity,auto,19,entropy,0,0,0,1,0,0,1,6,constant,29,sqrt,3,27,kneighborsClassifier,2,4,lbfgs,uniform,0.5264187866927593
identity,auto,14,gini,1,0,0,1,0,1,0,4,invscaling,72,log2,8,11,randomForestClassifier,1,8,adam,distance,0.47847358121330724
relu,brute,16,entropy,0,0,0,1,1,0,0,26,adaptive,99,log2,11,14,nnClassifier,8,9,lbfgs,uniform,0.012720156555772993
logistic,auto,23,entropy,1,0,1,1,1,0,0,15,adaptive,39,auto,10,6,kneighborsClassifier,1,4,adam,uniform,0.5694716242661448
identity,auto,31,entropy,1,0,1,0,0,0,0,23,invscaling,19,auto,17,2,randomForestClassifier,8,1,sgd,distance,0.3639921722113503
relu,ball_tree,15,gini,1,1,0,0,0,0,1,32,adaptive,90,sqrt,14,37,randomForestClassifier,10,10,sgd,uniform,0.44422700587084146
relu,auto,30,gini,0,1,0,0,1,1,1,36,adaptive,63,sqrt,6,16,randomForestClassifier,7,5,adam,uniform,0.6281800391389433
relu,brute,25,entropy,0,1,0,0,1,0,1,12,constant,96,sqrt,15,4,kneighborsClassifier,4,8,adam,distance,0.812133072407045
tanh,kd_tree,16,gini,1,0,1,0,1,1,0,39,constant,19,log2,8,14,randomForestClassifier,1,7,sgd,distance,0.6037181996086106
relu,kd_tree,31,gini,1,0,1,0,0,1,0,37,adaptive,98,sqrt,17,13,nnClassifier,7,6,sgd,distance,0.019569471624266144
logistic,brute,10,entropy,1,0,0,1,1,0,0,39,invscaling,89,sqrt,15,28,randomForestClassifier,4,2,adam,distance,0.49706457925636005
identity,ball_tree,12,gini,1,0,0,1,0,1,0,19,constant,42,log2,3,23,nnClassifier,2,6,lbfgs,distance,0.0029354207436399216
relu,brute,9,gini,0,0,1,0,1,0,1,6,constant,52,log2,4,11,nnClassifier,9,7,lbfgs,distance,0.03522504892367906
logistic,kd_tree,23,entropy,1,0,1,1,0,1,0,31,invscaling,64,log2,3,22,kneighborsClassifier,8,5,sgd,distance,0.7788649706457925
logistic,auto,28,entropy,1,1,1,1,0,0,1,19,invscaling,62,log2,16,4,nnClassifier,2,3,lbfgs,uniform,0.0029354207436399216
relu,ball_tree,15,entropy,0,0,1,0,1,1,1,19,constant,55,log2,3,7,kneighborsClassifier,5,1,lbfgs,uniform,0.8894324853228963
tanh,ball_tree,25,gini,1,0,0,0,0,0,0,28,constant,63,log2,20,36,nnClassifier,5,10,lbfgs,distance,0.0
relu,kd_tree,16,gini,1,0,1,1,0,0,1,28,adaptive,31,sqrt,18,33,nnClassifier,7,1,sgd,distance,0.03228962818003914
