activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,16,gini,1,0,0,0,1,1,0,24,constant,26,auto,8,20,kneighborsClassifier,3,7,sgd,uniform,0.5107632093933464
relu,ball_tree,14,gini,0,0,0,1,1,1,1,24,constant,78,sqrt,16,29,kneighborsClassifier,3,4,sgd,uniform,0.5019569471624267
identity,ball_tree,26,gini,1,1,0,1,0,0,0,9,adaptive,38,auto,4,5,kneighborsClassifier,7,10,adam,uniform,0.39823874755381605
tanh,kd_tree,10,entropy,0,0,0,0,1,1,1,20,invscaling,72,auto,10,18,randomForestClassifier,5,1,sgd,distance,0.5547945205479452
logistic,ball_tree,31,gini,0,1,0,1,0,0,1,12,constant,90,log2,5,37,kneighborsClassifier,7,1,sgd,uniform,0.7514677103718199
logistic,brute,23,gini,0,0,0,1,1,1,1,22,invscaling,10,log2,12,20,kneighborsClassifier,6,2,sgd,distance,0.8688845401174168
identity,auto,11,gini,0,1,1,0,0,1,0,3,invscaling,54,sqrt,7,4,kneighborsClassifier,1,10,lbfgs,uniform,0.4207436399217221
relu,kd_tree,20,entropy,1,1,0,0,1,1,1,8,adaptive,35,sqrt,18,17,nnClassifier,4,4,adam,distance,0.04403131115459882
logistic,brute,14,entropy,0,1,0,0,1,1,1,22,adaptive,51,sqrt,5,2,kneighborsClassifier,10,4,lbfgs,uniform,0.5068493150684932
relu,ball_tree,27,gini,1,0,0,1,0,1,1,13,invscaling,81,auto,15,35,kneighborsClassifier,8,2,adam,uniform,0.6232876712328768
relu,kd_tree,24,gini,0,1,1,1,1,1,1,15,invscaling,80,log2,14,28,kneighborsClassifier,8,5,lbfgs,distance,0.9001956947162426
logistic,brute,13,gini,1,0,0,0,1,1,1,28,adaptive,5,auto,8,9,randomForestClassifier,8,9,sgd,distance,0.42661448140900193
identity,auto,10,gini,0,1,1,0,1,1,0,28,constant,79,auto,5,5,randomForestClassifier,7,4,adam,uniform,0.6027397260273972
relu,brute,29,gini,1,1,0,0,0,0,0,16,constant,66,sqrt,9,36,randomForestClassifier,6,10,sgd,uniform,0.2925636007827789
tanh,brute,25,gini,1,1,0,0,1,1,0,34,constant,54,auto,12,34,nnClassifier,4,2,lbfgs,distance,0.0273972602739726
identity,auto,32,gini,1,0,0,0,0,1,1,15,adaptive,74,auto,6,39,kneighborsClassifier,5,5,sgd,uniform,0.4050880626223092
tanh,ball_tree,22,gini,1,1,0,1,1,0,0,28,constant,5,auto,16,4,nnClassifier,9,5,adam,uniform,0.036203522504892366
logistic,kd_tree,30,entropy,0,0,0,1,1,1,0,10,adaptive,21,log2,17,34,nnClassifier,2,2,sgd,uniform,0.0
identity,ball_tree,25,gini,1,1,1,1,0,0,0,5,invscaling,15,sqrt,13,37,kneighborsClassifier,3,9,adam,uniform,0.5146771037181996
tanh,brute,28,gini,1,0,0,1,1,1,1,4,constant,26,log2,3,14,nnClassifier,8,7,sgd,uniform,0.040117416829745595
