activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,26,gini,0,1,0,1,0,1,0,27,constant,85,sqrt,6,22,kneighborsClassifier,6,6,lbfgs,distance,0.4774951076320939
identity,auto,29,entropy,0,0,0,0,1,0,1,26,adaptive,85,sqrt,20,24,kneighborsClassifier,2,7,lbfgs,uniform,0.3972602739726027
tanh,ball_tree,26,entropy,1,0,1,1,0,0,0,8,invscaling,53,auto,14,6,kneighborsClassifier,7,3,sgd,distance,0.5469667318982387
identity,kd_tree,30,gini,0,1,1,0,1,1,1,13,adaptive,75,log2,13,22,kneighborsClassifier,8,3,lbfgs,uniform,0.525440313111546
identity,ball_tree,9,entropy,0,1,0,0,0,1,0,3,invscaling,77,sqrt,4,8,kneighborsClassifier,9,3,adam,distance,0.3767123287671233
tanh,kd_tree,11,gini,1,0,0,0,1,1,0,11,invscaling,51,auto,12,31,nnClassifier,6,9,sgd,distance,0.0
identity,kd_tree,31,entropy,0,1,1,0,0,0,1,15,adaptive,68,log2,6,26,nnClassifier,4,4,lbfgs,uniform,0.0
identity,ball_tree,14,entropy,0,0,1,1,0,0,1,34,constant,19,log2,9,31,randomForestClassifier,5,2,adam,distance,0.41193737769080235
identity,ball_tree,22,entropy,1,0,0,1,0,1,0,23,invscaling,81,sqrt,7,27,nnClassifier,7,4,adam,uniform,0.0029354207436399216
tanh,kd_tree,22,entropy,0,1,0,0,1,0,1,8,constant,19,auto,7,20,kneighborsClassifier,6,2,lbfgs,distance,0.8111545988258317
logistic,ball_tree,27,entropy,1,0,0,1,1,1,1,6,invscaling,87,sqrt,10,2,nnClassifier,4,6,lbfgs,uniform,0.03424657534246575
identity,ball_tree,15,entropy,0,1,0,1,1,0,0,32,adaptive,64,log2,14,30,nnClassifier,8,7,adam,uniform,0.005870841487279843
identity,brute,22,entropy,1,1,1,1,1,1,0,18,constant,78,log2,11,2,nnClassifier,1,9,lbfgs,uniform,0.0
tanh,auto,11,gini,1,1,1,1,0,0,1,2,constant,55,log2,6,28,nnClassifier,3,5,sgd,uniform,0.0547945205479452
identity,kd_tree,32,gini,1,0,0,1,1,1,1,20,constant,54,auto,20,18,randomForestClassifier,5,1,adam,uniform,0.6046966731898239
relu,brute,28,entropy,0,1,0,1,1,1,0,18,constant,4,sqrt,2,33,randomForestClassifier,10,8,sgd,uniform,0.33268101761252444
relu,ball_tree,17,entropy,1,1,1,0,1,0,1,30,adaptive,22,sqrt,15,2,randomForestClassifier,5,7,lbfgs,uniform,0.6125244618395304
logistic,brute,22,gini,1,0,1,1,1,0,1,16,invscaling,6,log2,20,40,nnClassifier,3,4,sgd,uniform,0.0
relu,kd_tree,29,entropy,1,0,0,1,1,1,1,24,invscaling,28,log2,9,18,randomForestClassifier,6,9,lbfgs,uniform,0.6594911937377691
identity,auto,18,gini,0,0,0,0,0,0,1,35,adaptive,82,log2,14,5,kneighborsClassifier,3,5,lbfgs,distance,0.6360078277886497
logistic,kd_tree,31,gini,0,0,1,1,0,0,0,31,constant,62,auto,6,4,kneighborsClassifier,6,5,adam,distance,0.3268101761252446
logistic,auto,21,entropy,1,0,1,1,0,1,0,12,adaptive,2,sqrt,11,3,nnClassifier,7,5,adam,distance,0.036203522504892366
relu,auto,19,gini,1,0,1,1,0,0,0,27,adaptive,9,sqrt,3,39,randomForestClassifier,7,6,adam,distance,0.45303326810176126
tanh,brute,27,entropy,0,0,1,1,1,0,0,2,invscaling,48,auto,10,35,nnClassifier,2,9,lbfgs,uniform,0.0
logistic,kd_tree,11,gini,1,0,1,1,1,1,1,39,invscaling,6,sqrt,8,17,randomForestClassifier,7,2,adam,uniform,0.5156555772994129
identity,ball_tree,9,entropy,1,0,0,1,0,0,0,14,adaptive,38,sqrt,4,6,randomForestClassifier,3,5,lbfgs,distance,0.2759295499021526
logistic,ball_tree,20,gini,0,0,1,1,0,1,0,11,constant,22,auto,16,17,kneighborsClassifier,6,4,lbfgs,distance,0.7103718199608611
relu,brute,24,entropy,1,0,0,0,0,1,1,23,constant,19,auto,8,38,kneighborsClassifier,6,4,sgd,distance,0.8326810176125244
identity,auto,16,gini,0,0,0,0,1,0,1,18,adaptive,67,log2,14,37,kneighborsClassifier,8,7,sgd,uniform,0.3972602739726027
logistic,kd_tree,27,gini,0,0,1,0,1,0,0,40,constant,26,auto,5,4,kneighborsClassifier,1,10,lbfgs,distance,0.474559686888454
logistic,ball_tree,15,gini,1,0,0,1,0,1,1,12,constant,93,log2,13,9,kneighborsClassifier,2,8,adam,distance,0.8434442270058709
tanh,ball_tree,10,entropy,0,1,1,1,0,1,0,20,adaptive,30,auto,12,38,randomForestClassifier,8,6,adam,distance,0.5019569471624267
logistic,auto,20,entropy,1,0,1,1,1,1,0,36,invscaling,69,auto,13,21,randomForestClassifier,7,8,lbfgs,distance,0.6125244618395304
tanh,brute,24,gini,0,0,0,1,0,0,0,40,constant,49,auto,20,28,randomForestClassifier,7,6,adam,distance,0.1506849315068493
identity,kd_tree,30,gini,1,0,1,1,0,1,1,5,adaptive,67,auto,17,27,randomForestClassifier,7,2,sgd,distance,0.6086105675146771
identity,kd_tree,26,gini,0,0,1,1,1,0,1,39,invscaling,18,auto,5,32,randomForestClassifier,9,7,sgd,uniform,0.5919765166340509
relu,auto,21,gini,1,0,0,0,0,1,1,37,invscaling,69,sqrt,16,33,randomForestClassifier,4,10,lbfgs,distance,0.4060665362035225
relu,auto,21,gini,1,0,1,1,0,1,0,39,invscaling,58,auto,20,8,nnClassifier,8,5,lbfgs,uniform,0.04500978473581213
tanh,ball_tree,20,entropy,1,1,1,0,0,1,0,7,invscaling,5,log2,20,18,nnClassifier,2,9,sgd,distance,0.0
relu,ball_tree,18,entropy,1,0,1,1,0,0,1,18,constant,35,log2,19,25,randomForestClassifier,9,6,sgd,distance,0.5244618395303327
tanh,auto,30,entropy,1,1,0,1,0,0,1,34,adaptive,42,log2,11,36,nnClassifier,2,9,sgd,distance,0.0
tanh,ball_tree,20,gini,1,0,0,0,1,0,1,3,adaptive,57,auto,20,18,kneighborsClassifier,7,9,adam,distance,0.8287671232876712
identity,kd_tree,28,gini,0,1,0,1,0,0,0,39,invscaling,21,auto,18,32,nnClassifier,10,8,adam,distance,0.0
logistic,ball_tree,11,gini,0,1,0,1,0,0,1,11,invscaling,32,sqrt,16,11,nnClassifier,10,3,sgd,distance,0.0
relu,brute,26,entropy,1,1,0,0,0,1,0,27,invscaling,73,auto,11,9,kneighborsClassifier,2,7,lbfgs,distance,0.5831702544031311
tanh,ball_tree,31,entropy,0,0,1,0,0,0,0,6,constant,25,auto,5,15,randomForestClassifier,1,2,adam,distance,0.21330724070450097
logistic,ball_tree,29,entropy,0,1,0,0,1,0,1,13,invscaling,47,auto,18,3,randomForestClassifier,4,3,sgd,distance,0.4334637964774951
relu,brute,21,entropy,0,0,1,0,0,1,1,23,adaptive,86,auto,3,17,kneighborsClassifier,10,5,lbfgs,uniform,0.4021526418786693
tanh,kd_tree,15,entropy,1,1,1,1,0,0,0,20,constant,49,sqrt,20,32,kneighborsClassifier,6,4,sgd,distance,0.6604696673189824
tanh,auto,19,gini,0,1,0,1,1,1,1,4,constant,19,log2,7,23,kneighborsClassifier,5,5,adam,distance,0.87279843444227
relu,auto,8,gini,1,0,1,1,0,0,1,20,invscaling,69,sqrt,3,15,randomForestClassifier,8,9,sgd,uniform,0.6183953033268101
relu,auto,16,entropy,0,0,0,0,0,1,1,13,invscaling,2,log2,16,3,nnClassifier,5,7,sgd,uniform,0.0
tanh,kd_tree,11,gini,0,0,1,0,1,1,1,26,constant,54,sqrt,10,22,randomForestClassifier,9,1,sgd,distance,0.5851272015655578
relu,auto,31,gini,1,1,1,0,0,0,1,24,adaptive,12,log2,4,7,nnClassifier,4,8,sgd,uniform,0.0410958904109589
tanh,ball_tree,24,gini,1,0,1,0,1,0,0,30,invscaling,25,sqrt,7,40,randomForestClassifier,8,4,sgd,distance,0.5499021526418787
tanh,auto,15,entropy,0,1,1,1,1,1,0,9,invscaling,71,auto,14,40,randomForestClassifier,7,1,adam,distance,0.5430528375733855
tanh,ball_tree,23,gini,1,0,1,1,1,1,1,20,adaptive,40,log2,16,2,randomForestClassifier,5,3,lbfgs,uniform,0.636986301369863
tanh,ball_tree,32,entropy,0,0,0,1,1,1,0,22,adaptive,40,sqrt,9,14,nnClassifier,8,10,lbfgs,uniform,0.015655577299412915
identity,brute,32,gini,1,0,0,1,1,0,1,35,constant,98,auto,12,34,kneighborsClassifier,3,7,sgd,distance,0.8708414872798435
relu,brute,24,gini,0,1,1,0,0,1,1,10,constant,83,sqrt,9,19,randomForestClassifier,5,4,lbfgs,distance,0.5391389432485323
relu,brute,31,entropy,1,1,1,1,0,1,0,4,constant,14,sqrt,9,3,kneighborsClassifier,9,10,adam,distance,0.7602739726027398
logistic,ball_tree,12,gini,0,0,1,0,1,0,1,28,constant,36,sqrt,15,26,kneighborsClassifier,3,6,lbfgs,distance,0.8512720156555773
relu,auto,26,gini,0,1,0,1,0,0,0,4,invscaling,12,auto,14,25,nnClassifier,1,7,lbfgs,uniform,0.0
logistic,ball_tree,9,entropy,1,0,1,0,1,1,1,22,adaptive,36,log2,20,9,nnClassifier,5,5,adam,uniform,0.0547945205479452
logistic,kd_tree,11,entropy,1,1,1,0,1,1,1,36,adaptive,55,auto,20,12,randomForestClassifier,10,2,sgd,distance,0.6105675146771037
identity,auto,9,gini,0,0,0,1,0,1,1,27,adaptive,98,sqrt,10,25,randomForestClassifier,4,8,lbfgs,distance,0.48140900195694714
relu,brute,19,entropy,1,1,0,0,1,1,0,4,adaptive,32,log2,16,25,randomForestClassifier,8,6,sgd,distance,0.5450097847358122
logistic,kd_tree,30,gini,0,1,0,1,1,1,1,28,invscaling,63,log2,11,39,nnClassifier,9,9,sgd,uniform,0.0
logistic,ball_tree,15,entropy,1,1,0,1,1,1,1,21,constant,14,auto,17,13,kneighborsClassifier,6,6,lbfgs,uniform,0.538160469667319
identity,auto,16,entropy,0,1,0,0,1,1,0,17,adaptive,65,sqrt,16,18,randomForestClassifier,4,9,lbfgs,uniform,0.4324853228962818
