activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,kd_tree,28,entropy,1,0,1,1,20,invscaling,22,auto,9,11,randomForestClassifier,3,6,adam,distance,1.0,39.31588096707128
identity,auto,29,entropy,1,1,1,1,27,invscaling,51,auto,9,13,kneighborsClassifier,2,7,adam,distance,0.6273148148148148,39.31593058607541
relu,auto,16,gini,1,0,1,1,17,constant,89,auto,16,28,kneighborsClassifier,2,7,adam,distance,0.5879629629629629,39.3159655360505
tanh,ball_tree,30,entropy,1,1,1,1,13,invscaling,40,auto,8,20,randomForestClassifier,6,9,adam,distance,1.0,39.315999085083604
relu,auto,12,entropy,1,0,1,1,17,constant,56,auto,4,10,nnClassifier,4,6,adam,distance,0.46875,39.31603196496144
identity,kd_tree,26,entropy,1,1,1,1,23,invscaling,6,auto,16,33,randomForestClassifier,6,4,adam,distance,0.8888888888888888,39.31607828498818
tanh,kd_tree,19,gini,1,1,1,1,32,constant,35,auto,10,35,nnClassifier,4,3,adam,distance,0.5,39.31611089408398
identity,ball_tree,13,gini,1,1,1,1,36,constant,49,auto,9,22,kneighborsClassifier,4,5,adam,distance,0.6064814814814815,39.316142743919045
relu,kd_tree,28,entropy,1,0,1,1,7,invscaling,8,auto,11,17,kneighborsClassifier,3,7,adam,distance,0.6886574074074074,39.31617543310858
tanh,auto,27,entropy,1,0,1,1,18,invscaling,46,auto,10,12,kneighborsClassifier,6,6,adam,distance,0.8611111111111112,39.31620775302872
relu,ball_tree,24,entropy,1,1,1,1,14,invscaling,22,auto,9,11,nnClassifier,3,6,adam,distance,0.5555555555555556,39.31624007294886
identity,ball_tree,13,gini,1,1,1,1,20,invscaling,60,auto,7,12,kneighborsClassifier,5,6,adam,distance,0.7638888888888888,39.31627240194939
identity,kd_tree,28,entropy,1,1,1,1,18,invscaling,78,auto,12,36,nnClassifier,7,6,adam,distance,0.46875,39.31630467204377
tanh,ball_tree,28,gini,1,1,1,1,20,invscaling,86,auto,8,9,randomForestClassifier,3,6,adam,distance,0.6284722222222222,39.31633616192266
identity,kd_tree,27,entropy,1,1,1,1,21,constant,67,auto,14,11,nnClassifier,3,5,adam,distance,0.5555555555555556,39.31636814097874
relu,kd_tree,21,entropy,1,0,1,1,20,invscaling,83,auto,12,15,nnClassifier,1,6,adam,distance,0,39.31640002108179
relu,kd_tree,16,gini,1,0,1,1,20,invscaling,22,auto,9,11,nnClassifier,3,6,adam,distance,0.46875,39.31643136101775
tanh,ball_tree,26,gini,1,0,1,1,20,constant,9,auto,9,10,kneighborsClassifier,3,6,adam,distance,0.5428240740740741,39.31646304996684
identity,ball_tree,27,gini,1,0,1,1,20,constant,84,auto,11,11,kneighborsClassifier,3,9,adam,distance,0.6886574074074074,39.316494930069894
identity,auto,18,gini,1,0,1,1,18,invscaling,21,auto,9,8,kneighborsClassifier,3,5,adam,distance,1.0,39.316527060000226
relu,auto,28,gini,1,1,1,1,20,constant,22,auto,9,11,nnClassifier,3,6,adam,distance,1.0,149.32432928401977
relu,auto,27,gini,1,1,1,1,23,constant,47,auto,9,13,nnClassifier,2,5,adam,distance,0.9745370370370371,149.32437619310804
relu,auto,20,gini,1,1,1,1,20,constant,85,auto,12,24,nnClassifier,3,5,adam,distance,0.9803240740740741,149.32441052305512
relu,auto,27,gini,1,1,1,1,16,constant,36,auto,10,16,nnClassifier,2,5,adam,distance,1.0,149.324443543097
relu,auto,16,gini,1,1,1,1,21,constant,52,auto,8,12,nnClassifier,1,5,adam,distance,0.5115740740740741,149.32447527209297
relu,auto,30,gini,1,1,1,1,20,constant,10,auto,12,29,nnClassifier,3,5,adam,distance,1.0,149.32450768188573
relu,auto,23,gini,1,1,1,1,28,constant,31,auto,8,31,nnClassifier,1,7,adam,distance,0.5115740740740741,149.32453984208405
