activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,27,gini,1,0,1,1,33,constant,18,auto,10,18,randomForestClassifier,5,4,adam,distance,0.7430555555555556,104.24699696013704
relu,auto,11,gini,1,1,1,1,34,adaptive,91,sqrt,13,8,nnClassifier,3,3,adam,uniform,0.4965277777777778,104.2470541880466
relu,auto,10,gini,1,0,1,1,30,constant,12,sqrt,16,10,nnClassifier,3,3,lbfgs,uniform,0.4965277777777778,104.24708807794377
relu,auto,21,gini,1,0,1,1,14,constant,82,sqrt,14,29,randomForestClassifier,4,4,lbfgs,distance,0.9039351851851852,104.24712063698098
relu,auto,11,gini,1,1,1,1,8,invscaling,51,sqrt,13,11,nnClassifier,6,4,sgd,distance,0.4664351851851852,104.2471540661063
relu,auto,11,gini,1,0,1,1,27,constant,80,sqrt,11,28,nnClassifier,4,4,lbfgs,uniform,0.4664351851851852,104.2471864160616
relu,auto,20,gini,1,0,1,1,18,constant,77,sqrt,19,28,randomForestClassifier,4,6,adam,distance,0,104.24721844494343
relu,auto,10,gini,1,0,1,1,22,adaptive,82,sqrt,14,7,randomForestClassifier,4,4,lbfgs,uniform,1.0,104.24724953412078
relu,auto,19,gini,1,0,1,1,22,invscaling,40,sqrt,14,6,kneighborsClassifier,4,7,lbfgs,uniform,0,104.24728228407912
relu,auto,24,gini,1,0,1,1,18,adaptive,86,sqrt,15,21,nnClassifier,3,8,adam,uniform,0,104.24731342308223
relu,auto,25,gini,1,0,1,1,35,constant,7,sqrt,15,16,nnClassifier,3,5,adam,uniform,0.4976851851851852,104.24734431295656
relu,auto,14,gini,1,0,1,1,31,adaptive,8,sqrt,15,33,kneighborsClassifier,6,5,adam,distance,0.5694444444444444,104.24737636209466
relu,auto,14,gini,1,1,1,1,20,constant,60,sqrt,10,27,nnClassifier,3,5,adam,distance,0.4976851851851852,104.24740921100602
relu,auto,27,gini,1,1,1,1,22,invscaling,94,auto,9,30,randomForestClassifier,5,3,adam,uniform,0.6099537037037037,104.24744138098322
relu,auto,23,gini,1,1,1,1,21,invscaling,93,sqrt,14,27,randomForestClassifier,3,4,adam,distance,0.9814814814814815,104.24748903000727
relu,auto,10,gini,1,1,1,1,16,invscaling,85,auto,15,26,randomForestClassifier,6,6,lbfgs,uniform,0.9826388888888888,104.24752101907507
relu,auto,22,gini,1,1,1,1,25,invscaling,75,sqrt,8,4,nnClassifier,4,3,lbfgs,uniform,0.4664351851851852,104.24755333806388
relu,auto,17,gini,1,1,1,1,17,adaptive,22,auto,14,9,randomForestClassifier,4,6,adam,uniform,0.6134259259259259,104.24758510803804
relu,auto,24,gini,1,1,1,1,24,adaptive,64,sqrt,7,7,kneighborsClassifier,5,9,lbfgs,distance,0.7511574074074074,104.24761699698865
relu,auto,17,gini,1,1,1,1,22,invscaling,94,sqrt,15,13,kneighborsClassifier,5,4,adam,distance,1.0,104.24764847615734
relu,auto,23,gini,1,1,1,1,29,constant,22,auto,12,14,nnClassifier,3,3,adam,distance,1.0,258.83025361201726
relu,auto,11,gini,1,1,1,1,31,constant,87,auto,12,7,nnClassifier,4,4,adam,distance,0.4965277777777778,258.8302992710378
relu,auto,10,gini,1,1,1,1,26,constant,16,auto,15,7,nnClassifier,3,4,adam,distance,0.4965277777777778,258.8303339111153
relu,auto,17,gini,1,1,1,1,18,constant,82,auto,13,25,nnClassifier,4,4,adam,distance,1.0,258.8303668301087
relu,auto,8,gini,1,1,1,1,12,constant,55,auto,15,8,nnClassifier,7,4,adam,distance,0.49189814814814814,258.83039837004617
relu,auto,11,gini,1,1,1,1,23,constant,80,auto,15,24,nnClassifier,2,5,adam,distance,0.4965277777777778,258.83043066901155
relu,auto,16,gini,1,1,1,1,22,constant,81,auto,15,24,nnClassifier,4,2,adam,distance,1.0,258.830483158119
relu,auto,10,gini,1,1,1,1,22,constant,82,auto,14,7,nnClassifier,4,4,adam,distance,1.0,258.83051472716033
relu,auto,17,gini,1,1,1,1,23,constant,44,auto,16,7,nnClassifier,4,6,adam,distance,0.9699074074074074,258.830546077108
relu,auto,20,gini,1,1,1,1,22,constant,82,auto,17,17,nnClassifier,2,7,adam,distance,0.4965277777777778,258.8305779059883
relu,auto,21,gini,1,1,1,1,39,constant,11,auto,11,12,nnClassifier,3,4,adam,distance,0.4965277777777778,258.83061015605927
relu,auto,12,gini,1,1,1,1,27,constant,12,auto,14,29,nnClassifier,3,3,adam,distance,0.9756944444444444,258.83064194512554
relu,auto,13,gini,1,1,1,1,24,constant,60,auto,14,23,nnClassifier,4,5,adam,distance,0.4965277777777778,258.8306736040395
relu,auto,23,gini,1,1,1,1,20,constant,90,auto,13,26,nnClassifier,3,5,adam,distance,1.0,258.8307052741293
relu,auto,19,gini,1,1,1,1,20,constant,89,auto,14,23,nnClassifier,5,4,adam,distance,1.0,258.83073639310896
relu,auto,9,gini,1,1,1,1,20,constant,81,auto,17,23,nnClassifier,2,2,adam,distance,1.0,258.83076732303016
relu,auto,19,gini,1,1,1,1,21,constant,79,auto,12,8,nnClassifier,2,1,adam,distance,0.4965277777777778,258.8307982820552
relu,auto,13,gini,1,1,1,1,21,constant,26,auto,14,5,nnClassifier,3,2,adam,distance,1.0,258.830830051098
relu,auto,20,gini,1,1,1,1,21,constant,68,auto,11,6,nnClassifier,5,6,adam,distance,0.9722222222222222,258.8308609109372
relu,auto,13,gini,1,1,1,1,24,constant,90,auto,16,12,nnClassifier,7,7,adam,distance,0.9733796296296297,258.83089274005033
relu,auto,19,gini,1,1,1,1,25,constant,26,auto,13,10,nnClassifier,7,5,adam,distance,0.4965277777777778,674.4408770140726
relu,auto,8,gini,1,1,1,1,29,constant,89,auto,12,9,nnClassifier,3,7,adam,distance,0.4965277777777778,674.4409261930268
relu,auto,10,gini,1,1,1,1,23,constant,20,auto,18,11,nnClassifier,3,7,adam,distance,0.4965277777777778,674.4409594919998
relu,auto,13,gini,1,1,1,1,22,constant,82,auto,15,21,nnClassifier,4,4,adam,distance,0.4965277777777778,674.44099220098
relu,auto,9,gini,1,1,1,1,16,constant,59,auto,15,5,nnClassifier,6,4,adam,distance,0.4988425925925926,674.4410246510524
relu,auto,10,gini,1,1,1,1,21,constant,82,auto,12,20,nnClassifier,6,2,adam,distance,0.4965277777777778,674.4410569400061
relu,auto,12,gini,1,1,1,1,18,constant,78,auto,19,20,nnClassifier,4,6,adam,distance,0.4965277777777778,674.4410892589949
relu,auto,10,gini,1,1,1,1,22,constant,82,auto,14,7,nnClassifier,4,4,adam,distance,0.4965277777777778,674.4411211591214
relu,auto,13,gini,1,1,1,1,21,constant,48,auto,14,7,nnClassifier,4,2,adam,distance,0.4965277777777778,674.4411533181556
relu,auto,22,gini,1,1,1,1,18,constant,86,auto,16,15,nnClassifier,4,3,adam,distance,0.4965277777777778,674.4411854180507
relu,auto,19,gini,1,1,1,1,35,constant,15,auto,13,16,nnClassifier,1,5,adam,distance,0.4965277777777778,674.441217537038
relu,auto,9,gini,1,1,1,1,30,constant,16,auto,15,25,nnClassifier,6,4,adam,distance,0.4965277777777778,674.4412496360019
