activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,23,gini,1,1,1,1,8,invscaling,54,auto,13,28,nnClassifier,2,7,sgd,distance,0.49074074074074076,147.93277643201873
relu,auto,24,entropy,1,1,1,1,10,invscaling,94,sqrt,8,23,nnClassifier,2,6,sgd,distance,0.49421296296296297,147.93282518116757
relu,auto,17,entropy,1,1,0,1,8,invscaling,16,sqrt,14,23,kneighborsClassifier,2,6,sgd,distance,0.96875,147.93285865103826
relu,kd_tree,17,entropy,1,1,0,1,8,constant,85,auto,13,18,kneighborsClassifier,5,7,sgd,distance,0.6331018518518519,147.93289175000973
relu,kd_tree,20,gini,1,0,0,1,11,invscaling,18,sqrt,13,22,kneighborsClassifier,2,7,sgd,distance,0.9328703703703703,147.9329252501484
relu,kd_tree,28,entropy,1,1,1,1,36,invscaling,23,auto,9,17,kneighborsClassifier,4,6,adam,distance,0.7870370370370371,147.9329579391051
relu,ball_tree,25,gini,1,1,0,1,30,invscaling,82,log2,11,25,nnClassifier,6,6,sgd,distance,0.5243055555555556,147.93299002898857
relu,kd_tree,29,entropy,1,0,1,1,4,constant,47,log2,7,17,kneighborsClassifier,7,6,sgd,distance,0.9803240740740741,147.93302212911658
relu,auto,22,entropy,1,1,1,1,9,constant,31,log2,13,26,nnClassifier,6,6,adam,distance,0.5243055555555556,147.93305421806872
relu,kd_tree,17,entropy,1,0,0,1,23,invscaling,18,log2,16,17,nnClassifier,7,5,sgd,distance,0.49537037037037035,147.933086858131
relu,kd_tree,18,entropy,1,0,0,1,9,invscaling,83,log2,13,24,kneighborsClassifier,2,7,sgd,distance,1.0,147.9331191771198
relu,kd_tree,13,entropy,1,1,0,1,12,constant,43,sqrt,12,4,kneighborsClassifier,1,4,sgd,distance,0.5983796296296297,147.9331505871378
relu,kd_tree,17,entropy,1,0,1,1,8,constant,63,log2,6,33,kneighborsClassifier,2,8,sgd,distance,1.0,147.93318281602114
relu,kd_tree,14,gini,1,1,1,1,23,constant,3,auto,14,9,kneighborsClassifier,3,6,sgd,distance,0.9722222222222222,147.9332137859892
relu,ball_tree,17,gini,1,1,0,1,9,invscaling,82,auto,16,21,kneighborsClassifier,5,6,adam,distance,0.6307870370370371,147.93325535510667
relu,kd_tree,19,gini,1,0,1,1,24,invscaling,14,log2,12,15,nnClassifier,5,8,sgd,distance,0.5243055555555556,147.93328714510426
