activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,ball_tree,22,entropy,1,1,0,1,25,invscaling,47,log2,13,19,kneighborsClassifier,4,2,lbfgs,uniform,1.0,39.238170767901465
logistic,ball_tree,23,entropy,1,1,0,1,25,invscaling,16,auto,11,21,kneighborsClassifier,6,4,lbfgs,distance,0.9664351851851852,39.23823429783806
identity,ball_tree,27,gini,1,1,1,1,20,invscaling,96,auto,6,30,kneighborsClassifier,6,5,sgd,distance,0.9155092592592593,39.23826978704892
relu,ball_tree,24,entropy,1,1,0,1,32,constant,59,auto,6,6,kneighborsClassifier,6,1,adam,uniform,0,39.23830476705916
identity,ball_tree,22,gini,1,1,1,1,22,constant,37,log2,12,29,nnClassifier,6,1,sgd,distance,0.5277777777777778,39.23834061692469
tanh,ball_tree,13,entropy,1,1,0,1,25,invscaling,33,log2,14,25,nnClassifier,5,3,lbfgs,distance,0.5335648148148148,39.23837480600923
relu,auto,24,entropy,1,1,0,1,27,invscaling,83,sqrt,14,26,nnClassifier,3,2,adam,distance,0.5277777777777778,39.23840964585543
tanh,ball_tree,17,gini,1,1,0,1,21,constant,5,sqrt,11,16,kneighborsClassifier,2,2,adam,distance,0.9907407407407407,39.23844392504543
identity,ball_tree,22,gini,1,1,0,1,7,invscaling,16,auto,13,24,kneighborsClassifier,2,1,adam,distance,1.0,39.23847820493393
logistic,ball_tree,21,entropy,1,1,0,1,19,constant,75,auto,13,23,kneighborsClassifier,5,5,lbfgs,distance,0.9861111111111112,39.23851180495694
relu,auto,28,gini,1,1,0,1,15,constant,55,log2,11,22,nnClassifier,3,1,lbfgs,uniform,0.5277777777777778,39.238545574015006
logistic,ball_tree,23,entropy,1,1,0,1,36,constant,58,sqrt,16,14,nnClassifier,4,6,adam,uniform,0,39.23857804387808
relu,ball_tree,17,gini,1,1,0,1,30,constant,70,auto,13,13,nnClassifier,6,6,adam,uniform,0.4861111111111111,39.238610272994265
relu,ball_tree,20,gini,1,1,0,1,27,invscaling,10,auto,12,20,kneighborsClassifier,5,2,lbfgs,distance,1.0,39.23864408303052
tanh,ball_tree,20,gini,1,1,0,1,23,constant,77,auto,15,36,kneighborsClassifier,2,6,lbfgs,uniform,0.6678240740740741,39.23867656290531
relu,ball_tree,26,gini,1,1,1,1,33,invscaling,50,sqrt,9,8,kneighborsClassifier,4,1,sgd,distance,0.9791666666666666,39.23870964185335
relu,ball_tree,10,entropy,1,1,1,1,30,invscaling,9,auto,10,20,nnClassifier,4,2,lbfgs,uniform,0.5277777777777778,39.23874216200784
identity,ball_tree,21,gini,1,1,0,1,9,invscaling,34,log2,6,32,kneighborsClassifier,5,4,lbfgs,distance,1.0,39.23877464188263
tanh,ball_tree,23,gini,1,1,1,1,32,invscaling,79,sqrt,9,9,kneighborsClassifier,3,5,sgd,distance,0.8414351851851852,39.23880621092394
tanh,ball_tree,23,entropy,1,1,1,1,24,invscaling,17,sqrt,18,29,kneighborsClassifier,4,2,lbfgs,distance,0.5914351851851852,39.238838420948014
relu,auto,22,gini,1,1,1,1,25,constant,47,auto,13,19,nnClassifier,4,2,adam,distance,1.0,125.28786407387815
relu,auto,21,gini,1,1,1,1,23,constant,20,auto,14,21,nnClassifier,2,2,adam,distance,1.0,125.28790997294709
relu,auto,23,gini,1,1,1,1,23,constant,92,auto,8,26,nnClassifier,3,1,adam,distance,0.9722222222222222,125.28794251289219
relu,auto,21,gini,1,1,1,1,28,constant,55,auto,10,10,nnClassifier,3,1,adam,distance,1.0,125.28797597298399
relu,auto,24,gini,1,1,1,1,26,constant,41,auto,11,25,nnClassifier,5,1,adam,distance,0.5335648148148148,125.28800772200339
relu,auto,12,gini,1,1,1,1,24,constant,37,auto,10,21,nnClassifier,6,1,adam,distance,0.5335648148148148,125.28804021188989
