activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,14,gini,1,1,1,1,24,constant,49,auto,7,16,nnClassifier,5,10,adam,distance,0.5243055555555556,535.3451959751546
relu,auto,14,gini,1,1,1,1,29,constant,63,auto,7,24,nnClassifier,5,4,adam,distance,0.5243055555555556,535.3452282440849
relu,auto,14,gini,1,1,1,1,17,constant,23,auto,14,22,nnClassifier,3,7,adam,distance,0.5243055555555556,535.3452605041675
relu,auto,11,gini,1,1,1,1,28,constant,47,auto,8,15,nnClassifier,4,6,adam,distance,0.5243055555555556,535.345292693004
relu,auto,23,gini,1,1,1,1,31,constant,41,auto,6,19,nnClassifier,6,7,adam,distance,0.5243055555555556,535.3453359231353
relu,auto,20,gini,1,1,1,1,23,constant,65,auto,5,25,nnClassifier,4,3,adam,distance,0.5243055555555556,535.3453681319952
relu,auto,14,gini,1,1,1,1,28,constant,64,auto,7,12,nnClassifier,6,4,adam,distance,0.5231481481481481,535.3454000120983
relu,auto,14,gini,1,1,1,1,29,constant,46,auto,4,26,nnClassifier,4,5,adam,distance,0.5243055555555556,535.3454320910387
relu,auto,12,gini,1,1,1,1,28,constant,64,auto,7,18,nnClassifier,6,4,adam,distance,0.5243055555555556,535.3454640810378
relu,auto,17,gini,1,1,1,1,31,constant,32,auto,14,25,nnClassifier,6,5,adam,distance,0.5243055555555556,535.3454959101509
relu,auto,17,gini,1,1,1,1,22,constant,64,auto,6,14,nnClassifier,6,6,adam,distance,0.5243055555555556,535.3455278901383
relu,auto,16,gini,1,1,1,1,15,constant,71,auto,6,16,nnClassifier,5,4,adam,distance,0.5243055555555556,535.3455597891007
relu,auto,20,gini,1,1,1,1,30,constant,46,auto,9,16,nnClassifier,3,3,adam,distance,0.5243055555555556,535.3455916680396
relu,auto,13,gini,1,1,1,1,20,constant,58,auto,4,16,nnClassifier,6,8,adam,distance,0.5243055555555556,535.345623568166
relu,auto,14,gini,1,1,1,1,26,constant,27,auto,9,22,nnClassifier,5,2,adam,distance,0.5243055555555556,535.345655517187
relu,auto,12,gini,1,1,1,1,34,constant,27,auto,5,15,nnClassifier,5,5,adam,distance,0.5243055555555556,535.345687257126
relu,auto,20,gini,1,1,1,1,28,constant,31,auto,7,17,nnClassifier,4,6,adam,distance,0.5243055555555556,869.4746595020406
relu,auto,14,gini,1,1,1,1,29,constant,48,auto,6,17,nnClassifier,5,6,adam,distance,0.5243055555555556,869.4747144621797
relu,auto,13,gini,1,1,1,1,31,constant,55,auto,9,21,nnClassifier,8,5,adam,distance,0.5243055555555556,869.4747481010854
relu,auto,15,gini,1,1,1,1,10,constant,68,auto,7,17,nnClassifier,6,3,adam,distance,0.5243055555555556,869.4747811912093
relu,auto,16,gini,1,1,1,1,28,constant,48,auto,8,20,nnClassifier,6,6,adam,distance,0.5243055555555556,869.4748137302231
relu,auto,14,gini,1,1,1,1,29,constant,59,auto,8,26,nnClassifier,7,6,adam,distance,0.5243055555555556,869.4748461190611
relu,auto,14,gini,1,1,1,1,13,constant,22,auto,10,26,nnClassifier,1,10,adam,distance,0.5243055555555556,869.4748972991947
relu,auto,15,gini,1,1,1,1,29,constant,51,auto,5,12,nnClassifier,3,6,adam,distance,0.5243055555555556,869.4749301881529
relu,auto,19,gini,1,1,1,1,30,constant,45,auto,6,19,nnClassifier,6,8,adam,distance,0.5243055555555556,869.4749626880512
relu,auto,20,gini,1,1,1,1,27,constant,61,auto,4,28,nnClassifier,8,4,adam,distance,0.5243055555555556,869.4749950871337
relu,auto,14,gini,1,1,1,1,28,constant,68,auto,5,9,nnClassifier,3,5,adam,distance,0.5231481481481481,869.4750273472164
relu,auto,18,gini,1,1,1,1,25,constant,45,auto,5,24,nnClassifier,5,6,adam,distance,0.5243055555555556,869.4750599060208
relu,auto,11,gini,1,1,1,1,32,constant,60,auto,6,16,nnClassifier,4,4,adam,distance,0.5231481481481481,869.4750924350228
relu,auto,15,gini,1,1,1,1,32,constant,31,auto,15,21,nnClassifier,6,5,adam,distance,0.5243055555555556,869.4751247451641
relu,auto,20,gini,1,1,1,1,26,constant,63,auto,6,12,nnClassifier,5,5,adam,distance,0.5243055555555556,869.4751572140958
relu,auto,14,gini,1,1,1,1,11,constant,67,auto,6,15,nnClassifier,5,8,adam,distance,0.5243055555555556,869.4751894040965
relu,auto,16,gini,1,1,1,1,33,constant,46,auto,6,20,nnClassifier,5,5,adam,distance,0.5243055555555556,869.475221733097
relu,auto,14,gini,1,1,1,1,24,constant,62,auto,7,18,nnClassifier,5,5,adam,distance,0.5243055555555556,869.4752540232148
relu,auto,14,gini,1,1,1,1,30,constant,31,auto,8,26,nnClassifier,5,5,adam,distance,0.5243055555555556,869.4752865422051
relu,auto,12,gini,1,1,1,1,35,constant,31,auto,9,17,nnClassifier,5,5,adam,distance,0.5243055555555556,869.4753283620812
relu,auto,24,gini,1,1,1,1,24,constant,35,auto,7,17,nnClassifier,2,6,adam,distance,0.5243055555555556,1209.8325282761361
relu,auto,14,gini,1,1,1,1,29,constant,48,auto,6,17,nnClassifier,5,6,adam,distance,0.5243055555555556,1209.8325856351294
relu,auto,14,gini,1,1,1,1,32,constant,53,auto,9,25,nnClassifier,7,5,adam,distance,0.5243055555555556,1209.8326221541502
relu,auto,19,gini,1,1,1,1,14,constant,64,auto,8,13,nnClassifier,8,6,adam,distance,0.5254629629629629,1209.8326542840805
relu,auto,17,gini,1,1,1,1,24,constant,48,auto,8,18,nnClassifier,4,6,adam,distance,0.5243055555555556,1209.8326863131952
relu,auto,14,gini,1,1,1,1,29,constant,63,auto,6,24,nnClassifier,4,6,adam,distance,0.5243055555555556,1209.832718093181
relu,auto,14,gini,1,1,1,1,17,constant,18,auto,11,22,nnClassifier,3,10,adam,distance,0.5243055555555556,1209.8327500321902
relu,auto,16,gini,1,1,1,1,30,constant,53,auto,5,16,nnClassifier,6,6,adam,distance,0.5243055555555556,1209.8327824519947
relu,auto,18,gini,1,1,1,1,31,constant,43,auto,6,16,nnClassifier,4,7,adam,distance,0.5243055555555556,1209.8328141411766
relu,auto,16,gini,1,1,1,1,30,constant,57,auto,5,31,nnClassifier,9,5,adam,distance,0.5243055555555556,1209.8328458510805
relu,auto,14,gini,1,1,1,1,29,constant,64,auto,4,10,nnClassifier,6,7,adam,distance,0.5243055555555556,1209.832877740031
relu,auto,14,gini,1,1,1,1,21,constant,49,auto,7,25,nnClassifier,5,5,adam,distance,0.5243055555555556,1209.8329094501678
relu,auto,15,gini,1,1,1,1,35,constant,62,auto,6,17,nnClassifier,5,8,adam,distance,0.5243055555555556,1209.8329411391169
relu,auto,12,gini,1,1,1,1,32,constant,31,auto,11,19,nnClassifier,4,6,adam,distance,0.5254629629629629,1209.8329727791715
relu,auto,16,gini,1,1,1,1,22,constant,59,auto,6,15,nnClassifier,6,6,adam,distance,0.5243055555555556,1209.8330049579963
relu,auto,16,gini,1,1,1,1,15,constant,64,auto,5,16,nnClassifier,5,7,adam,distance,0.5243055555555556,1209.8330365880392
relu,auto,20,gini,1,1,1,1,37,constant,49,auto,10,18,nnClassifier,2,5,adam,distance,0.5243055555555556,1209.8330682672095
relu,auto,14,gini,1,1,1,1,20,constant,63,auto,6,19,nnClassifier,6,5,adam,distance,0.5243055555555556,1209.8330998970196
relu,auto,18,gini,1,1,1,1,28,constant,31,auto,6,27,nnClassifier,5,1,adam,distance,0.5243055555555556,1209.8331315761898
relu,auto,12,gini,1,1,1,1,32,constant,27,auto,7,16,nnClassifier,3,6,adam,distance,0.5243055555555556,1209.8331631862093
