activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,26,entropy,1,0,1,1,20,constant,55,log2,8,11,kneighborsClassifier,3,3,adam,distance,0.5671296296296297,37.89525502896868
tanh,ball_tree,24,entropy,1,0,1,1,10,constant,58,log2,20,19,randomForestClassifier,5,2,adam,uniform,0.625,37.89530475786887
tanh,kd_tree,19,entropy,1,0,1,1,9,constant,81,auto,7,36,randomForestClassifier,5,1,adam,uniform,0.7557870370370371,37.89533843798563
tanh,kd_tree,18,gini,1,0,0,1,18,constant,46,auto,10,33,kneighborsClassifier,4,1,adam,distance,0.5682870370370371,37.89537128806114
relu,kd_tree,17,gini,1,0,0,1,6,constant,52,sqrt,13,6,nnClassifier,5,2,adam,uniform,0,37.89540468691848
tanh,auto,23,entropy,1,0,1,1,6,constant,89,sqrt,14,29,kneighborsClassifier,4,5,adam,distance,0.9722222222222222,37.89543658704497
tanh,auto,27,entropy,1,0,0,1,13,constant,89,log2,11,9,nnClassifier,6,3,adam,uniform,0.4710648148148148,37.89546903595328
tanh,kd_tree,13,entropy,1,1,1,1,21,constant,25,log2,15,40,kneighborsClassifier,3,5,adam,uniform,0.7581018518518519,37.8955017758999
tanh,auto,17,gini,1,0,0,1,18,constant,72,log2,16,33,nnClassifier,4,2,adam,uniform,0.4710648148148148,37.89553430490196
tanh,kd_tree,24,gini,1,0,0,1,32,constant,51,log2,19,33,randomForestClassifier,4,1,adam,uniform,0,37.895566245075315
tanh,auto,19,entropy,1,0,1,1,30,constant,82,sqrt,10,35,randomForestClassifier,4,2,adam,distance,0.6145833333333334,37.895597443915904
tanh,kd_tree,18,gini,1,1,1,1,20,constant,21,auto,14,31,nnClassifier,3,3,adam,uniform,0.5115740740740741,37.895628944039345
tanh,kd_tree,11,entropy,1,0,0,1,19,constant,53,log2,20,40,randomForestClassifier,4,2,adam,uniform,1.0,37.895660663954914
tanh,auto,26,entropy,1,1,1,1,21,constant,67,log2,8,22,randomForestClassifier,6,1,adam,uniform,0.7951388888888888,37.895692322868854
tanh,kd_tree,10,gini,1,0,1,1,40,constant,32,sqrt,12,40,randomForestClassifier,5,2,adam,uniform,0.6203703703703703,37.8957240129821
relu,kd_tree,21,gini,1,1,0,1,23,constant,81,sqrt,7,29,kneighborsClassifier,4,4,adam,distance,0.9618055555555556,37.89575658203103
tanh,ball_tree,16,gini,1,1,1,1,30,constant,40,log2,20,17,kneighborsClassifier,4,2,adam,distance,0.8391203703703703,37.89579882193357
tanh,kd_tree,12,gini,1,1,0,1,9,constant,50,log2,15,32,kneighborsClassifier,5,6,adam,uniform,1.0,37.89583068084903
tanh,kd_tree,12,entropy,1,0,1,1,9,constant,24,log2,20,39,randomForestClassifier,4,2,adam,distance,1.0,37.89586180099286
relu,ball_tree,23,gini,1,1,0,1,7,constant,7,log2,10,14,kneighborsClassifier,7,6,adam,uniform,0.6608796296296297,37.89589265990071
relu,auto,22,gini,1,1,1,1,18,constant,52,auto,12,15,nnClassifier,2,1,adam,distance,0.9745370370370371,135.3939026738517
relu,auto,20,gini,1,1,1,1,14,constant,54,auto,20,23,nnClassifier,3,2,adam,distance,1.0,135.39395127398893
relu,auto,15,gini,1,1,1,1,13,constant,77,auto,10,40,nnClassifier,4,1,adam,distance,1.0,135.39398439298384
relu,auto,14,gini,1,1,1,1,20,constant,49,auto,14,37,nnClassifier,4,1,adam,distance,1.0,135.3940159729682
relu,auto,13,gini,1,1,1,1,10,constant,52,auto,17,10,nnClassifier,5,2,adam,distance,0.5057870370370371,135.3940471119713
relu,auto,19,gini,1,1,1,1,10,constant,85,auto,17,33,nnClassifier,2,2,adam,distance,0.9745370370370371,135.39407916204073
relu,auto,23,gini,1,1,1,1,17,constant,85,auto,15,13,nnClassifier,4,3,adam,distance,0.5057870370370371,135.3941109708976
relu,auto,9,gini,1,1,1,1,18,constant,29,auto,19,40,nnClassifier,3,1,adam,distance,0.9629629629629629,135.39414249104448
relu,auto,13,gini,1,1,1,1,20,constant,68,auto,20,37,nnClassifier,4,1,adam,distance,0.5046296296296297,135.39417527988553
relu,auto,20,gini,1,1,1,1,28,constant,54,auto,20,37,nnClassifier,2,1,adam,distance,1.0,135.39420745987445
relu,auto,15,gini,1,1,1,1,26,constant,78,auto,14,38,nnClassifier,5,2,adam,distance,1.0,135.39423845987767
relu,auto,16,gini,1,1,1,1,19,constant,25,auto,18,34,nnClassifier,7,1,adam,distance,0.5057870370370371,135.39426935906522
relu,auto,11,gini,1,1,1,1,19,constant,53,auto,20,40,nnClassifier,4,2,adam,distance,1.0,135.3943009490613
relu,auto,22,gini,1,1,1,1,18,constant,63,auto,12,26,nnClassifier,2,1,adam,distance,1.0,135.394331848016
relu,auto,10,gini,1,1,1,1,36,constant,36,auto,16,40,nnClassifier,5,2,adam,distance,1.0,135.39436266804114
relu,auto,18,gini,1,1,1,1,21,constant,77,auto,11,33,nnClassifier,3,1,adam,distance,1.0,135.39439355791546
relu,auto,12,gini,1,1,1,1,26,constant,44,auto,20,21,nnClassifier,4,2,adam,distance,0.9733796296296297,135.39442423684523
relu,auto,12,gini,1,1,1,1,13,constant,54,auto,19,36,nnClassifier,9,7,adam,distance,1.0,135.39445585687645
relu,auto,8,gini,1,1,1,1,13,constant,28,auto,18,40,nnClassifier,2,6,adam,distance,1.0,135.3944866959937
relu,auto,19,gini,1,1,1,1,9,constant,11,auto,14,18,nnClassifier,6,2,adam,distance,1.0,135.3945176859852
relu,auto,18,gini,1,1,1,1,19,constant,55,auto,10,19,nnClassifier,4,3,adam,distance,0.5057870370370371,480.4362066469621
relu,auto,16,gini,1,1,1,1,17,constant,53,auto,20,27,nnClassifier,7,2,adam,distance,0.5057870370370371,480.43625527690165
relu,auto,18,gini,1,1,1,1,17,constant,73,auto,12,36,nnClassifier,5,1,adam,distance,0.5057870370370371,480.43628901592456
relu,auto,16,gini,1,1,1,1,21,constant,52,auto,18,39,nnClassifier,4,1,adam,distance,0.5057870370370371,480.4363214559853
relu,auto,12,gini,1,1,1,1,9,constant,54,auto,20,14,nnClassifier,5,2,adam,distance,0.5057870370370371,480.43635379499756
relu,auto,15,gini,1,1,1,1,14,constant,81,auto,16,37,nnClassifier,6,2,adam,distance,0.5057870370370371,480.43638619501144
relu,auto,23,gini,1,1,1,1,20,constant,81,auto,11,17,nnClassifier,6,1,adam,distance,0.5057870370370371,480.4364184439182
relu,auto,13,gini,1,1,1,1,18,constant,33,auto,17,40,nnClassifier,4,5,adam,distance,0.5057870370370371,480.43645020388067
relu,auto,10,gini,1,1,1,1,20,constant,64,auto,20,39,nnClassifier,4,1,adam,distance,0.5057870370370371,480.43648232286796
relu,auto,16,gini,1,1,1,1,24,constant,52,auto,20,40,nnClassifier,4,2,adam,distance,0.5057870370370371,480.4365140029695
relu,auto,13,gini,1,1,1,1,22,constant,74,auto,18,36,nnClassifier,3,2,adam,distance,0.5057870370370371,480.4365458630491
relu,auto,14,gini,1,1,1,1,23,constant,29,auto,15,32,nnClassifier,3,1,adam,distance,0.5057870370370371,480.4365774819162
relu,auto,11,gini,1,1,1,1,19,constant,53,auto,20,40,nnClassifier,4,2,adam,distance,0.5057870370370371,480.43660950195044
relu,auto,18,gini,1,1,1,1,18,constant,61,auto,15,30,nnClassifier,6,1,adam,distance,0.5057870370370371,480.43664119089954
relu,auto,11,gini,1,1,1,1,32,constant,40,auto,20,40,nnClassifier,3,2,adam,distance,0.5057870370370371,480.43667293107137
relu,auto,14,gini,1,1,1,1,19,constant,73,auto,12,36,nnClassifier,4,1,adam,distance,0.5057870370370371,480.436704529915
relu,auto,16,gini,1,1,1,1,27,constant,48,auto,20,23,nnClassifier,4,2,adam,distance,0.5057870370370371,480.4367364300415
relu,auto,9,gini,1,1,1,1,9,constant,50,auto,20,32,nnClassifier,8,9,adam,distance,0.5057870370370371,480.4367681690492
relu,auto,8,gini,1,1,1,1,17,constant,32,auto,16,36,nnClassifier,3,2,adam,distance,0.5069444444444444,480.43680932885036
relu,auto,15,gini,1,1,1,1,13,constant,15,auto,18,22,nnClassifier,5,6,adam,distance,0.5046296296296297,480.4368415980134
relu,auto,14,gini,1,1,1,1,21,constant,56,auto,13,15,nnClassifier,5,3,adam,distance,0.5057870370370371,837.2619881290011
relu,auto,20,gini,1,1,1,1,13,constant,54,auto,20,31,nnClassifier,5,2,adam,distance,0.5057870370370371,837.2620371580124
relu,auto,14,gini,1,1,1,1,13,constant,73,auto,16,38,nnClassifier,5,2,adam,distance,0.5057870370370371,837.2620705680456
relu,auto,12,gini,1,1,1,1,17,constant,52,auto,15,38,nnClassifier,4,1,adam,distance,0.5057870370370371,837.2621027468704
relu,auto,10,gini,1,1,1,1,13,constant,52,auto,16,18,nnClassifier,3,2,adam,distance,0.5057870370370371,837.2621346570086
