criterion,max_depth,max_features,min_samples_leaf,min_samples_split,loss_Tested,loss_Best
mse,6,auto,11,34,0.9998562975306461,0.9998562975306461
poisson,78,sqrt,3,38,0.7141208362581721,0.7141208362581721
mae,6,log2,5,5,0.9242404572823246,0.7141208362581721
mse,58,auto,18,11,0.999850976284406,0.7141208362581721
mae,84,log2,1,26,0.9937583079578822,0.7141208362581721
mse,71,sqrt,19,15,0.9888832224338902,0.7141208362581721
mae,33,sqrt,9,3,0.9922225484188358,0.7141208362581721
mae,82,auto,3,24,0.9999183283198089,0.7141208362581721
poisson,16,sqrt,4,8,0.3029904739014687,0.3029904739014687
mae,62,log2,7,7,0.9933990891600891,0.3029904739014687
