activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,auto,15,gini,1,1,34,invscaling,34,auto,14,29,kneighborsClassifier,10,9,sgd,distance,0.6716981132075471,25.726427970919758
tanh,auto,26,gini,1,1,34,constant,41,auto,7,11,kneighborsClassifier,8,6,sgd,distance,0.539622641509434,25.72648925986141
identity,auto,11,gini,1,1,10,invscaling,53,auto,11,7,kneighborsClassifier,2,6,adam,distance,0.6358490566037736,25.726520030060783
identity,auto,25,gini,1,1,8,invscaling,62,auto,17,12,nnClassifier,8,5,sgd,distance,0,25.72655025892891
identity,auto,26,gini,1,1,35,invscaling,88,auto,15,27,nnClassifier,6,9,adam,distance,0.5358490566037736,25.72657954902388
relu,auto,13,gini,1,1,7,invscaling,65,auto,17,20,nnClassifier,9,8,sgd,distance,0.5622641509433962,25.7266089678742
tanh,auto,21,gini,1,1,13,invscaling,73,auto,13,7,nnClassifier,8,10,sgd,distance,0,25.72663830802776
identity,auto,20,gini,1,1,22,constant,8,auto,16,20,kneighborsClassifier,3,4,sgd,distance,0.6339622641509434,25.726667077979073
identity,auto,29,gini,1,1,28,invscaling,19,auto,5,19,nnClassifier,9,4,adam,distance,0.5207547169811321,25.726696687052026
identity,auto,30,gini,1,1,12,invscaling,48,auto,17,11,kneighborsClassifier,5,9,sgd,distance,0.6754716981132075,25.726725556887686
relu,auto,12,gini,1,1,7,invscaling,57,auto,19,21,kneighborsClassifier,8,7,adam,distance,0,25.7267545259092
identity,auto,27,gini,1,1,19,constant,81,auto,17,36,kneighborsClassifier,10,8,sgd,distance,0.5528301886792453,25.726782446028665
identity,auto,27,gini,1,1,30,invscaling,57,auto,17,20,kneighborsClassifier,9,9,sgd,distance,0.9018867924528302,25.72681136499159
tanh,auto,28,gini,1,1,33,invscaling,41,auto,17,30,kneighborsClassifier,8,10,adam,distance,0.6792452830188679,25.726840244838968
identity,auto,28,gini,1,1,24,invscaling,42,auto,13,2,kneighborsClassifier,6,9,sgd,distance,0,25.726869723992422
relu,auto,27,gini,1,1,23,invscaling,8,auto,17,20,kneighborsClassifier,9,9,sgd,distance,0.8754716981132076,25.72689779405482
identity,auto,19,gini,1,1,26,constant,45,auto,16,20,nnClassifier,8,6,adam,distance,0,25.72692678286694
identity,auto,13,gini,1,1,30,constant,6,auto,8,21,nnClassifier,8,8,sgd,distance,0.5622641509433962,25.726954563055187
identity,auto,21,gini,1,1,17,invscaling,33,auto,18,13,kneighborsClassifier,8,8,sgd,distance,0.8905660377358491,25.72698332206346
relu,auto,9,gini,1,1,29,constant,82,auto,14,19,kneighborsClassifier,9,7,sgd,distance,0.6,25.727011991897598
relu,auto,19,gini,1,1,30,constant,38,auto,15,25,nnClassifier,10,8,adam,distance,0.9018867924528302,46.163558886852115
relu,auto,27,gini,1,1,30,constant,45,auto,11,15,nnClassifier,10,9,adam,distance,0.8905660377358491,46.16360487602651
relu,auto,15,gini,1,1,14,constant,57,auto,15,10,nnClassifier,3,10,adam,distance,0.8905660377358491,46.16363573586568
relu,auto,29,gini,1,1,12,constant,58,auto,17,16,nnClassifier,10,9,adam,distance,0.5207547169811321,46.16366558498703
relu,auto,26,gini,1,1,31,constant,84,auto,11,24,nnClassifier,9,9,adam,distance,0.5188679245283019,46.16369490488432
relu,auto,17,gini,1,1,11,constant,61,auto,17,20,nnClassifier,10,8,adam,distance,0.5622641509433962,46.1637244138401
relu,auto,25,gini,1,1,17,constant,69,auto,17,11,nnClassifier,9,10,adam,distance,0.5018867924528302,46.163753523956984
relu,auto,24,gini,1,1,26,constant,12,auto,18,20,nnClassifier,4,8,adam,distance,0.8867924528301887,46.16378283291124
relu,auto,27,gini,1,1,27,constant,23,auto,9,19,nnClassifier,8,2,adam,distance,0.5207547169811321,46.16381203290075
relu,auto,28,gini,1,1,16,constant,52,auto,18,14,nnClassifier,9,9,adam,distance,0.9018867924528302,46.16384176304564
relu,auto,16,gini,1,1,11,constant,56,auto,18,18,nnClassifier,10,9,adam,distance,0.8962264150943396,46.163871272001415
