activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,auto,25,entropy,1,1,29,invscaling,23,sqrt,7,25,kneighborsClassifier,6,8,sgd,distance,0.8886792452830189,59.60718419402838
identity,kd_tree,13,gini,1,1,8,invscaling,75,sqrt,14,28,randomForestClassifier,1,9,adam,distance,0,59.60722961393185
tanh,ball_tree,19,gini,1,1,20,constant,23,sqrt,14,33,nnClassifier,1,5,adam,distance,0.49245283018867925,59.60726014408283
logistic,kd_tree,19,entropy,1,1,20,invscaling,84,sqrt,13,35,randomForestClassifier,1,8,sgd,uniform,0.9075471698113208,59.607291352935135
logistic,ball_tree,14,entropy,1,1,31,constant,61,auto,16,23,nnClassifier,4,7,adam,uniform,0.4867924528301887,59.60732245305553
tanh,kd_tree,19,gini,1,1,20,invscaling,25,sqrt,16,22,kneighborsClassifier,4,6,adam,distance,0,59.607353331986815
relu,auto,26,gini,1,1,8,invscaling,41,auto,8,34,kneighborsClassifier,5,5,adam,distance,0.6641509433962264,59.60738252196461
identity,kd_tree,20,entropy,1,1,21,invscaling,91,auto,20,34,randomForestClassifier,1,8,sgd,uniform,0.5924528301886792,59.607412681914866
identity,kd_tree,17,gini,1,1,15,invscaling,26,sqrt,13,27,randomForestClassifier,1,8,adam,distance,0.6886792452830188,59.60744276107289
logistic,ball_tree,20,entropy,1,1,20,invscaling,85,sqrt,15,35,kneighborsClassifier,10,5,adam,distance,0.8773584905660378,59.60747269098647
relu,auto,26,gini,1,1,8,invscaling,58,sqrt,6,32,kneighborsClassifier,4,4,sgd,uniform,0,59.60750236106105
identity,auto,19,gini,1,1,19,invscaling,22,auto,4,36,kneighborsClassifier,1,7,sgd,uniform,0.7094339622641509,59.607531500048935
identity,kd_tree,28,entropy,1,1,22,invscaling,93,auto,5,26,kneighborsClassifier,1,8,sgd,distance,0,59.60756157012656
