activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,21,gini,1,1,12,constant,49,auto,15,23,nnClassifier,6,8,adam,distance,0.5056603773584906,538.5748075130396
relu,auto,20,gini,1,1,25,constant,27,auto,14,19,nnClassifier,8,6,adam,distance,0.4849056603773585,538.5748375419062
relu,auto,17,gini,1,1,6,constant,76,auto,14,19,nnClassifier,8,8,adam,distance,0.4849056603773585,538.5748677719384
relu,auto,20,gini,1,1,6,constant,77,auto,9,26,nnClassifier,5,4,adam,distance,0.4981132075471698,538.5748979819473
relu,auto,21,gini,1,1,7,constant,73,auto,13,15,nnClassifier,9,9,adam,distance,0.4981132075471698,538.5749282110482
relu,auto,22,gini,1,1,28,constant,58,auto,13,20,nnClassifier,7,8,adam,distance,0.5,538.574958241079
relu,auto,16,gini,1,1,4,constant,76,auto,12,25,nnClassifier,8,7,adam,distance,0.4962264150943396,538.5749880098738
relu,auto,14,gini,1,1,28,constant,62,auto,13,35,nnClassifier,6,9,adam,distance,0.4981132075471698,538.5750180999748
relu,auto,20,gini,1,1,2,constant,38,auto,7,23,nnClassifier,7,7,adam,distance,0.4981132075471698,538.575048079947
relu,auto,21,gini,1,1,15,constant,70,auto,10,16,nnClassifier,4,9,adam,distance,0.4830188679245283,538.5750780990347
relu,auto,16,gini,1,1,26,constant,40,auto,16,15,nnClassifier,8,8,adam,distance,0.4811320754716981,538.5751083588693
relu,auto,17,gini,1,1,13,constant,45,auto,15,26,nnClassifier,7,4,adam,distance,0.4962264150943396,538.5751383879688
relu,auto,19,gini,1,1,10,constant,81,auto,14,14,nnClassifier,8,3,adam,distance,0.4981132075471698,888.8308760728687
relu,auto,17,gini,1,1,8,constant,25,auto,15,30,nnClassifier,5,6,adam,distance,0.49056603773584906,888.8309246029239
relu,auto,16,gini,1,1,23,constant,75,auto,10,12,nnClassifier,9,2,adam,distance,0.5094339622641509,888.8309565719683
relu,auto,17,gini,1,1,10,constant,48,auto,11,20,nnClassifier,8,10,adam,distance,0.5056603773584906,888.8309874020051
relu,auto,16,gini,1,1,19,constant,76,auto,14,19,nnClassifier,8,5,adam,distance,0.4981132075471698,888.8310179610271
relu,auto,20,gini,1,1,9,constant,77,auto,16,28,nnClassifier,6,7,adam,distance,0.4962264150943396,888.8310482210945
relu,auto,17,gini,1,1,6,constant,83,auto,15,15,nnClassifier,7,10,adam,distance,0.4849056603773585,888.8310788599774
relu,auto,14,gini,1,1,4,constant,76,auto,14,19,nnClassifier,10,8,adam,distance,0.5,888.8311090299394
relu,auto,17,gini,1,1,13,constant,53,auto,14,23,nnClassifier,10,8,adam,distance,0.5075471698113208,888.8311392199248
relu,auto,21,gini,1,1,21,constant,31,auto,14,18,nnClassifier,8,6,adam,distance,0.4849056603773585,888.8311823990662
relu,auto,17,gini,1,1,6,constant,76,auto,14,19,nnClassifier,8,8,adam,distance,0.4849056603773585,888.8312133690342
relu,auto,21,gini,1,1,9,constant,73,auto,8,30,nnClassifier,9,4,adam,distance,0.5018867924528302,888.8312439080328
relu,auto,21,gini,1,1,5,constant,72,auto,13,19,nnClassifier,9,8,adam,distance,0.5018867924528302,888.8312742980197
relu,auto,23,gini,1,1,24,constant,62,auto,13,20,nnClassifier,5,8,adam,distance,0.5018867924528302,888.8313042770606
relu,auto,15,gini,1,1,2,constant,80,auto,11,29,nnClassifier,9,9,adam,distance,0.4981132075471698,888.8313345070928
relu,auto,17,gini,1,1,24,constant,66,auto,14,31,nnClassifier,8,5,adam,distance,0.4981132075471698,888.8313647960313
relu,auto,16,gini,1,1,6,constant,42,auto,11,25,nnClassifier,5,4,adam,distance,0.4981132075471698,888.8314066459425
relu,auto,25,gini,1,1,15,constant,74,auto,8,14,nnClassifier,1,9,adam,distance,0.49433962264150944,888.8314368349966
relu,auto,18,gini,1,1,22,constant,44,auto,17,17,nnClassifier,7,7,adam,distance,0.4981132075471698,888.8314672049601
relu,auto,16,gini,1,1,9,constant,49,auto,15,22,nnClassifier,8,3,adam,distance,0.5037735849056604,888.8314973649103
relu,auto,16,gini,1,1,7,constant,77,auto,14,18,nnClassifier,8,7,adam,distance,0.4811320754716981,1226.071614747867
relu,auto,17,gini,1,1,10,constant,29,auto,19,27,nnClassifier,6,7,adam,distance,0.49056603773584906,1226.0716645380016
relu,auto,18,gini,1,1,27,constant,75,auto,8,16,nnClassifier,5,6,adam,distance,0.5037735849056604,1226.0716964870226
relu,auto,18,gini,1,1,12,constant,52,auto,15,21,nnClassifier,7,9,adam,distance,0.4849056603773585,1226.071727256989
relu,auto,16,gini,1,1,15,constant,76,auto,13,19,nnClassifier,8,9,adam,distance,0.4981132075471698,1226.0717578059994
relu,auto,19,gini,1,1,13,constant,76,auto,12,24,nnClassifier,9,7,adam,distance,0.5,1226.071788246045
relu,auto,17,gini,1,1,8,constant,84,auto,11,14,nnClassifier,8,10,adam,distance,0.5037735849056604,1226.071819105884
relu,auto,15,gini,1,1,6,constant,74,auto,14,19,nnClassifier,6,8,adam,distance,0.5037735849056604,1226.0718492548913
relu,auto,15,gini,1,1,9,constant,57,auto,14,19,nnClassifier,8,8,adam,distance,0.5018867924528302,1226.0718792949338
relu,auto,22,gini,1,1,17,constant,35,auto,13,19,nnClassifier,8,6,adam,distance,0.49433962264150944,1226.071909293998
relu,auto,17,gini,1,1,6,constant,76,auto,14,19,nnClassifier,8,8,adam,distance,0.4849056603773585,1226.0719395040069
relu,auto,19,gini,1,1,13,constant,71,auto,12,31,nnClassifier,5,8,adam,distance,0.5018867924528302,1226.071969693061
relu,auto,22,gini,1,1,9,constant,68,auto,13,18,nnClassifier,7,10,adam,distance,0.5018867924528302,1226.071999792941
relu,auto,19,gini,1,1,28,constant,66,auto,13,24,nnClassifier,8,10,adam,distance,0.5,1226.0720298329834
relu,auto,15,gini,1,1,6,constant,82,auto,14,25,nnClassifier,9,9,adam,distance,0.5094339622641509,1226.0720595119055
relu,auto,19,gini,1,1,20,constant,62,auto,15,31,nnClassifier,5,1,adam,distance,0.4849056603773585,1226.0720893819816
relu,auto,16,gini,1,1,6,constant,46,auto,7,21,nnClassifier,9,6,adam,distance,0.4962264150943396,1226.0721196110826
relu,auto,26,gini,1,1,11,constant,78,auto,12,13,nnClassifier,5,9,adam,distance,0.5584905660377358,1226.0721497209743
relu,auto,18,gini,1,1,18,constant,48,auto,13,15,nnClassifier,7,7,adam,distance,0.4962264150943396,1226.0721798709128
relu,auto,16,gini,1,1,13,constant,53,auto,17,26,nnClassifier,4,7,adam,distance,0.4981132075471698,1226.0722099798732
