activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,17,gini,1,1,32,constant,65,sqrt,2,29,nnClassifier,5,6,adam,distance,0,101.25876924395561
tanh,brute,26,gini,1,1,20,constant,22,sqrt,8,7,nnClassifier,5,8,adam,distance,0.5490566037735849,101.2588131739758
tanh,auto,26,gini,1,1,22,constant,29,sqrt,3,17,kneighborsClassifier,7,8,adam,distance,0.9113207547169812,101.25884861312807
tanh,ball_tree,19,gini,1,1,32,constant,5,sqrt,15,11,kneighborsClassifier,8,8,adam,distance,0,101.25887961313128
tanh,brute,19,gini,1,1,20,constant,46,sqrt,3,30,randomForestClassifier,8,8,adam,distance,0.9150943396226415,101.25890941312537
tanh,ball_tree,14,gini,1,1,14,constant,9,auto,4,18,randomForestClassifier,9,4,adam,distance,0.8773584905660378,101.25893999193795
tanh,brute,19,gini,1,1,20,constant,64,sqrt,3,12,kneighborsClassifier,9,9,adam,distance,0.5716981132075472,101.25896995211951
tanh,brute,23,gini,1,1,20,constant,51,sqrt,4,18,randomForestClassifier,8,6,adam,distance,0.5811320754716981,101.25899949204177
relu,brute,13,gini,1,1,19,constant,74,auto,16,35,nnClassifier,5,9,adam,distance,0.5490566037735849,101.25902956095524
tanh,auto,28,gini,1,1,27,constant,94,sqrt,3,18,randomForestClassifier,8,6,adam,distance,0,101.25905960099772
tanh,brute,19,gini,1,1,32,constant,85,sqrt,15,9,randomForestClassifier,8,8,adam,distance,0.6981132075471698,101.2590887111146
relu,kd_tree,13,gini,1,1,22,constant,50,sqrt,2,16,nnClassifier,6,5,adam,distance,0.0,101.2591181800235
tanh,ball_tree,18,gini,1,1,23,constant,49,auto,3,18,randomForestClassifier,6,8,adam,distance,0,101.25914731994271
tanh,kd_tree,19,gini,1,1,14,constant,39,sqrt,12,7,randomForestClassifier,8,7,adam,distance,0,101.25917604006827
tanh,auto,27,gini,1,1,31,constant,46,sqrt,4,9,nnClassifier,5,6,adam,distance,0,101.25920487893745
relu,ball_tree,26,gini,1,1,12,constant,43,sqrt,8,35,nnClassifier,8,6,adam,distance,0.5660377358490566,101.25923329894431
relu,ball_tree,13,gini,1,1,20,constant,60,auto,4,29,kneighborsClassifier,8,6,adam,distance,0,101.25926284911111
