activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,17,entropy,1,1,12,invscaling,38,sqrt,12,30,nnClassifier,5,5,adam,distance,0.5490566037735849,84.11590364505537
tanh,ball_tree,20,entropy,1,1,27,invscaling,69,sqrt,5,13,kneighborsClassifier,1,3,adam,distance,0.8811320754716981,84.11595660401508
tanh,ball_tree,18,gini,1,1,21,invscaling,13,sqrt,16,10,nnClassifier,2,2,adam,distance,0.0,84.11598825315014
relu,ball_tree,21,gini,1,1,7,constant,75,sqrt,6,29,nnClassifier,5,7,adam,distance,0.5339622641509434,84.11601834301837
tanh,auto,17,gini,1,1,24,constant,13,auto,13,12,kneighborsClassifier,1,9,adam,distance,0.6377358490566037,84.11604846199043
tanh,auto,17,gini,1,1,27,constant,23,sqrt,2,11,nnClassifier,5,8,adam,distance,0.530188679245283,84.1160784419626
tanh,ball_tree,17,entropy,1,1,20,invscaling,75,sqrt,2,31,kneighborsClassifier,1,10,adam,distance,0.8924528301886793,84.11610860098153
relu,ball_tree,20,gini,1,1,11,constant,11,sqrt,8,33,kneighborsClassifier,6,7,adam,distance,0.5226415094339623,84.11613931995817
tanh,ball_tree,14,entropy,1,1,20,invscaling,16,sqrt,3,29,nnClassifier,1,5,adam,distance,0.5358490566037736,84.11616998002864
relu,ball_tree,17,entropy,1,1,18,invscaling,8,auto,4,27,kneighborsClassifier,2,7,adam,distance,0.8811320754716981,84.11620000912808
relu,ball_tree,18,entropy,1,1,20,invscaling,71,auto,2,30,nnClassifier,1,7,adam,distance,0.5452830188679245,84.11623061797582
tanh,ball_tree,20,gini,1,1,23,invscaling,31,sqrt,7,11,kneighborsClassifier,2,10,adam,distance,0.6547169811320754,84.11626023799181
relu,ball_tree,25,gini,1,1,15,invscaling,35,auto,4,15,kneighborsClassifier,1,9,adam,distance,0.6188679245283019,84.116290057078
tanh,auto,15,entropy,1,1,21,invscaling,82,sqrt,3,30,kneighborsClassifier,1,8,adam,distance,0.5509433962264151,84.11631978699006
relu,ball_tree,17,entropy,1,1,12,constant,74,sqrt,10,23,nnClassifier,1,5,adam,distance,0.5452830188679245,84.11635025613941
tanh,ball_tree,27,gini,1,1,36,constant,8,auto,12,10,kneighborsClassifier,3,5,adam,distance,0,84.11638004495762
tanh,auto,16,gini,1,1,25,constant,22,sqrt,2,11,kneighborsClassifier,1,10,adam,distance,0,84.11640881514177
tanh,auto,18,gini,1,1,28,invscaling,71,sqrt,3,23,kneighborsClassifier,6,8,adam,distance,0,84.11643753410317
tanh,ball_tree,16,entropy,1,1,22,invscaling,78,auto,2,30,kneighborsClassifier,5,10,adam,distance,0,84.1164797830861
relu,auto,17,gini,1,1,8,constant,38,auto,14,29,nnClassifier,3,6,adam,distance,0.5415094339622641,84.11650879308581
relu,auto,21,gini,1,1,12,constant,42,auto,8,31,nnClassifier,2,9,adam,distance,0.5358490566037736,246.11981026898138
relu,auto,16,gini,1,1,26,constant,68,auto,5,13,nnClassifier,1,7,adam,distance,0.8773584905660378,246.11986015806906
relu,auto,16,gini,1,1,18,constant,17,auto,13,14,nnClassifier,1,6,adam,distance,0.5377358490566038,246.11989149800502
relu,auto,17,gini,1,1,11,constant,75,auto,2,33,nnClassifier,1,8,adam,distance,0.5358490566037736,246.11992190708406
relu,auto,15,gini,1,1,20,constant,17,auto,9,16,nnClassifier,1,10,adam,distance,0.8905660377358491,246.11995221697725
relu,auto,17,gini,1,1,23,constant,27,auto,2,15,nnClassifier,1,10,adam,distance,0.5339622641509434,246.1199823259376
relu,auto,17,gini,1,1,20,constant,75,auto,2,31,nnClassifier,1,10,adam,distance,0.8924528301886793,246.12001212500036
relu,auto,16,gini,1,1,14,constant,15,auto,4,29,nnClassifier,2,9,adam,distance,0.879245283018868,246.12004200508818
relu,auto,18,gini,1,1,20,constant,20,auto,2,31,nnClassifier,1,9,adam,distance,0.5377358490566038,246.12007163395174
relu,auto,17,gini,1,1,19,constant,12,auto,4,31,nnClassifier,2,6,adam,distance,0.879245283018868,246.12010132404976
relu,auto,14,gini,1,1,20,constant,75,auto,2,31,nnClassifier,1,10,adam,distance,0.539622641509434,246.12013064301573
relu,auto,19,gini,1,1,19,constant,35,auto,3,15,nnClassifier,1,10,adam,distance,0.8924528301886793,246.12016007304192
relu,auto,21,gini,1,1,19,constant,39,auto,2,19,nnClassifier,1,10,adam,distance,0.8905660377358491,246.1201895920094
relu,auto,18,gini,1,1,21,constant,78,auto,2,34,nnClassifier,1,10,adam,distance,0.8867924528301887,246.120218971977
relu,auto,17,gini,1,1,16,constant,74,auto,6,27,nnClassifier,1,5,adam,distance,0.539622641509434,246.12024846114218
relu,auto,23,gini,1,1,32,constant,12,auto,8,14,nnClassifier,1,8,adam,distance,0.879245283018868,246.12027863995172
relu,auto,15,gini,1,1,22,constant,26,auto,2,15,nnClassifier,1,10,adam,distance,0.8924528301886793,246.12030854006298
relu,auto,18,gini,1,1,24,constant,75,auto,2,27,nnClassifier,2,10,adam,distance,0.8867924528301887,246.1203382089734
relu,auto,20,gini,1,1,18,constant,77,auto,2,29,nnClassifier,1,10,adam,distance,0.8924528301886793,246.120367879048
relu,auto,13,gini,1,1,6,constant,42,auto,12,31,nnClassifier,6,9,adam,distance,0.5377358490566038,246.12039755797014
relu,auto,22,gini,1,1,13,constant,46,auto,8,29,nnClassifier,6,5,adam,distance,0.5377358490566038,372.30221313307993
relu,auto,18,gini,1,1,22,constant,72,auto,3,17,nnClassifier,1,5,adam,distance,0.539622641509434,372.30225976207294
relu,auto,15,gini,1,1,20,constant,21,auto,11,18,nnClassifier,1,10,adam,distance,0.539622641509434,372.3022909320425
relu,auto,15,gini,1,1,15,constant,75,auto,2,34,nnClassifier,1,10,adam,distance,0.539622641509434,372.3023211010732
relu,auto,18,gini,1,1,18,constant,21,auto,5,14,nnClassifier,1,9,adam,distance,0.539622641509434,372.30235098092817
relu,auto,17,gini,1,1,19,constant,31,auto,2,19,nnClassifier,1,10,adam,distance,0.539622641509434,372.3023806901183
relu,auto,17,gini,1,1,20,constant,75,auto,2,31,nnClassifier,1,10,adam,distance,0.539622641509434,372.3024111390114
relu,auto,20,gini,1,1,18,constant,19,auto,7,33,nnClassifier,1,9,adam,distance,0.47924528301886793,372.30244092899375
relu,auto,19,gini,1,1,20,constant,24,auto,2,32,nnClassifier,1,10,adam,distance,0.539622641509434,372.3024825679604
relu,auto,17,gini,1,1,15,constant,16,auto,7,28,nnClassifier,2,2,adam,distance,0.47547169811320755,372.3025126780849
relu,auto,16,gini,1,1,19,constant,76,auto,4,31,nnClassifier,5,6,adam,distance,0.539622641509434,372.3025423970539
relu,auto,19,gini,1,1,19,constant,39,auto,5,19,nnClassifier,1,10,adam,distance,0.539622641509434,372.30257199704647
relu,auto,17,gini,1,1,17,constant,43,auto,2,23,nnClassifier,1,10,adam,distance,0.539622641509434,372.30260179610923
relu,auto,15,gini,1,1,20,constant,74,auto,2,30,nnClassifier,1,10,adam,distance,0.539622641509434,372.30263123614714
relu,auto,18,gini,1,1,19,constant,76,auto,7,23,nnClassifier,3,2,adam,distance,0.539622641509434,372.3026606750209
relu,auto,25,gini,1,1,28,constant,16,auto,4,18,nnClassifier,1,7,adam,distance,0.539622641509434,372.30269041401334
relu,auto,18,gini,1,1,24,constant,30,auto,2,19,nnClassifier,1,10,adam,distance,0.539622641509434,372.30272005405277
relu,auto,16,gini,1,1,23,constant,74,auto,2,31,nnClassifier,5,10,adam,distance,0.47735849056603774,372.30275179306045
relu,auto,16,gini,1,1,20,constant,75,auto,2,31,nnClassifier,1,10,adam,distance,0.539622641509434,372.30278463312425
relu,auto,16,gini,1,1,10,constant,46,auto,8,28,nnClassifier,2,8,adam,distance,0.5358490566037736,372.3028142719995
relu,auto,18,gini,1,1,15,constant,50,auto,12,25,nnClassifier,2,8,adam,distance,0.5339622641509434,504.2457611039281
relu,auto,19,gini,1,1,26,constant,68,auto,5,13,nnClassifier,3,5,adam,distance,0.539622641509434,504.24582058307715
relu,auto,19,gini,1,1,19,constant,25,auto,12,22,nnClassifier,1,6,adam,distance,0.539622641509434,504.2458533421159
relu,auto,18,gini,1,1,12,constant,75,auto,2,34,nnClassifier,1,8,adam,distance,0.539622641509434,504.2458841709886
relu,auto,18,gini,1,1,20,constant,17,auto,9,18,nnClassifier,1,10,adam,distance,0.539622641509434,504.2459144210443
relu,auto,17,gini,1,1,19,constant,35,auto,2,23,nnClassifier,1,10,adam,distance,0.539622641509434,504.2459448999725
relu,auto,17,gini,1,1,20,constant,75,auto,2,31,nnClassifier,1,10,adam,distance,0.539622641509434,504.24597559007816
relu,auto,19,gini,1,1,20,constant,23,auto,3,33,nnClassifier,1,6,adam,distance,0.539622641509434,504.2460061691236
relu,auto,19,gini,1,1,20,constant,28,auto,2,32,nnClassifier,1,10,adam,distance,0.539622641509434,504.2460756979417
relu,auto,17,gini,1,1,15,constant,13,auto,7,26,nnClassifier,1,6,adam,distance,0.47547169811320755,504.24610642693006
relu,auto,16,gini,1,1,20,constant,72,auto,4,30,nnClassifier,1,7,adam,distance,0.5452830188679245,504.24613722693175
relu,auto,21,gini,1,1,21,constant,43,auto,4,23,nnClassifier,1,10,adam,distance,0.539622641509434,504.2461683261208
relu,auto,21,gini,1,1,16,constant,45,auto,3,21,nnClassifier,1,10,adam,distance,0.539622641509434,504.24619859596714
relu,auto,18,gini,1,1,20,constant,78,auto,2,29,nnClassifier,1,6,adam,distance,0.539622641509434,504.24622898502275
relu,auto,17,gini,1,1,19,constant,76,auto,11,27,nnClassifier,4,6,adam,distance,0.5415094339622641,504.24625847511925
relu,auto,21,gini,1,1,29,constant,20,auto,2,14,nnClassifier,3,10,adam,distance,0.539622641509434,504.2462885740679
relu,auto,16,gini,1,1,21,constant,34,auto,2,15,nnClassifier,1,10,adam,distance,0.539622641509434,504.24631830397993
relu,auto,19,gini,1,1,24,constant,71,auto,3,28,nnClassifier,6,7,adam,distance,0.5452830188679245,504.2463491430972
relu,auto,14,gini,1,1,24,constant,79,auto,2,31,nnClassifier,5,10,adam,distance,0.539622641509434,504.2463794730138
relu,auto,14,gini,1,1,6,constant,50,auto,11,32,nnClassifier,5,5,adam,distance,0.47924528301886793,504.24640945205465
relu,auto,17,gini,1,1,11,constant,54,auto,10,26,nnClassifier,3,10,adam,distance,0.47735849056603774,659.1938945159782
relu,auto,17,gini,1,1,30,constant,66,auto,5,11,nnClassifier,2,6,adam,distance,0.5377358490566038,659.193946394138
relu,auto,15,gini,1,1,20,constant,29,auto,8,26,nnClassifier,1,10,adam,distance,0.539622641509434,659.1939776339568
relu,auto,18,gini,1,1,16,constant,75,auto,2,31,nnClassifier,1,10,adam,distance,0.539622641509434,659.1940079431515
relu,auto,16,gini,1,1,24,constant,21,auto,7,22,nnClassifier,1,10,adam,distance,0.539622641509434,659.1940377131104
relu,auto,17,gini,1,1,22,constant,39,auto,2,21,nnClassifier,1,10,adam,distance,0.539622641509434,659.1940679920372
relu,auto,17,gini,1,1,20,constant,75,auto,2,31,nnClassifier,1,10,adam,distance,0.539622641509434,659.1940977419727
