activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,18,gini,0,0,1,8,invscaling,78,auto,15,35,nnClassifier,9,6,adam,distance,0.9486673247778875,89.15580658707768
identity,ball_tree,27,gini,1,1,1,36,invscaling,7,auto,15,24,nnClassifier,5,6,adam,distance,0.9624876604146101,89.15585210709833
identity,ball_tree,25,entropy,0,1,1,16,invscaling,30,auto,14,22,randomForestClassifier,8,3,lbfgs,distance,0.9585389930898321,89.1558845161926
logistic,ball_tree,22,gini,0,0,1,35,invscaling,32,auto,13,8,kneighborsClassifier,6,4,lbfgs,uniform,0.9624876604146101,89.1559171860572
tanh,auto,14,entropy,1,0,1,9,invscaling,47,auto,14,6,randomForestClassifier,9,5,lbfgs,uniform,0.9585389930898321,89.15594854508527
logistic,kd_tree,22,entropy,0,0,1,38,invscaling,31,auto,14,27,randomForestClassifier,9,5,lbfgs,uniform,0.9664363277393879,89.15597939514555
logistic,kd_tree,19,entropy,0,0,1,38,invscaling,32,auto,11,26,nnClassifier,9,6,sgd,uniform,0,89.15600998420268
identity,ball_tree,24,gini,1,0,1,31,invscaling,44,auto,7,29,kneighborsClassifier,9,6,sgd,uniform,0.9585389930898321,89.15603967406787
relu,ball_tree,15,entropy,0,0,1,38,constant,33,auto,4,15,randomForestClassifier,7,5,adam,uniform,0,89.1560796929989
logistic,auto,27,entropy,1,0,1,11,invscaling,90,auto,13,24,nnClassifier,7,5,adam,uniform,0.9624876604146101,89.15610928297974
relu,ball_tree,22,entropy,1,0,1,29,invscaling,34,auto,7,12,nnClassifier,10,5,sgd,distance,0.9624876604146101,89.15613978216425
relu,kd_tree,26,gini,0,1,1,29,invscaling,39,auto,6,24,nnClassifier,6,6,adam,distance,0.9624876604146101,89.15617013210431
logistic,ball_tree,15,entropy,1,0,1,16,invscaling,96,auto,15,27,nnClassifier,9,5,adam,distance,0.9427443237907206,89.15620038216002
identity,ball_tree,21,entropy,1,0,1,18,constant,91,auto,6,26,kneighborsClassifier,9,5,sgd,uniform,0.9575518262586377,89.15623061102815
relu,ball_tree,27,entropy,0,1,1,13,invscaling,20,auto,14,27,kneighborsClassifier,10,6,lbfgs,distance,0.9575518262586377,89.15626106108539
tanh,kd_tree,25,entropy,0,0,1,31,constant,19,auto,16,25,kneighborsClassifier,3,6,sgd,distance,0,89.15629156003706
logistic,ball_tree,22,entropy,1,0,1,32,invscaling,60,auto,14,13,kneighborsClassifier,8,6,lbfgs,uniform,0.9555774925962488,89.15632081008516
identity,kd_tree,22,gini,1,1,1,16,invscaling,29,auto,10,22,kneighborsClassifier,6,6,lbfgs,uniform,0.9585389930898321,89.15635119914077
tanh,ball_tree,10,gini,0,0,1,26,invscaling,79,auto,7,26,randomForestClassifier,9,5,lbfgs,distance,0.9654491609081934,89.15638155909255
logistic,ball_tree,13,gini,1,1,1,33,constant,51,auto,9,36,kneighborsClassifier,5,8,lbfgs,distance,0.9565646594274433,89.15641192812473
relu,auto,22,gini,1,1,1,12,constant,74,auto,13,31,nnClassifier,9,2,adam,distance,0.9417571569595261,217.58187566814013
relu,auto,25,gini,1,1,1,40,constant,11,auto,14,28,nnClassifier,4,10,adam,distance,0.9466929911154985,217.5819215271622
relu,auto,23,gini,1,1,1,20,constant,32,auto,13,25,nnClassifier,10,7,adam,distance,0.9654491609081934,217.58195329713635
relu,auto,22,gini,1,1,1,36,constant,30,auto,12,12,nnClassifier,6,8,adam,distance,0.9605133267522211,217.58198431599885
relu,auto,18,gini,1,1,1,13,constant,43,auto,14,10,nnClassifier,9,6,adam,distance,0.9654491609081934,217.58201497606933
relu,auto,22,gini,1,1,1,38,constant,31,auto,14,27,nnClassifier,9,5,adam,distance,0.9664363277393879,217.5820457150694
relu,auto,23,gini,1,1,1,38,constant,29,auto,15,28,nnClassifier,10,3,adam,distance,0.9624876604146101,217.58209626516327
relu,auto,20,gini,1,1,1,35,constant,44,auto,11,26,nnClassifier,9,10,adam,distance,0.9585389930898321,217.58212675410323
relu,auto,18,gini,1,1,1,40,constant,29,auto,8,16,nnClassifier,10,5,adam,distance,0.9634748272458046,217.58215732406825
relu,auto,23,gini,1,1,1,15,constant,86,auto,15,22,nnClassifier,9,2,adam,distance,0.9417571569595261,217.5821875531692
relu,auto,20,gini,1,1,1,33,constant,31,auto,6,13,nnClassifier,9,6,adam,distance,0.9624876604146101,217.58221766306087
relu,auto,24,gini,1,1,1,33,constant,35,auto,10,22,nnClassifier,10,6,adam,distance,0.9407699901283317,217.58224753220566
relu,auto,19,gini,1,1,1,20,constant,92,auto,15,26,nnClassifier,9,5,adam,distance,0.945705824284304,217.58227772219107
relu,auto,24,gini,1,1,1,22,constant,87,auto,10,28,nnClassifier,9,6,adam,distance,0.9595261599210266,217.5823076320812
relu,auto,23,gini,1,1,1,17,constant,24,auto,14,27,nnClassifier,10,7,adam,distance,0.9545903257650543,217.58233759109862
relu,auto,23,gini,1,1,1,35,constant,23,auto,12,27,nnClassifier,6,5,adam,distance,0.9575518262586377,217.5823677610606
relu,auto,21,gini,1,1,1,36,constant,56,auto,15,17,nnClassifier,10,6,adam,distance,0.9585389930898321,217.58239756012335
relu,auto,24,gini,1,1,1,20,constant,30,auto,14,22,nnClassifier,10,8,adam,distance,0.9585389930898321,217.58242760016583
relu,auto,14,gini,1,1,1,30,constant,75,auto,11,26,nnClassifier,8,1,adam,distance,0.9654491609081934,217.5824575291481
relu,auto,17,gini,1,1,1,36,constant,47,auto,13,33,nnClassifier,9,4,adam,distance,0.9565646594274433,217.58248730911873
relu,auto,18,gini,1,1,1,16,constant,71,auto,17,35,nnClassifier,10,4,adam,distance,0.9427443237907206,867.253049259074
relu,auto,29,gini,1,1,1,39,constant,14,auto,11,24,nnClassifier,1,10,adam,distance,0.9466929911154985,867.2531107279938
relu,auto,23,gini,1,1,1,24,constant,31,auto,15,23,nnClassifier,9,4,adam,distance,0.9486673247778875,867.2531435380224
relu,auto,23,gini,1,1,1,35,constant,30,auto,16,14,nnClassifier,2,7,adam,distance,0.9437314906219151,867.2531748570036
relu,auto,16,gini,1,1,1,17,constant,39,auto,14,14,nnClassifier,9,5,adam,distance,0.9486673247778875,867.2532059671357
relu,auto,22,gini,1,1,1,38,constant,31,auto,14,27,nnClassifier,9,5,adam,distance,0.9427443237907206,867.253236846067
relu,auto,19,gini,1,1,1,38,constant,33,auto,11,28,nnClassifier,9,7,adam,distance,0.9486673247778875,867.2532681061421
relu,auto,24,gini,1,1,1,33,constant,40,auto,7,30,nnClassifier,9,8,adam,distance,0.9486673247778875,867.2532989461906
relu,auto,22,gini,1,1,1,38,constant,31,auto,12,20,nnClassifier,6,5,adam,distance,0.945705824284304,867.2533299550414
relu,auto,27,gini,1,1,1,19,constant,82,auto,16,25,nnClassifier,5,2,adam,distance,0.9437314906219151,867.2533605550416
relu,auto,24,gini,1,1,1,33,constant,35,auto,10,17,nnClassifier,9,6,adam,distance,0.9486673247778875,867.2533914940432
relu,auto,28,gini,1,1,1,33,constant,37,auto,8,22,nnClassifier,6,9,adam,distance,0.945705824284304,867.2534220539965
relu,auto,23,gini,1,1,1,24,constant,88,auto,13,28,nnClassifier,9,5,adam,distance,0.9427443237907206,867.2534528342076
relu,auto,21,gini,1,1,1,26,constant,83,auto,12,28,nnClassifier,9,6,adam,distance,0.9486673247778875,867.2534834030084
relu,auto,27,gini,1,1,1,21,constant,24,auto,14,26,nnClassifier,9,5,adam,distance,0.9486673247778875,867.2535141929984
relu,auto,23,gini,1,1,1,38,constant,20,auto,16,24,nnClassifier,6,5,adam,distance,0.945705824284304,867.2535447820555
relu,auto,23,gini,1,1,1,32,constant,54,auto,15,15,nnClassifier,6,4,adam,distance,0.947680157946693,867.253575442126
relu,auto,26,gini,1,1,1,24,constant,30,auto,11,24,nnClassifier,6,7,adam,distance,0.945705824284304,867.2536060221028
relu,auto,11,gini,1,1,1,34,constant,71,auto,13,27,nnClassifier,8,2,adam,distance,0.9427443237907206,867.2536369110458
relu,auto,21,gini,1,1,1,38,constant,49,auto,15,36,nnClassifier,5,8,adam,distance,0.9437314906219151,867.2536675510928
relu,auto,14,gini,1,1,1,20,constant,75,auto,15,31,nnClassifier,9,4,adam,distance,0.945705824284304,1460.7026523579843
relu,auto,27,gini,1,1,1,38,constant,18,auto,13,20,nnClassifier,5,6,adam,distance,0.9466929911154985,1460.7027056871448
