activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,20,gini,1,1,1,10,constant,16,sqrt,5,12,nnClassifier,4,1,sgd,distance,0.9615004935834156,138.02524016494863
tanh,auto,11,entropy,1,1,1,22,constant,65,log2,16,34,nnClassifier,4,2,adam,distance,0.9466929911154985,138.02529786387458
tanh,ball_tree,13,entropy,1,0,1,20,constant,88,auto,7,23,kneighborsClassifier,5,3,sgd,distance,0.9605133267522211,138.0253305528313
tanh,auto,18,entropy,1,0,1,14,invscaling,30,sqrt,14,30,nnClassifier,5,4,sgd,distance,0.9615004935834156,138.0253625428304
tanh,brute,15,gini,1,1,1,36,invscaling,81,log2,14,19,kneighborsClassifier,7,2,adam,distance,0.932872655478776,138.02539390185848
tanh,brute,24,entropy,1,1,1,30,constant,17,log2,5,15,randomForestClassifier,7,4,adam,distance,0.9753208292201382,138.0254265719559
tanh,brute,15,entropy,1,0,1,21,invscaling,29,log2,5,2,randomForestClassifier,6,2,lbfgs,distance,0.9792694965449161,138.025457640877
tanh,brute,17,entropy,1,1,1,12,constant,79,auto,6,23,nnClassifier,5,3,lbfgs,distance,0.9447186574531096,138.02548834099434
relu,auto,14,entropy,1,1,1,21,invscaling,34,log2,16,18,nnClassifier,8,3,lbfgs,distance,0.9466929911154985,138.0255195198115
tanh,auto,10,entropy,1,0,1,13,constant,56,log2,12,14,randomForestClassifier,6,2,lbfgs,distance,0.9654491609081934,138.02555026998743
relu,brute,15,gini,1,1,1,21,invscaling,29,auto,4,13,nnClassifier,6,1,sgd,distance,0.9615004935834156,138.0255817489233
tanh,auto,16,gini,1,0,1,22,invscaling,36,sqrt,18,14,kneighborsClassifier,7,7,lbfgs,distance,0,138.0256130688358
tanh,brute,26,gini,1,0,1,12,constant,50,log2,8,6,kneighborsClassifier,3,2,lbfgs,distance,0.9585389930898321,138.0256436278578
tanh,auto,14,entropy,1,0,1,15,invscaling,47,sqrt,11,11,randomForestClassifier,8,3,sgd,distance,0,138.02567508793436
tanh,brute,14,entropy,1,0,1,12,invscaling,49,log2,14,20,kneighborsClassifier,5,1,lbfgs,distance,0.947680157946693,138.02570555685088
tanh,kd_tree,27,entropy,1,0,1,32,invscaling,56,auto,3,7,randomForestClassifier,6,7,lbfgs,distance,0.9763079960513327,138.02573651680723
tanh,ball_tree,13,gini,1,1,1,30,invscaling,50,auto,14,20,kneighborsClassifier,6,2,adam,distance,0.9615004935834156,138.02576754591428
relu,kd_tree,12,entropy,1,1,1,31,invscaling,67,log2,5,3,nnClassifier,5,2,adam,distance,0.947680157946693,138.0257985459175
tanh,brute,14,gini,1,1,1,22,invscaling,83,log2,5,23,nnClassifier,6,4,lbfgs,distance,0.9615004935834156,138.02582902484573
tanh,brute,26,entropy,1,1,1,29,invscaling,38,auto,7,14,kneighborsClassifier,5,2,lbfgs,distance,0.9624876604146101,138.02585960482247
relu,auto,16,gini,1,1,1,14,constant,20,auto,5,8,nnClassifier,8,5,adam,distance,0.9427443237907206,410.94072933285497
relu,auto,15,gini,1,1,1,18,constant,61,auto,12,30,nnClassifier,8,1,adam,distance,0.9437314906219151,410.940784211969
relu,auto,14,gini,1,1,1,24,constant,84,auto,5,19,nnClassifier,6,2,adam,distance,0.9565646594274433,410.9408164618071
relu,auto,14,gini,1,1,1,16,constant,27,auto,12,26,nnClassifier,5,8,adam,distance,0.9565646594274433,410.9408474408556
relu,auto,13,gini,1,1,1,32,constant,77,auto,10,15,nnClassifier,6,3,adam,distance,0.9338598223099703,410.9408785009291
relu,auto,20,gini,1,1,1,28,constant,21,auto,3,11,nnClassifier,8,1,adam,distance,0.9763079960513327,410.9409089698456
relu,auto,15,gini,1,1,1,21,constant,29,auto,5,2,nnClassifier,6,2,adam,distance,0.9792694965449161,410.9409393898677
relu,auto,16,gini,1,1,1,16,constant,75,auto,3,19,nnClassifier,6,2,adam,distance,0.9427443237907206,410.94096954888664
relu,auto,18,gini,1,1,1,21,constant,35,auto,12,14,nnClassifier,6,2,adam,distance,0.9447186574531096,410.94100002897903
relu,auto,14,gini,1,1,1,17,constant,52,auto,8,10,nnClassifier,8,1,adam,distance,0.9782823297137216,410.9410307679791
relu,auto,17,gini,1,1,1,23,constant,29,auto,4,9,nnClassifier,7,1,adam,distance,0.9565646594274433,410.9410611279309
relu,auto,13,gini,1,1,1,21,constant,32,auto,14,10,nnClassifier,8,3,adam,distance,0.9634748272458046,410.9410911768209
relu,auto,22,gini,1,1,1,15,constant,46,auto,7,2,nnClassifier,7,6,adam,distance,0.9565646594274433,410.94112137681805
relu,auto,14,gini,1,1,1,18,constant,43,auto,7,7,nnClassifier,7,1,adam,distance,0.9782823297137216,410.9411514259409
relu,auto,17,gini,1,1,1,16,constant,45,auto,10,16,nnClassifier,4,2,adam,distance,0.9565646594274433,410.9411816159263
relu,auto,23,gini,1,1,1,28,constant,52,auto,5,8,nnClassifier,5,3,adam,distance,0.9763079960513327,410.94122224487364
relu,auto,15,gini,1,1,1,28,constant,46,auto,13,16,nnClassifier,10,2,adam,distance,0.9338598223099703,410.9412527550012
relu,auto,16,gini,1,1,1,28,constant,63,auto,4,6,nnClassifier,3,3,adam,distance,0.947680157946693,410.9412830939982
relu,auto,14,gini,1,1,1,20,constant,79,auto,4,19,nnClassifier,6,1,adam,distance,0.9486673247778875,410.9413129638415
relu,auto,22,gini,1,1,1,25,constant,34,auto,9,10,nnClassifier,7,2,adam,distance,0.9338598223099703,410.94134289282374
relu,auto,14,gini,1,1,1,10,constant,24,auto,5,4,nnClassifier,8,1,adam,distance,0.947680157946693,1194.308131431928
relu,auto,17,gini,1,1,1,16,constant,57,auto,8,26,nnClassifier,9,2,adam,distance,0.9496544916090819,1194.308186530834
relu,auto,13,gini,1,1,1,23,constant,80,auto,9,15,nnClassifier,7,6,adam,distance,0.9447186574531096,1194.308232539799
relu,auto,14,gini,1,1,1,15,constant,31,auto,10,22,nnClassifier,9,4,adam,distance,0.947680157946693,1194.3082639698405
relu,auto,12,gini,1,1,1,28,constant,73,auto,6,11,nnClassifier,5,3,adam,distance,0.9447186574531096,1194.3082961388864
relu,auto,19,gini,1,1,1,24,constant,21,auto,4,7,nnClassifier,4,3,adam,distance,0.947680157946693,1194.3083274988458
relu,auto,15,gini,1,1,1,21,constant,29,auto,5,2,nnClassifier,6,2,adam,distance,0.9486673247778875,1194.308358847862
relu,auto,15,gini,1,1,1,20,constant,71,auto,6,15,nnClassifier,7,2,adam,distance,0.945705824284304,1194.3083898378536
relu,auto,15,gini,1,1,1,21,constant,31,auto,9,10,nnClassifier,5,1,adam,distance,0.9486673247778875,1194.3084207267966
relu,auto,12,gini,1,1,1,19,constant,48,auto,8,7,nnClassifier,4,1,adam,distance,0.9486673247778875,1194.3084518369287
relu,auto,18,gini,1,1,1,19,constant,30,auto,8,13,nnClassifier,9,4,adam,distance,0.9486673247778875,1194.308482935885
relu,auto,14,gini,1,1,1,22,constant,30,auto,10,6,nnClassifier,4,1,adam,distance,0.9466929911154985,1194.3085141058546
relu,auto,18,gini,1,1,1,19,constant,42,auto,11,6,nnClassifier,5,6,adam,distance,0.9447186574531096,1194.3085450648796
relu,auto,14,gini,1,1,1,19,constant,39,auto,4,6,nnClassifier,8,4,adam,distance,0.9486673247778875,1194.3085759549867
relu,auto,13,gini,1,1,1,20,constant,41,auto,6,12,nnClassifier,6,1,adam,distance,0.947680157946693,1194.308606833918
relu,auto,20,gini,1,1,1,26,constant,48,auto,3,5,nnClassifier,9,4,adam,distance,0.9466929911154985,1194.3086376639549
relu,auto,11,gini,1,1,1,32,constant,42,auto,9,12,nnClassifier,7,3,adam,distance,0.9496544916090819,1194.3086684129667
relu,auto,17,gini,1,1,1,26,constant,59,auto,3,2,nnClassifier,6,3,adam,distance,0.947680157946693,1194.308699372923
relu,auto,12,gini,1,1,1,19,constant,75,auto,4,23,nnClassifier,6,3,adam,distance,0.9447186574531096,1194.3087304218207
relu,auto,24,gini,1,1,1,27,constant,38,auto,5,6,nnClassifier,9,2,adam,distance,0.9447186574531096,1194.3087614318356
