activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,21,gini,1,1,1,37,constant,52,auto,14,17,nnClassifier,9,10,adam,distance,0.9496544916090819,1356.3905994889792
relu,auto,18,gini,1,1,1,37,constant,12,auto,14,5,nnClassifier,9,10,adam,distance,0.9496544916090819,1356.3906306179706
relu,auto,18,gini,1,1,1,36,constant,12,auto,6,14,nnClassifier,4,7,adam,distance,0.9536031589338598,1356.3906647181138
relu,auto,19,gini,1,1,1,32,constant,13,auto,15,17,nnClassifier,8,10,adam,distance,0.9496544916090819,1356.3906985069625
relu,auto,22,gini,1,1,1,29,constant,9,auto,11,2,nnClassifier,9,3,adam,distance,0.9506416584402764,1356.3907297370024
relu,auto,17,gini,1,1,1,23,constant,24,auto,16,20,nnClassifier,7,10,adam,distance,0.9496544916090819,1356.390760896029
relu,auto,18,gini,1,1,1,30,constant,40,auto,13,27,nnClassifier,9,10,adam,distance,0.9486673247778875,1356.3907920960337
relu,auto,20,gini,1,1,1,38,constant,72,auto,8,9,nnClassifier,7,8,adam,distance,0.947680157946693,1356.3908232259564
relu,auto,18,gini,1,1,1,29,constant,13,auto,14,19,nnClassifier,10,10,adam,distance,0.9516288252714709,1356.39085423504
relu,auto,18,gini,1,1,1,29,constant,88,auto,11,14,nnClassifier,5,10,adam,distance,0.9496544916090819,1356.3908855649643
relu,auto,16,gini,1,1,1,28,constant,20,auto,12,27,nnClassifier,10,9,adam,distance,0.9516288252714709,1356.3909165940713
relu,auto,22,gini,1,1,1,30,constant,7,auto,14,24,nnClassifier,5,10,adam,distance,0.9496544916090819,1356.390947574051
relu,auto,18,gini,1,1,1,37,constant,38,auto,14,12,nnClassifier,6,6,adam,distance,0.947680157946693,1356.390978832962
relu,auto,18,gini,1,1,1,35,constant,33,auto,10,13,nnClassifier,9,10,adam,distance,0.9486673247778875,1356.3910097531043
relu,auto,18,gini,1,1,1,36,constant,22,auto,14,12,nnClassifier,9,10,adam,distance,0.9516288252714709,2199.9734821550082
relu,auto,19,gini,1,1,1,16,constant,82,auto,10,20,nnClassifier,9,7,adam,distance,0.9486673247778875,2199.97353086411
relu,auto,18,gini,1,1,1,33,constant,68,auto,15,19,nnClassifier,8,10,adam,distance,0.9536031589338598,2199.9735632140655
relu,auto,32,gini,1,1,1,37,constant,34,auto,8,16,nnClassifier,9,6,adam,distance,0.9496544916090819,2199.973594482988
relu,auto,13,gini,1,1,1,25,constant,13,auto,13,14,nnClassifier,9,10,adam,distance,0.9486673247778875,2199.9736256131437
relu,auto,15,gini,1,1,1,35,constant,71,auto,13,17,nnClassifier,8,7,adam,distance,0.9486673247778875,2199.97365646204
relu,auto,17,gini,1,1,1,37,constant,51,auto,14,13,nnClassifier,9,8,adam,distance,0.9486673247778875,2199.9736872320063
relu,auto,18,gini,1,1,1,37,constant,12,auto,14,5,nnClassifier,9,10,adam,distance,0.9496544916090819,2199.973730151076
relu,auto,18,gini,1,1,1,38,constant,8,auto,2,10,nnClassifier,3,3,adam,distance,0.9506416584402764,2199.9737611811142
relu,auto,17,gini,1,1,1,35,constant,12,auto,11,13,nnClassifier,7,6,adam,distance,0.9516288252714709,2199.9737918400206
relu,auto,26,gini,1,1,1,33,constant,9,auto,14,3,nnClassifier,5,7,adam,distance,0.9486673247778875,2199.9738225501496
relu,auto,17,gini,1,1,1,27,constant,28,auto,15,16,nnClassifier,7,10,adam,distance,0.9496544916090819,2199.973853030009
relu,auto,18,gini,1,1,1,31,constant,44,auto,14,23,nnClassifier,9,10,adam,distance,0.9496544916090819,2199.973884138977
relu,auto,24,gini,1,1,1,36,constant,68,auto,12,11,nnClassifier,9,7,adam,distance,0.9496544916090819,2199.973914999049
relu,auto,18,gini,1,1,1,25,constant,14,auto,14,15,nnClassifier,6,10,adam,distance,0.947680157946693,2199.973945677979
relu,auto,14,gini,1,1,1,25,constant,84,auto,15,18,nnClassifier,5,9,adam,distance,0.9486673247778875,2199.9739762181416
relu,auto,16,gini,1,1,1,32,constant,24,auto,13,23,nnClassifier,6,7,adam,distance,0.947680157946693,2199.974007138051
relu,auto,21,gini,1,1,1,28,constant,6,auto,10,20,nnClassifier,9,6,adam,distance,0.9496544916090819,2199.9740373771638
relu,auto,21,gini,1,1,1,35,constant,34,auto,10,9,nnClassifier,2,6,adam,distance,0.9506416584402764,2199.9740677771624
relu,auto,16,gini,1,1,1,31,constant,29,auto,10,9,nnClassifier,9,10,adam,distance,0.9496544916090819,2199.974107846152
relu,auto,18,gini,1,1,1,38,constant,18,auto,14,8,nnClassifier,9,10,adam,distance,0.9496544916090819,3034.7819675169885
relu,auto,19,gini,1,1,1,20,constant,78,auto,11,24,nnClassifier,9,8,adam,distance,0.9486673247778875,3034.782013725955
relu,auto,17,gini,1,1,1,37,constant,64,auto,12,15,nnClassifier,8,10,adam,distance,0.9496544916090819,3034.7820455259643
relu,auto,31,gini,1,1,1,33,constant,30,auto,11,20,nnClassifier,9,8,adam,distance,0.9496544916090819,3034.7820766251534
relu,auto,17,gini,1,1,1,28,constant,13,auto,17,15,nnClassifier,9,10,adam,distance,0.9496544916090819,3034.78211330506
relu,auto,19,gini,1,1,1,34,constant,67,auto,12,13,nnClassifier,9,8,adam,distance,0.9516288252714709,3034.782144194003
relu,auto,16,gini,1,1,1,38,constant,48,auto,14,9,nnClassifier,9,7,adam,distance,0.9496544916090819,3034.7821748340502
relu,auto,18,gini,1,1,1,37,constant,12,auto,14,5,nnClassifier,9,10,adam,distance,0.9496544916090819,3034.782205482945
relu,auto,18,gini,1,1,1,34,constant,5,auto,6,14,nnClassifier,7,4,adam,distance,0.9437314906219151,3034.7822357630357
relu,auto,18,gini,1,1,1,38,constant,16,auto,14,9,nnClassifier,5,5,adam,distance,0.9496544916090819,3034.782266282942
relu,auto,22,gini,1,1,1,32,constant,11,auto,14,5,nnClassifier,3,9,adam,distance,0.9486673247778875,3034.782297172118
relu,auto,17,gini,1,1,1,23,constant,24,auto,14,20,nnClassifier,6,10,adam,distance,0.9496544916090819,3034.7823275120463
relu,auto,21,gini,1,1,1,35,constant,40,auto,13,19,nnClassifier,9,10,adam,distance,0.9496544916090819,3034.78235808108
relu,auto,28,gini,1,1,1,36,constant,64,auto,15,7,nnClassifier,10,10,adam,distance,0.947680157946693,3034.7823888610583
relu,auto,16,gini,1,1,1,29,constant,14,auto,14,17,nnClassifier,5,10,adam,distance,0.9506416584402764,3034.782419291092
relu,auto,10,gini,1,1,1,29,constant,80,auto,11,19,nnClassifier,9,9,adam,distance,0.947680157946693,3034.782449820079
relu,auto,12,gini,1,1,1,28,constant,28,auto,15,27,nnClassifier,7,6,adam,distance,0.9496544916090819,3034.782480020076
relu,auto,17,gini,1,1,1,32,constant,8,auto,9,24,nnClassifier,8,6,adam,distance,0.9486673247778875,3034.782510429155
relu,auto,21,gini,1,1,1,34,constant,38,auto,8,13,nnClassifier,6,9,adam,distance,0.9486673247778875,3034.7825416889973
relu,auto,17,gini,1,1,1,35,constant,28,auto,14,5,nnClassifier,9,10,adam,distance,0.9486673247778875,3034.782576567959
