activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,16,gini,1,1,1,7,adaptive,93,auto,9,29,kneighborsClassifier,5,3,sgd,distance,0.9516288252714709,141.57322658412158
tanh,kd_tree,23,gini,1,1,1,23,adaptive,84,log2,6,28,kneighborsClassifier,7,8,adam,distance,0,141.57328240410425
tanh,auto,15,gini,1,1,1,15,adaptive,91,sqrt,12,34,randomForestClassifier,8,9,adam,distance,0,141.5733141331002
tanh,kd_tree,16,gini,1,1,1,7,adaptive,50,log2,9,34,randomForestClassifier,8,8,sgd,distance,0.9723593287265548,141.5733455531299
tanh,auto,16,gini,1,1,1,21,invscaling,93,sqrt,7,17,randomForestClassifier,4,5,sgd,distance,0.9703849950641659,141.5733779030852
relu,auto,17,gini,1,1,1,20,adaptive,75,sqrt,9,20,kneighborsClassifier,6,7,sgd,distance,0.9674234945705824,141.57340911217034
relu,ball_tree,12,gini,1,1,1,32,invscaling,57,log2,14,33,kneighborsClassifier,5,5,sgd,distance,0.9151036525172754,141.57344044209458
tanh,kd_tree,16,gini,1,1,1,35,invscaling,92,auto,7,24,randomForestClassifier,8,6,sgd,distance,0,141.57347167213447
tanh,kd_tree,12,gini,1,1,1,13,constant,6,log2,9,23,kneighborsClassifier,7,6,sgd,distance,0.9516288252714709,141.5735159511678
tanh,auto,15,gini,1,1,1,6,invscaling,15,sqrt,7,16,kneighborsClassifier,8,7,sgd,distance,0.9674234945705824,141.57354686106555
tanh,kd_tree,23,gini,1,1,1,17,invscaling,20,auto,10,31,randomForestClassifier,5,8,adam,distance,0.9703849950641659,141.5735776501242
tanh,kd_tree,13,gini,1,1,1,36,constant,77,log2,16,34,nnClassifier,6,4,adam,distance,0.9605133267522211,141.5736084501259
tanh,kd_tree,13,gini,1,1,1,4,invscaling,81,sqrt,13,6,randomForestClassifier,8,7,sgd,distance,0,141.57363922009245
tanh,kd_tree,14,gini,1,1,1,7,constant,37,auto,12,35,nnClassifier,7,9,sgd,distance,0.9605133267522211,141.57366915908642
tanh,ball_tree,18,gini,1,1,1,30,adaptive,36,sqrt,12,34,randomForestClassifier,9,6,sgd,distance,0.9674234945705824,141.57369980914518
relu,auto,24,gini,1,1,1,22,constant,11,sqrt,10,21,kneighborsClassifier,8,8,sgd,distance,0.9674234945705824,141.57373051904142
tanh,auto,27,gini,1,1,1,16,constant,15,sqrt,9,28,nnClassifier,8,6,sgd,distance,0.9407699901283317,141.57376153813675
tanh,auto,16,gini,1,1,1,11,adaptive,14,auto,9,33,nnClassifier,8,6,adam,distance,0.9605133267522211,141.57379184802994
tanh,kd_tree,11,gini,1,1,1,34,invscaling,76,auto,9,10,nnClassifier,5,8,sgd,distance,0.9466929911154985,141.57382207806222
tanh,kd_tree,22,gini,1,1,1,27,invscaling,51,auto,9,6,randomForestClassifier,5,8,adam,distance,0.9674234945705824,141.57385259703733
relu,auto,16,gini,1,1,1,7,constant,89,auto,11,29,nnClassifier,2,7,adam,distance,0.9516288252714709,299.3051175661385
relu,auto,19,gini,1,1,1,20,constant,80,auto,9,32,nnClassifier,7,7,adam,distance,0.9644619940769991,299.3051761360839
relu,auto,19,gini,1,1,1,11,constant,87,auto,8,35,nnClassifier,9,8,adam,distance,0.9713721618953604,299.30520805506967
relu,auto,16,gini,1,1,1,7,constant,50,auto,9,34,nnClassifier,8,8,adam,distance,0.9723593287265548,299.3052399849985
relu,auto,16,gini,1,1,1,17,constant,89,auto,5,21,nnClassifier,5,9,adam,distance,0.9703849950641659,299.30527133401483
relu,auto,16,gini,1,1,1,16,constant,71,auto,13,24,nnClassifier,6,7,adam,distance,0.9624876604146101,299.3053030341398
relu,auto,16,gini,1,1,1,28,constant,56,auto,10,35,nnClassifier,9,9,adam,distance,0.9595261599210266,299.3053342839703
relu,auto,18,gini,1,1,1,31,constant,88,auto,10,28,nnClassifier,8,10,adam,distance,0.9703849950641659,299.30536513309926
relu,auto,16,gini,1,1,1,9,constant,10,auto,7,27,nnClassifier,10,10,adam,distance,0.9615004935834156,299.3053962229751
relu,auto,13,gini,1,1,1,7,constant,19,auto,9,20,nnClassifier,7,7,adam,distance,0.9624876604146101,299.3054272530135
relu,auto,19,gini,1,1,1,13,constant,24,auto,6,35,nnClassifier,9,8,adam,distance,0.9723593287265548,299.30545800202526
relu,auto,15,gini,1,1,1,32,constant,73,auto,12,32,nnClassifier,9,2,adam,distance,0.9437314906219151,299.3054888320621
relu,auto,17,gini,1,1,1,8,constant,77,auto,9,9,nnClassifier,9,10,adam,distance,0.9703849950641659,299.30553063214757
relu,auto,11,gini,1,1,1,8,constant,41,auto,15,32,nnClassifier,5,9,adam,distance,0.9417571569595261,299.3055613511242
relu,auto,16,gini,1,1,1,26,constant,40,auto,10,34,nnClassifier,8,4,adam,distance,0.9713721618953604,299.3055919210892
relu,auto,20,gini,1,1,1,25,constant,15,auto,10,24,nnClassifier,8,8,adam,distance,0.9644619940769991,299.3056227611378
relu,auto,23,gini,1,1,1,12,constant,19,auto,9,32,nnClassifier,8,7,adam,distance,0.9427443237907206,299.30565314996056
relu,auto,18,gini,1,1,1,7,constant,18,auto,9,34,nnClassifier,4,4,adam,distance,0.9378084896347483,299.305683700135
relu,auto,13,gini,1,1,1,32,constant,72,auto,10,9,nnClassifier,6,4,adam,distance,0.9437314906219151,299.3057140700985
relu,auto,18,gini,1,1,1,23,constant,49,auto,9,10,nnClassifier,9,8,adam,distance,0.9713721618953604,299.3057446491439
relu,auto,17,gini,1,1,1,7,constant,85,auto,13,29,nnClassifier,1,5,adam,distance,0.9417571569595261,1031.1396789220162
relu,auto,15,gini,1,1,1,17,constant,76,auto,10,33,nnClassifier,9,8,adam,distance,0.9407699901283317,1031.139731251169
relu,auto,15,gini,1,1,1,7,constant,83,auto,10,33,nnClassifier,7,8,adam,distance,0.9397828232971372,1031.1397638609633
relu,auto,16,gini,1,1,1,7,constant,50,auto,9,34,nnClassifier,8,8,adam,distance,0.9397828232971372,1031.1397958800662
relu,auto,15,gini,1,1,1,19,constant,85,auto,7,22,nnClassifier,5,5,adam,distance,0.9407699901283317,1031.1398271799553
relu,auto,17,gini,1,1,1,13,constant,67,auto,9,28,nnClassifier,3,4,adam,distance,0.9466929911154985,1031.139858479146
