activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,28,mse,0,1,0,0,0,0,1,1,1,1,0,1,37,constant,32,sqrt,5,11,nnRegressor,4,9,sgd,distance,0.22188458463161476
relu,kd_tree,18,poisson,1,1,0,0,0,0,1,0,1,0,1,0,2,invscaling,29,auto,13,12,nnRegressor,9,1,adam,distance,0.504035983332271
relu,kd_tree,8,mae,1,0,0,1,1,0,0,0,0,0,0,1,20,adaptive,62,auto,5,34,kneighborsRegressor,7,9,lbfgs,uniform,0.4412730746834722
logistic,auto,15,poisson,1,0,1,0,1,0,1,1,1,0,0,1,19,adaptive,92,sqrt,17,16,nnRegressor,6,5,adam,uniform,0.9989769142652647
identity,ball_tree,12,poisson,0,0,1,0,0,0,0,1,1,0,0,1,26,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9999999999203192
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,1,0,1,4,constant,46,auto,8,28,randomForestRegressor,7,10,adam,uniform,0.9999670973178888
identity,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,distance,0.9999342636022583
tanh,ball_tree,17,mae,0,1,1,1,0,1,0,0,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999111992676973
logistic,auto,15,poisson,1,0,1,0,1,0,1,1,1,0,0,1,19,adaptive,92,sqrt,17,16,nnRegressor,6,5,adam,uniform,0.9989769142652647
relu,ball_tree,16,mae,1,0,1,0,1,1,0,1,1,1,0,1,23,constant,51,log2,9,4,randomForestRegressor,7,8,adam,distance,0.9945350572756189
relu,ball_tree,16,mae,1,0,1,0,1,1,0,1,1,0,1,1,12,invscaling,78,sqrt,8,10,kneighborsRegressor,4,3,adam,uniform,0.6546112114735838
logistic,auto,8,poisson,1,0,0,1,0,0,1,1,1,1,0,1,23,constant,51,log2,9,4,randomForestRegressor,7,8,adam,uniform,0.6192081208936022
logistic,ball_tree,11,poisson,0,1,1,1,1,0,1,1,1,0,1,0,11,constant,97,log2,6,33,kneighborsRegressor,2,4,sgd,distance,0.5611460303627408
tanh,ball_tree,11,poisson,0,1,1,1,1,0,1,1,1,1,1,1,34,adaptive,52,log2,3,5,kneighborsRegressor,7,9,lbfgs,uniform,0.5546725468420016
identity,ball_tree,12,poisson,0,0,1,0,0,0,0,1,0,1,0,1,4,constant,46,auto,8,28,randomForestRegressor,7,10,adam,uniform,0.3717408145115738
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,40,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,distance,0.9999342636022583
identity,kd_tree,9,mse,1,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999343575990199
tanh,ball_tree,17,mae,0,1,1,1,0,1,0,0,1,0,0,1,19,adaptive,92,sqrt,17,16,nnRegressor,6,5,adam,uniform,0.9991589865715592
logistic,auto,15,poisson,1,0,1,0,1,0,1,1,1,1,0,1,23,constant,51,log2,9,4,randomForestRegressor,7,8,adam,distance,0.7514778474071234
relu,auto,16,mae,1,0,1,0,1,1,0,1,1,0,1,1,33,invscaling,78,sqrt,8,10,kneighborsRegressor,4,3,adam,uniform,0.6546112114735838
relu,ball_tree,16,mae,1,0,1,0,1,1,0,1,1,1,0,1,23,constant,51,log2,9,4,randomForestRegressor,7,8,adam,uniform,0.9945350572756189
logistic,ball_tree,8,poisson,1,0,0,1,0,0,0,1,1,0,1,0,11,constant,97,log2,6,33,kneighborsRegressor,2,4,sgd,distance,0.5002050659155115
logistic,ball_tree,11,poisson,0,1,1,1,1,0,1,1,1,1,1,1,34,adaptive,52,log2,3,5,kneighborsRegressor,10,9,lbfgs,uniform,0.5546725468420016
tanh,ball_tree,11,poisson,0,1,1,1,1,0,1,1,1,0,0,1,23,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9986325566603181
identity,ball_tree,12,poisson,0,0,1,0,0,0,0,1,1,0,0,1,26,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9999999999203192
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,1,0,1,4,constant,46,auto,8,28,randomForestRegressor,7,10,adam,uniform,0.9999670973178888
identity,kd_tree,9,mse,1,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999343575990199
identity,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,distance,0.9999342636022583
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,40,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,distance,0.9999342636022583
tanh,ball_tree,17,mae,0,1,1,1,0,1,0,0,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999111992676973
tanh,ball_tree,17,mae,0,1,1,1,0,1,0,0,1,0,0,1,19,adaptive,92,sqrt,17,16,nnRegressor,6,5,adam,uniform,0.9991589865715592
logistic,auto,15,poisson,1,0,1,0,1,0,1,1,1,0,0,1,19,adaptive,92,sqrt,17,16,nnRegressor,6,5,adam,uniform,0.9989769142652647
tanh,ball_tree,11,poisson,0,1,1,1,1,0,1,1,1,0,0,1,23,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9986325566603181
relu,ball_tree,16,mae,1,0,1,0,1,1,0,1,1,1,0,1,23,constant,51,log2,9,4,randomForestRegressor,7,8,adam,distance,0.9945350572756189
identity,ball_tree,29,poisson,0,0,1,0,0,0,0,1,0,1,0,1,4,constant,46,auto,8,28,randomForestRegressor,7,10,adam,uniform,0.3717408145115738
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999342636022583
identity,kd_tree,9,mse,1,0,1,0,0,0,0,1,0,0,1,0,32,invscaling,86,auto,17,2,kneighborsRegressor,8,9,sgd,distance,0.2992691767110627
identity,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,40,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,distance,0.9999342636022583
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,32,adaptive,86,auto,17,2,randomForestRegressor,8,3,sgd,uniform,0.9999342636022583
tanh,ball_tree,17,mae,0,1,0,1,0,1,0,0,1,0,0,1,19,adaptive,92,sqrt,17,16,nnRegressor,6,5,adam,uniform,0.5288323832039772
tanh,ball_tree,17,mae,0,1,1,1,0,1,0,0,1,0,0,1,19,adaptive,92,sqrt,17,16,nnRegressor,6,5,adam,uniform,0.9991589865715592
logistic,auto,15,poisson,1,0,1,0,1,0,1,1,1,0,0,1,23,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9989769142652647
tanh,ball_tree,11,poisson,0,1,1,1,1,0,1,1,1,1,0,1,23,constant,51,log2,6,4,randomForestRegressor,7,8,adam,distance,0.7157065712187967
