activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,22,mse,1,1,0,0,0,0,1,0,1,1,0,0,17,adaptive,79,sqrt,16,25,randomForestRegressor,3,9,sgd,distance,0.6824677079596027
logistic,auto,32,mae,0,0,0,0,0,1,0,1,0,0,1,1,13,constant,53,auto,20,11,kneighborsRegressor,1,10,lbfgs,distance,0.37199930829453987
identity,brute,27,mse,0,1,0,0,0,1,0,0,1,0,1,1,36,constant,100,sqrt,18,6,kneighborsRegressor,3,3,lbfgs,uniform,0.3667410600925186
tanh,brute,10,poisson,0,1,1,1,1,1,1,0,0,0,0,0,3,invscaling,9,sqrt,17,32,randomForestRegressor,5,2,sgd,distance,0.34934833859172765
tanh,ball_tree,25,poisson,1,1,1,1,0,0,1,1,1,1,1,1,13,adaptive,79,log2,14,28,randomForestRegressor,9,10,adam,uniform,0.908957972542598
identity,kd_tree,21,poisson,0,1,0,0,0,1,0,1,0,0,0,1,31,constant,100,log2,7,34,randomForestRegressor,1,9,adam,distance,0.5798739746351369
relu,ball_tree,20,mae,0,1,0,1,0,1,0,1,1,0,1,1,24,constant,82,sqrt,14,10,kneighborsRegressor,6,7,lbfgs,uniform,0.5263678592817598
logistic,auto,29,mse,1,0,0,0,0,1,1,0,0,0,0,0,32,adaptive,12,auto,20,26,randomForestRegressor,1,2,lbfgs,distance,0.4476871485255369
logistic,ball_tree,23,mae,0,0,0,0,0,0,0,1,0,0,1,1,23,invscaling,95,sqrt,13,23,nnRegressor,10,7,adam,distance,0.4081633372047352
logistic,ball_tree,26,poisson,1,1,0,0,1,1,0,1,0,1,0,0,38,constant,27,sqrt,13,9,nnRegressor,1,2,sgd,distance,0.0010651767141848234
relu,ball_tree,17,mse,0,1,1,0,0,0,0,0,0,0,0,1,14,constant,71,sqrt,5,18,nnRegressor,5,7,lbfgs,distance,0.9998735707858881
tanh,kd_tree,24,mse,1,0,1,1,0,1,0,1,1,1,1,1,3,invscaling,50,auto,15,7,nnRegressor,8,6,adam,distance,0.9981983944005706
logistic,brute,28,mae,1,1,1,0,1,0,1,1,1,1,1,1,26,adaptive,8,sqrt,3,33,randomForestRegressor,3,5,sgd,uniform,0.9679984500251272
relu,kd_tree,15,poisson,1,0,1,1,1,0,1,1,0,0,0,1,14,constant,78,auto,6,16,randomForestRegressor,5,2,adam,uniform,0.6049292070143968
relu,ball_tree,12,mse,1,1,1,1,1,0,1,0,1,0,1,1,20,invscaling,57,auto,13,34,randomForestRegressor,2,6,sgd,uniform,0.9999324661988245
logistic,kd_tree,27,poisson,1,1,1,0,1,0,0,0,1,0,0,1,10,adaptive,62,log2,2,14,nnRegressor,7,8,lbfgs,distance,0.9998734957369456
tanh,ball_tree,28,poisson,0,1,1,1,1,1,0,0,1,1,1,1,34,invscaling,86,sqrt,13,19,randomForestRegressor,6,10,adam,uniform,0.9223459844062036
relu,brute,15,mse,1,1,0,0,1,0,0,0,0,1,0,1,24,adaptive,36,sqrt,6,11,nnRegressor,1,8,lbfgs,uniform,0.4767855308438602
logistic,brute,20,poisson,0,1,0,1,0,0,1,1,0,0,0,0,26,constant,65,auto,10,36,nnRegressor,3,5,lbfgs,uniform,0.4277911386489409
logistic,ball_tree,28,mse,1,0,1,0,1,1,1,1,0,1,1,1,23,invscaling,69,log2,20,26,nnRegressor,9,7,sgd,distance,0.0242372640413393
relu,ball_tree,12,mse,1,1,1,1,1,0,1,0,1,0,1,1,20,invscaling,57,auto,13,34,randomForestRegressor,2,6,sgd,uniform,0.9999324661988245
relu,ball_tree,17,mse,0,1,1,0,0,0,0,0,0,0,0,1,14,constant,71,sqrt,5,18,nnRegressor,5,7,lbfgs,distance,0.9998735707858881
logistic,kd_tree,27,poisson,1,1,1,0,1,0,0,0,1,0,0,1,10,adaptive,62,log2,2,14,nnRegressor,7,8,lbfgs,distance,0.9998734957369456
tanh,kd_tree,24,mse,1,0,1,1,0,1,0,1,1,1,1,1,3,invscaling,50,auto,15,7,nnRegressor,8,6,adam,distance,0.9981983944005706
logistic,brute,28,mae,1,1,1,0,1,0,1,1,1,1,1,1,26,adaptive,8,sqrt,3,33,randomForestRegressor,3,5,sgd,uniform,0.9679984500251272
tanh,ball_tree,28,poisson,0,1,1,1,1,1,0,0,1,1,1,1,34,invscaling,86,sqrt,13,19,randomForestRegressor,6,10,adam,uniform,0.9223459844062036
tanh,ball_tree,25,poisson,1,1,1,1,0,0,1,1,1,1,1,1,13,adaptive,79,log2,14,28,randomForestRegressor,9,10,adam,uniform,0.908957972542598
relu,auto,22,mse,1,1,0,0,0,0,1,0,1,1,0,0,17,adaptive,79,sqrt,16,25,randomForestRegressor,3,9,sgd,distance,0.6824677079596027
relu,kd_tree,15,poisson,1,0,1,1,1,0,1,1,0,0,0,1,14,constant,78,auto,6,16,randomForestRegressor,5,2,adam,uniform,0.6049292070143968
identity,kd_tree,21,poisson,0,1,0,0,0,1,0,1,0,0,0,1,31,constant,100,log2,7,34,randomForestRegressor,1,9,adam,distance,0.5798739746351369
relu,ball_tree,12,mse,1,1,1,1,1,0,1,0,0,0,0,1,14,constant,71,sqrt,5,18,kneighborsRegressor,5,7,lbfgs,distance,0.4426130633140918
relu,ball_tree,17,mse,0,1,1,0,0,0,0,0,1,0,0,1,10,adaptive,62,log2,2,14,nnRegressor,7,8,lbfgs,distance,0.9996765097450203
identity,kd_tree,27,poisson,1,1,1,0,1,0,0,0,1,1,1,1,3,invscaling,50,auto,15,7,nnRegressor,8,6,adam,distance,0.9999999989584186
tanh,kd_tree,24,mse,1,0,1,1,0,1,0,1,1,1,1,1,26,adaptive,8,sqrt,3,33,randomForestRegressor,3,5,sgd,uniform,0.9847148945779719
logistic,brute,28,mae,1,1,1,0,1,0,1,1,1,1,1,1,34,invscaling,86,sqrt,13,7,randomForestRegressor,6,10,adam,uniform,0.9846803116328766
tanh,ball_tree,28,poisson,0,1,1,1,1,1,0,0,1,1,1,1,13,adaptive,79,log2,14,28,randomForestRegressor,9,10,adam,uniform,0.9129997888100622
tanh,ball_tree,25,mse,1,1,1,1,0,0,1,1,1,1,0,0,17,adaptive,79,sqrt,16,25,randomForestRegressor,3,9,sgd,distance,0.9787850732041821
relu,auto,22,mse,0,1,0,0,0,0,1,0,0,0,0,1,14,constant,78,auto,6,16,randomForestRegressor,5,2,adam,uniform,0.41085166356998803
relu,kd_tree,15,poisson,1,0,1,1,1,0,1,1,0,0,0,1,31,constant,100,log2,7,2,randomForestRegressor,1,9,adam,distance,0.9071260513564535
