activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,25,mse,1,0,0,1,1,1,1,1,1,1,1,0,14,invscaling,38,log2,4,20,nnRegressor,8,1,adam,uniform,0.0657102829738414
identity,auto,25,poisson,1,1,1,1,0,1,0,1,0,0,0,1,32,adaptive,63,log2,9,15,nnRegressor,10,6,sgd,distance,0.9999996603462451
relu,kd_tree,27,mae,0,0,1,1,1,0,0,1,0,1,0,0,32,invscaling,34,auto,10,21,randomForestRegressor,7,1,sgd,distance,0.9997156261787191
relu,auto,16,mse,0,1,1,0,0,1,0,1,0,0,1,0,2,adaptive,44,auto,12,30,nnRegressor,5,7,lbfgs,uniform,0.9995785469993097
logistic,brute,25,mse,0,1,1,1,1,1,1,0,0,1,1,0,26,constant,79,log2,18,24,randomForestRegressor,2,6,lbfgs,distance,0.9935502565803
relu,auto,9,poisson,0,0,0,1,1,1,0,1,1,1,1,1,39,constant,33,auto,16,9,nnRegressor,4,8,adam,distance,0.44646157328740466
relu,auto,19,mae,1,1,1,1,0,0,1,0,1,0,0,1,15,constant,20,sqrt,11,4,kneighborsRegressor,4,10,adam,uniform,0.4579079481628918
tanh,auto,22,poisson,0,0,1,0,0,0,0,1,0,0,0,1,35,constant,11,log2,6,37,kneighborsRegressor,8,9,lbfgs,distance,0.24046824438405046
tanh,brute,19,poisson,1,1,1,0,1,1,1,1,1,1,1,0,22,constant,92,auto,6,35,nnRegressor,5,6,lbfgs,uniform,0.9989078259033984
tanh,brute,30,mse,0,1,0,1,0,1,0,1,0,1,0,1,32,invscaling,10,auto,11,31,randomForestRegressor,5,5,sgd,distance,0.7440133853735893
identity,ball_tree,18,mse,1,1,1,0,1,0,0,1,1,1,1,1,37,adaptive,30,sqrt,17,8,randomForestRegressor,9,6,adam,uniform,0.9905254539682272
logistic,kd_tree,24,poisson,0,1,1,0,0,0,0,0,0,1,0,0,16,invscaling,51,log2,8,28,nnRegressor,1,3,lbfgs,uniform,0.9997913627628768
logistic,brute,32,mae,1,1,1,1,1,0,1,1,0,0,1,0,3,constant,85,sqrt,9,25,randomForestRegressor,7,7,sgd,distance,0.9814552909291526
relu,brute,24,poisson,1,1,0,1,1,1,1,1,1,1,1,0,32,adaptive,28,sqrt,19,10,kneighborsRegressor,2,7,adam,uniform,0.5474147404409108
logistic,kd_tree,31,mae,1,1,1,0,0,1,1,0,0,0,0,0,36,invscaling,60,auto,11,37,randomForestRegressor,2,5,lbfgs,distance,0.9995404587673142
identity,kd_tree,8,mse,0,0,1,0,0,1,0,1,1,1,1,0,37,invscaling,45,auto,16,11,randomForestRegressor,1,1,lbfgs,uniform,0.999667431665338
logistic,ball_tree,21,mse,0,0,1,0,0,1,0,0,0,0,0,1,21,adaptive,33,log2,20,18,nnRegressor,2,2,sgd,distance,0.9943034165972923
identity,ball_tree,27,poisson,0,1,0,1,1,1,0,0,1,1,1,1,31,constant,14,sqrt,7,32,kneighborsRegressor,2,9,lbfgs,distance,0.5579283186954772
identity,auto,18,poisson,0,0,1,0,1,1,1,1,0,0,1,1,7,invscaling,81,log2,3,11,randomForestRegressor,4,5,sgd,distance,0.8384123894415568
logistic,auto,13,poisson,1,0,0,0,0,1,1,0,1,1,0,1,18,adaptive,7,auto,20,10,randomForestRegressor,6,9,adam,uniform,0.16518583768654782
identity,auto,25,poisson,1,1,1,1,0,1,0,1,0,0,0,1,32,adaptive,63,log2,9,15,nnRegressor,10,6,sgd,distance,0.9999996603462451
logistic,kd_tree,24,poisson,0,1,1,0,0,0,0,0,0,1,0,0,16,invscaling,51,log2,8,28,nnRegressor,1,3,lbfgs,uniform,0.9997913627628768
relu,kd_tree,27,mae,0,0,1,1,1,0,0,1,0,1,0,0,32,invscaling,34,auto,10,21,randomForestRegressor,7,1,sgd,distance,0.9997156261787191
identity,kd_tree,8,mse,0,0,1,0,0,1,0,1,1,1,1,0,37,invscaling,45,auto,16,11,randomForestRegressor,1,1,lbfgs,uniform,0.999667431665338
relu,auto,16,mse,0,1,1,0,0,1,0,1,0,0,1,0,2,adaptive,44,auto,12,30,nnRegressor,5,7,lbfgs,uniform,0.9995785469993097
logistic,kd_tree,31,mae,1,1,1,0,0,1,1,0,0,0,0,0,36,invscaling,60,auto,11,37,randomForestRegressor,2,5,lbfgs,distance,0.9995404587673142
tanh,brute,19,poisson,1,1,1,0,1,1,1,1,1,1,1,0,22,constant,92,auto,6,35,nnRegressor,5,6,lbfgs,uniform,0.9989078259033984
logistic,ball_tree,21,mse,0,0,1,0,0,1,0,0,0,0,0,1,21,adaptive,33,log2,20,18,nnRegressor,2,2,sgd,distance,0.9943034165972923
logistic,brute,25,mse,0,1,1,1,1,1,1,0,0,1,1,0,26,constant,79,log2,18,24,randomForestRegressor,2,6,lbfgs,distance,0.9935502565803
identity,ball_tree,18,mse,1,1,1,0,1,0,0,1,1,1,1,1,37,adaptive,30,sqrt,17,8,randomForestRegressor,9,6,adam,uniform,0.9905254539682272
identity,auto,25,poisson,1,1,1,1,0,0,0,1,0,1,0,0,16,invscaling,51,log2,8,28,nnRegressor,1,3,lbfgs,uniform,0.9999999729008296
logistic,kd_tree,24,poisson,0,1,1,0,0,0,0,0,0,1,0,0,32,constant,34,auto,10,21,randomForestRegressor,7,1,sgd,distance,0.33338423563746755
relu,kd_tree,27,mae,1,0,1,1,1,0,0,1,1,1,1,0,37,invscaling,45,auto,16,11,randomForestRegressor,1,1,lbfgs,uniform,0.9996016206244975
identity,kd_tree,8,mse,0,0,1,0,0,1,0,1,0,0,1,0,2,adaptive,44,auto,12,30,randomForestRegressor,5,10,lbfgs,uniform,0.999747863704955
relu,auto,16,mse,0,1,1,0,0,1,0,1,0,0,0,0,36,invscaling,60,auto,11,6,randomForestRegressor,2,5,lbfgs,distance,0.9997781322008454
logistic,kd_tree,31,mae,1,1,1,0,0,1,1,0,1,1,1,0,22,constant,92,auto,6,35,nnRegressor,5,6,lbfgs,uniform,0.9987650648636177
tanh,brute,19,poisson,1,1,1,0,1,1,1,1,0,0,0,1,26,adaptive,33,log2,20,18,nnRegressor,2,2,sgd,distance,0.9954610645714385
logistic,ball_tree,21,mse,0,0,1,0,0,1,0,0,0,1,1,0,26,constant,79,log2,18,24,randomForestRegressor,2,4,lbfgs,distance,0.9960822861580677
logistic,brute,25,mse,0,1,1,1,1,1,1,0,1,1,1,1,37,invscaling,30,sqrt,17,8,randomForestRegressor,9,7,adam,uniform,0.9882212206096739
identity,ball_tree,18,mse,1,1,1,0,1,0,0,1,0,0,0,1,32,adaptive,63,log2,9,15,nnRegressor,10,6,sgd,uniform,0.999999999945613
identity,ball_tree,18,mse,1,1,1,0,1,0,0,1,0,0,0,1,32,adaptive,63,log2,9,15,nnRegressor,10,6,sgd,uniform,0.999999999945613
identity,auto,25,poisson,1,1,1,1,0,0,0,1,0,1,0,0,16,invscaling,51,log2,8,28,nnRegressor,1,3,lbfgs,uniform,0.9999999729008296
identity,auto,25,poisson,1,1,1,1,0,1,0,1,0,0,0,1,32,adaptive,63,log2,9,15,nnRegressor,10,6,sgd,distance,0.9999996603462451
logistic,kd_tree,24,poisson,0,1,1,0,0,0,0,0,0,1,0,0,16,invscaling,51,log2,8,28,nnRegressor,1,3,lbfgs,uniform,0.9997913627628768
relu,auto,16,mse,0,1,1,0,0,1,0,1,0,0,0,0,36,invscaling,60,auto,11,6,randomForestRegressor,2,5,lbfgs,distance,0.9997781322008454
identity,kd_tree,8,mse,0,0,1,0,0,1,0,1,0,0,1,0,2,adaptive,44,auto,12,30,randomForestRegressor,5,10,lbfgs,uniform,0.999747863704955
relu,kd_tree,27,mae,0,0,1,1,1,0,0,1,0,1,0,0,32,invscaling,34,auto,10,21,randomForestRegressor,7,1,sgd,distance,0.9997156261787191
identity,kd_tree,8,mse,0,0,1,0,0,1,0,1,1,1,1,0,37,invscaling,45,auto,16,11,randomForestRegressor,1,1,lbfgs,uniform,0.999667431665338
relu,kd_tree,27,mae,1,0,1,1,1,0,0,1,1,1,1,0,37,invscaling,45,auto,16,11,randomForestRegressor,1,1,lbfgs,uniform,0.9996016206244975
relu,auto,16,mse,0,1,1,0,0,1,0,1,0,0,1,0,2,adaptive,44,auto,12,30,nnRegressor,5,7,lbfgs,uniform,0.9995785469993097
identity,ball_tree,18,mse,1,1,1,0,1,0,0,1,0,1,0,0,16,invscaling,51,log2,8,28,nnRegressor,1,3,lbfgs,uniform,0.9999999819260604
identity,auto,25,mse,1,1,1,1,0,0,0,1,0,0,0,1,32,adaptive,63,log2,9,15,nnRegressor,10,6,sgd,distance,0.9999999981544612
identity,auto,25,poisson,1,1,1,1,0,1,0,1,0,1,0,0,16,invscaling,51,log2,8,28,nnRegressor,1,3,lbfgs,uniform,0.9999945572124301
tanh,kd_tree,24,poisson,0,1,1,0,0,0,0,0,1,0,0,0,36,invscaling,60,auto,11,6,randomForestRegressor,2,5,lbfgs,distance,0.5683088426712053
relu,auto,16,mse,0,1,1,0,0,1,0,1,0,0,1,0,2,adaptive,92,auto,12,26,randomForestRegressor,5,10,lbfgs,uniform,0.9997610459643855
identity,kd_tree,8,poisson,0,0,1,0,0,1,0,1,0,1,0,0,32,invscaling,34,auto,10,21,randomForestRegressor,7,1,sgd,distance,0.3333842529059293
relu,kd_tree,27,mae,0,0,1,1,0,0,0,1,1,1,1,0,37,invscaling,45,auto,16,11,randomForestRegressor,1,1,lbfgs,uniform,0.9996001365578778
identity,kd_tree,8,mse,0,0,1,1,0,1,0,1,1,1,1,0,37,invscaling,45,auto,16,11,randomForestRegressor,1,1,lbfgs,uniform,0.9996675053787033
relu,kd_tree,27,mae,1,0,1,1,1,0,0,1,0,0,1,0,2,adaptive,44,auto,12,30,nnRegressor,5,7,lbfgs,distance,0.99975925174761
relu,auto,16,mse,0,1,1,0,0,1,0,1,0,0,0,1,32,adaptive,63,log2,9,15,randomForestRegressor,10,6,sgd,uniform,0.9965964908403608
identity,ball_tree,18,mse,1,1,1,0,1,0,0,1,0,0,0,1,32,adaptive,63,log2,9,15,nnRegressor,10,6,sgd,uniform,0.999999999945613
identity,auto,25,mse,1,1,1,1,0,0,0,1,0,0,0,1,32,adaptive,63,log2,9,15,nnRegressor,10,6,sgd,distance,0.9999999981544612
identity,ball_tree,18,mse,1,1,1,0,1,0,0,1,0,1,0,0,16,invscaling,51,log2,8,28,nnRegressor,1,3,lbfgs,uniform,0.9999999819260604
