activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,13,poisson,1,1,1,1,0,1,1,1,1,1,1,1,38,adaptive,43,sqrt,15,28,nnRegressor,3,3,sgd,uniform,0.9968283270137039
identity,auto,9,poisson,1,0,1,0,1,1,1,0,0,1,1,1,4,constant,40,log2,8,37,randomForestRegressor,8,9,lbfgs,distance,0.7462613448706623
relu,brute,22,poisson,1,1,0,0,0,0,0,0,0,1,0,0,3,invscaling,92,auto,6,29,randomForestRegressor,7,1,lbfgs,distance,0.36304967646753306
logistic,brute,28,mae,0,0,1,0,1,1,1,1,0,0,1,1,36,invscaling,70,sqrt,12,3,randomForestRegressor,5,1,adam,distance,0.9860701943869634
logistic,kd_tree,9,mae,1,0,0,1,1,0,0,1,1,1,0,0,29,constant,43,auto,18,2,nnRegressor,1,8,lbfgs,distance,-0.0010830024536039318
tanh,brute,20,mae,1,0,1,0,1,1,1,0,0,1,1,0,30,constant,53,log2,11,39,randomForestRegressor,4,6,sgd,uniform,0.9849898504406882
logistic,auto,31,mae,1,0,1,0,0,1,1,1,1,1,1,0,34,constant,34,auto,7,39,kneighborsRegressor,5,5,sgd,distance,0.5446179567365812
identity,ball_tree,27,mae,1,1,1,1,1,1,1,1,0,0,0,1,24,adaptive,69,sqrt,13,13,kneighborsRegressor,5,10,adam,uniform,0.5363377722279187
identity,auto,13,mse,0,0,1,1,0,1,1,0,0,0,0,1,14,constant,40,log2,3,25,nnRegressor,7,5,adam,distance,0.9999999159785194
relu,brute,17,mae,1,1,1,1,0,0,0,0,1,1,0,1,16,constant,82,log2,6,2,nnRegressor,7,8,adam,distance,0.9995340543174829
relu,kd_tree,19,poisson,1,0,1,0,0,1,0,0,0,1,0,0,25,invscaling,43,auto,13,30,kneighborsRegressor,7,10,lbfgs,distance,0.36965876412413023
identity,brute,8,mse,1,1,1,0,0,1,0,1,0,0,1,0,10,invscaling,57,log2,19,35,randomForestRegressor,6,4,sgd,uniform,0.9910588751526154
logistic,ball_tree,8,mae,0,1,1,0,1,0,1,1,1,1,0,0,36,invscaling,69,auto,12,28,kneighborsRegressor,6,5,lbfgs,uniform,0.5440211141753061
tanh,kd_tree,31,mae,0,0,1,0,0,1,1,1,1,0,1,0,12,adaptive,28,sqrt,20,29,nnRegressor,10,3,adam,distance,0.9997051106938099
tanh,kd_tree,28,poisson,0,0,1,1,0,1,0,1,1,1,0,0,36,invscaling,31,auto,2,35,nnRegressor,3,5,sgd,distance,0.8891462772258938
identity,brute,29,mse,1,0,0,1,1,1,1,1,1,0,1,1,27,constant,3,auto,16,39,nnRegressor,3,1,lbfgs,uniform,0.058133498929003324
tanh,ball_tree,24,mae,1,0,0,0,1,1,0,0,1,0,1,1,15,constant,80,sqrt,17,33,nnRegressor,8,6,adam,uniform,0.5193090192933671
relu,brute,11,mae,1,0,1,0,0,0,0,1,0,1,0,1,33,constant,76,log2,5,3,kneighborsRegressor,10,3,lbfgs,distance,0.2460292330381303
logistic,ball_tree,9,mae,1,0,0,1,1,0,1,1,0,1,1,0,37,invscaling,18,sqrt,14,6,kneighborsRegressor,8,9,sgd,uniform,0.6588430202298237
logistic,brute,28,mae,1,1,1,1,1,1,0,1,1,0,0,0,19,adaptive,98,auto,20,25,nnRegressor,9,1,lbfgs,distance,0.9995249978111228
identity,auto,13,mse,0,0,1,1,0,1,1,0,0,0,0,1,14,constant,40,log2,3,25,nnRegressor,7,5,adam,distance,0.9999999159785194
tanh,kd_tree,31,mae,0,0,1,0,0,1,1,1,1,0,1,0,12,adaptive,28,sqrt,20,29,nnRegressor,10,3,adam,distance,0.9997051106938099
relu,brute,17,mae,1,1,1,1,0,0,0,0,1,1,0,1,16,constant,82,log2,6,2,nnRegressor,7,8,adam,distance,0.9995340543174829
logistic,brute,28,mae,1,1,1,1,1,1,0,1,1,0,0,0,19,adaptive,98,auto,20,25,nnRegressor,9,1,lbfgs,distance,0.9995249978111228
relu,brute,13,poisson,1,1,1,1,0,1,1,1,1,1,1,1,38,adaptive,43,sqrt,15,28,nnRegressor,3,3,sgd,uniform,0.9968283270137039
identity,brute,8,mse,1,1,1,0,0,1,0,1,0,0,1,0,10,invscaling,57,log2,19,35,randomForestRegressor,6,4,sgd,uniform,0.9910588751526154
logistic,brute,28,mae,0,0,1,0,1,1,1,1,0,0,1,1,36,invscaling,70,sqrt,12,3,randomForestRegressor,5,1,adam,distance,0.9860701943869634
tanh,brute,20,mae,1,0,1,0,1,1,1,0,0,1,1,0,30,constant,53,log2,11,39,randomForestRegressor,4,6,sgd,uniform,0.9849898504406882
tanh,kd_tree,28,poisson,0,0,1,1,0,1,0,1,1,1,0,0,36,invscaling,31,auto,2,35,nnRegressor,3,5,sgd,distance,0.8891462772258938
identity,auto,9,poisson,1,0,1,0,1,1,1,0,0,1,1,1,4,constant,40,log2,8,37,randomForestRegressor,8,9,lbfgs,distance,0.7462613448706623
identity,auto,13,poisson,0,0,1,1,0,1,1,0,1,0,1,0,12,adaptive,28,sqrt,19,29,nnRegressor,10,3,adam,distance,0.9999887810798598
tanh,kd_tree,31,mae,0,0,1,0,0,1,1,1,1,1,0,1,16,constant,82,log2,6,2,nnRegressor,7,8,adam,distance,0.9996941329616214
relu,brute,17,mae,1,1,1,1,0,0,0,0,1,0,0,0,19,adaptive,98,auto,20,25,nnRegressor,9,1,lbfgs,distance,0.9994523994442076
logistic,brute,28,mae,1,1,0,1,1,1,0,1,1,1,1,1,38,adaptive,43,sqrt,15,28,nnRegressor,3,3,sgd,uniform,0.31346346096356625
relu,brute,13,poisson,1,0,1,1,0,1,1,1,0,0,1,0,10,invscaling,57,log2,19,35,randomForestRegressor,6,4,sgd,uniform,0.8299318922463004
identity,brute,17,mse,1,1,1,0,0,1,0,1,0,0,1,1,36,invscaling,70,sqrt,12,3,randomForestRegressor,5,1,adam,distance,0.9890976840607612
logistic,brute,28,mae,0,0,1,0,1,1,1,1,0,1,1,0,30,constant,53,log2,11,39,randomForestRegressor,4,6,sgd,uniform,0.9819869598126667
tanh,brute,20,mse,1,0,1,0,1,1,1,0,1,1,0,0,36,invscaling,31,auto,2,35,nnRegressor,3,5,sgd,distance,0.9253604511960722
tanh,kd_tree,28,poisson,0,0,1,1,0,1,0,1,0,1,1,1,4,constant,40,log2,6,37,randomForestRegressor,8,9,lbfgs,distance,0.7157269011514266
identity,auto,9,poisson,1,0,1,0,1,1,1,0,0,0,0,1,14,constant,40,log2,3,25,nnRegressor,7,5,adam,distance,0.9999999978908588
identity,auto,9,poisson,1,0,1,0,1,1,1,0,0,0,0,1,14,constant,40,log2,3,25,nnRegressor,7,5,adam,distance,0.9999999978908588
identity,auto,13,mse,0,0,1,1,0,1,1,0,0,0,0,1,14,constant,40,log2,3,25,nnRegressor,7,5,adam,distance,0.9999999159785194
identity,auto,13,poisson,0,0,1,1,0,1,1,0,1,0,1,0,12,adaptive,28,sqrt,19,29,nnRegressor,10,3,adam,distance,0.9999887810798598
tanh,kd_tree,31,mae,0,0,1,0,0,1,1,1,1,0,1,0,12,adaptive,28,sqrt,20,29,nnRegressor,10,3,adam,distance,0.9997051106938099
tanh,kd_tree,31,mae,0,0,1,0,0,1,1,1,1,1,0,1,16,constant,82,log2,6,2,nnRegressor,7,8,adam,distance,0.9996941329616214
relu,brute,17,mae,1,1,1,1,0,0,0,0,1,1,0,1,16,constant,82,log2,6,2,nnRegressor,7,8,adam,distance,0.9995340543174829
logistic,brute,28,mae,1,1,1,1,1,1,0,1,1,0,0,0,19,adaptive,98,auto,20,25,nnRegressor,9,1,lbfgs,distance,0.9995249978111228
relu,brute,17,mae,1,1,1,1,0,0,0,0,1,0,0,0,19,adaptive,98,auto,20,25,nnRegressor,9,1,lbfgs,distance,0.9994523994442076
relu,brute,13,poisson,1,1,1,1,0,1,1,1,1,1,1,1,38,adaptive,43,sqrt,15,28,nnRegressor,3,3,sgd,uniform,0.9968283270137039
identity,brute,8,mse,1,1,1,0,0,1,0,1,0,0,1,0,10,invscaling,57,log2,19,35,randomForestRegressor,6,4,sgd,uniform,0.9910588751526154
identity,auto,9,poisson,1,0,1,0,1,1,1,0,0,0,0,1,14,constant,40,log2,3,25,nnRegressor,7,5,adam,distance,0.9999999978908588
identity,auto,13,mse,0,0,1,1,0,1,1,0,1,0,1,0,12,adaptive,28,sqrt,19,29,nnRegressor,10,3,adam,distance,0.9999887810798598
identity,auto,13,poisson,0,0,1,1,0,1,1,0,1,0,1,0,12,adaptive,28,sqrt,20,29,nnRegressor,10,3,adam,distance,0.9999887810798598
tanh,kd_tree,31,mae,0,0,1,0,0,1,1,1,1,1,0,1,16,constant,82,log2,6,2,nnRegressor,7,8,adam,distance,0.9996941329616214
tanh,kd_tree,31,mae,0,0,1,0,0,1,1,1,1,1,0,1,16,constant,82,log2,6,2,nnRegressor,7,2,adam,distance,0.9996941329616214
relu,brute,17,mae,1,1,1,1,0,0,0,0,1,0,0,0,19,adaptive,98,auto,20,25,nnRegressor,9,1,lbfgs,distance,0.9994523994442076
relu,brute,28,mae,1,1,1,1,1,1,0,1,1,0,0,0,19,adaptive,98,auto,20,25,nnRegressor,9,1,lbfgs,distance,0.9994741643342792
