activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,auto,14,entropy,1,1,1,1,1,0,1,0,1,1,0,1,0,1,9,constant,89,sqrt,6,10,randomForestClassifier,1,1,adam,uniform,0.9839357429718876,142.9926607699599
logistic,auto,14,entropy,1,1,1,1,1,1,1,0,1,1,0,1,1,1,26,constant,88,sqrt,15,12,randomForestClassifier,5,5,adam,distance,0.9317269076305221,142.99272705893964
identity,auto,14,gini,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10,constant,66,sqrt,13,24,kneighborsClassifier,2,1,adam,uniform,0.9016064257028112,142.99277368886396
relu,auto,19,entropy,1,1,1,1,1,1,1,0,1,1,1,1,0,1,8,constant,35,auto,7,31,kneighborsClassifier,6,1,adam,uniform,0.8905622489959839,142.99281873786822
tanh,auto,21,gini,1,1,1,1,1,0,1,1,1,1,1,1,0,1,9,constant,40,sqrt,10,34,randomForestClassifier,7,6,adam,uniform,0.9678714859437751,142.99286410678178
tanh,auto,15,gini,1,1,1,1,1,0,1,0,1,1,0,1,1,1,5,constant,86,sqrt,11,25,randomForestClassifier,1,1,adam,uniform,0.9467871485943775,142.9929086768534
logistic,auto,19,gini,1,1,1,1,1,0,1,0,1,1,0,1,1,1,17,constant,89,auto,5,21,nnClassifier,1,1,adam,distance,0.8242971887550201,142.9929525759071
relu,auto,21,gini,1,1,1,1,1,0,1,1,1,1,0,1,0,1,26,constant,53,sqrt,13,8,kneighborsClassifier,3,3,adam,uniform,0.8805220883534136,142.99299645493738
relu,auto,27,gini,1,1,1,1,1,1,1,0,1,1,0,1,1,1,17,constant,47,sqrt,4,17,nnClassifier,1,1,adam,distance,0.7479919678714859,142.99304113490507
logistic,auto,27,entropy,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16,constant,83,sqrt,7,20,kneighborsClassifier,7,3,adam,distance,0.9698795180722891,142.99308543396182
logistic,auto,14,entropy,1,1,1,1,1,0,1,1,1,1,0,1,1,1,8,constant,90,sqrt,16,9,nnClassifier,1,1,adam,uniform,0.7359437751004017,142.99312954279594
identity,auto,14,entropy,1,1,1,1,1,0,1,1,1,1,0,1,0,1,7,constant,20,sqrt,13,21,randomForestClassifier,1,6,adam,distance,0.929718875502008,142.99317304277793
tanh,auto,17,gini,1,1,1,1,1,1,1,0,1,1,1,1,1,1,20,constant,41,sqrt,15,10,randomForestClassifier,5,1,adam,uniform,0.9658634538152611,142.99321678187698
logistic,auto,18,entropy,1,1,1,1,1,0,1,0,1,1,1,1,1,1,7,constant,20,sqrt,7,28,kneighborsClassifier,1,1,adam,distance,0.8845381526104418,142.99326064088382
identity,auto,15,entropy,1,1,1,1,1,1,1,1,1,1,1,1,0,1,13,constant,5,sqrt,5,12,nnClassifier,1,2,adam,uniform,0.7339357429718876,142.99331321078353
identity,auto,16,gini,1,1,1,1,1,0,1,0,1,1,0,1,1,1,16,constant,29,sqrt,11,11,nnClassifier,4,5,adam,distance,0.7650602409638554,142.9933570898138
relu,auto,28,gini,1,1,1,1,1,1,1,0,1,1,1,1,1,1,12,constant,50,sqrt,16,22,nnClassifier,7,1,adam,distance,0.7419678714859438,142.9934009788558
identity,auto,13,entropy,1,1,1,1,1,0,1,1,1,1,0,1,0,1,25,constant,19,sqrt,16,6,kneighborsClassifier,1,1,adam,uniform,0.9538152610441767,142.99344518897124
relu,auto,12,entropy,1,1,1,1,1,1,1,0,1,1,0,1,0,1,13,constant,89,sqrt,4,11,nnClassifier,3,4,adam,uniform,0.7319277108433735,142.9934892579913
tanh,auto,21,entropy,1,1,1,1,1,0,1,1,1,1,0,1,1,1,8,constant,63,sqrt,6,24,nnClassifier,6,1,adam,uniform,0.7269076305220884,142.99353343690746
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,85,auto,10,14,nnClassifier,1,5,adam,distance,0.9839357429718876,453.0114885948133
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,84,auto,11,15,nnClassifier,2,5,adam,distance,0.9799196787148594,453.0115517338272
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,62,auto,15,24,nnClassifier,6,5,adam,distance,0.8614457831325302,453.01159612298943
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,31,auto,11,31,nnClassifier,8,5,adam,distance,0.8634538152610441,453.0116397528909
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,37,auto,10,30,nnClassifier,3,5,adam,distance,0.9789156626506024,453.0116833318025
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,82,auto,12,22,nnClassifier,1,1,adam,distance,0.9779116465863453,453.01172645180486
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,85,auto,9,25,nnClassifier,4,5,adam,distance,0.7339357429718876,453.0117691408377
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,49,auto,11,12,nnClassifier,1,6,adam,distance,0.892570281124498,453.01181178097613
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,43,auto,8,21,nnClassifier,1,5,adam,distance,0.7359437751004017,453.0118551799096
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,79,auto,5,19,nnClassifier,3,6,adam,distance,0.893574297188755,453.01189840980805
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,86,auto,16,13,nnClassifier,3,5,adam,distance,0.7319277108433735,453.01194192888215
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,22,auto,11,19,nnClassifier,1,4,adam,distance,0.9849397590361446,453.01198513899
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,37,auto,11,14,nnClassifier,1,5,adam,distance,0.9799196787148594,453.01202832791023
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,19,auto,11,25,nnClassifier,2,4,adam,distance,0.8604417670682731,453.0120717778336
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,9,auto,9,16,nnClassifier,1,3,adam,distance,0.7439759036144579,453.0121154068038
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,25,auto,13,15,nnClassifier,3,7,adam,distance,0.7349397590361446,453.0121592269279
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,46,auto,17,25,nnClassifier,3,5,adam,distance,0.7319277108433735,453.0122023958247
