activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,brute,14,gini,1,0,1,1,1,1,1,1,1,1,0,1,1,1,36,invscaling,71,auto,4,11,kneighborsClassifier,7,5,adam,distance,0.9819277108433735,190.0921572779771
identity,kd_tree,23,gini,1,0,1,1,1,1,1,0,1,1,1,1,1,0,20,invscaling,80,sqrt,5,33,kneighborsClassifier,6,4,lbfgs,distance,0.9879518072289156,190.0922185271047
relu,brute,13,gini,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,constant,41,log2,4,20,nnClassifier,5,3,sgd,distance,0.7208835341365462,190.09226368716918
logistic,brute,13,gini,1,0,1,1,1,1,0,0,1,0,0,1,1,0,37,invscaling,50,log2,5,20,kneighborsClassifier,6,4,lbfgs,distance,0.9889558232931727,190.09230764606036
logistic,ball_tree,14,gini,1,1,1,1,1,1,0,0,1,0,1,1,1,0,25,constant,9,auto,5,34,nnClassifier,5,4,sgd,distance,0.7349397590361446,190.09235182614066
tanh,ball_tree,28,gini,1,0,1,1,1,1,1,1,1,0,1,1,1,0,35,constant,80,sqrt,11,15,nnClassifier,8,4,lbfgs,distance,0.7118473895582329,190.09239518502727
identity,ball_tree,14,gini,1,1,1,1,1,1,1,1,1,0,0,1,1,0,38,invscaling,90,auto,6,14,kneighborsClassifier,6,6,lbfgs,distance,0.8714859437751004,190.0924378540367
logistic,auto,23,gini,1,0,1,1,1,1,0,1,1,0,1,1,1,0,10,constant,45,log2,12,28,nnClassifier,7,4,adam,distance,0.7178714859437751,190.09248047415167
logistic,kd_tree,25,gini,1,1,1,1,1,1,0,1,1,1,0,1,1,0,30,invscaling,40,log2,9,34,kneighborsClassifier,5,4,lbfgs,distance,0.8714859437751004,190.09252455318347
identity,kd_tree,15,gini,1,0,1,1,1,1,1,1,1,1,0,1,1,1,17,invscaling,77,sqrt,4,9,kneighborsClassifier,6,4,lbfgs,distance,0.9718875502008032,190.09256780310534
tanh,brute,18,gini,1,0,1,1,1,1,1,1,1,1,0,1,1,0,17,constant,62,sqrt,7,12,kneighborsClassifier,6,5,adam,distance,0.9759036144578314,190.09261117200367
identity,auto,19,gini,1,1,1,1,1,1,1,0,1,0,1,1,1,0,32,invscaling,13,log2,5,17,kneighborsClassifier,5,3,lbfgs,distance,0.9116465863453815,190.09265356115066
logistic,ball_tree,22,gini,1,0,1,1,1,1,1,1,1,1,1,1,1,1,32,invscaling,27,auto,5,17,kneighborsClassifier,5,4,sgd,distance,0.9819277108433735,190.09269609116018
identity,ball_tree,23,gini,1,1,1,1,1,1,1,0,1,1,0,1,1,1,6,invscaling,30,log2,11,27,kneighborsClassifier,6,4,lbfgs,distance,0.9578313253012049,190.0927384600509
tanh,kd_tree,14,gini,1,0,1,1,1,1,1,1,1,0,1,1,1,1,25,constant,48,auto,3,7,kneighborsClassifier,7,4,sgd,distance,0.9708835341365462,190.09278090996668
logistic,brute,17,gini,1,1,1,1,1,1,0,0,1,0,0,1,1,0,29,invscaling,11,log2,5,21,kneighborsClassifier,6,5,adam,distance,0.821285140562249,190.0928230790887
relu,ball_tree,9,gini,1,1,1,1,1,1,1,0,1,1,0,1,1,0,38,invscaling,47,auto,4,8,nnClassifier,6,5,lbfgs,distance,0.7218875502008032,190.09286575904116
tanh,auto,28,gini,1,0,1,1,1,1,1,0,1,1,1,1,1,0,29,invscaling,83,auto,14,39,kneighborsClassifier,5,4,adam,distance,0.9307228915662651,190.0929082480725
tanh,auto,14,gini,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,invscaling,32,auto,4,14,kneighborsClassifier,8,2,lbfgs,distance,0.9497991967871486,190.09295057714917
relu,brute,23,gini,1,1,1,1,1,1,1,0,1,1,1,1,1,1,32,invscaling,74,auto,6,11,kneighborsClassifier,7,3,adam,distance,0.9166666666666666,190.093004017137
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,75,auto,4,15,nnClassifier,8,4,adam,distance,0.9939759036144579,375.26395272416994
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,78,auto,5,31,nnClassifier,6,3,adam,distance,0.9979919678714859,375.2640323420055
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,40,auto,2,24,nnClassifier,5,7,adam,distance,0.7178714859437751,375.2640766319819
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,54,auto,5,24,nnClassifier,6,4,adam,distance,0.9889558232931727,375.26411988097243
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,13,auto,5,35,nnClassifier,6,4,adam,distance,0.7228915662650602,375.26416266104206
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,78,auto,7,18,nnClassifier,7,2,adam,distance,0.714859437751004,375.26420550001785
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,86,auto,3,18,nnClassifier,6,2,adam,distance,0.8875502008032129,375.26424864912406
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,49,auto,8,32,nnClassifier,5,4,adam,distance,0.713855421686747,375.26429073908366
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,44,auto,5,30,nnClassifier,9,2,adam,distance,0.8755020080321285,375.26433362811804
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,78,auto,3,13,nnClassifier,7,4,adam,distance,0.9959839357429718,375.26437652809545
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,66,auto,5,16,nnClassifier,4,3,adam,distance,0.9919678714859438,375.26441855705343
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,17,auto,7,21,nnClassifier,6,2,adam,distance,0.8765060240963856,375.26446032710373
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,31,auto,4,21,nnClassifier,5,4,adam,distance,0.9979919678714859,375.2645026461687
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,34,auto,7,31,nnClassifier,5,7,adam,distance,0.8714859437751004,375.2645452551078
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,52,auto,4,11,nnClassifier,8,4,adam,distance,0.9969879518072289,375.26458787498996
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,15,auto,5,25,nnClassifier,6,5,adam,distance,0.8855421686746988,375.2646300641354
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,constant,51,auto,5,9,nnClassifier,6,3,adam,distance,0.7168674698795181,375.26467193407007
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,79,auto,10,35,nnClassifier,6,4,adam,distance,0.9979919678714859,375.26471377303824
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,36,auto,5,18,nnClassifier,7,6,adam,distance,0.8634538152610441,375.2647560031619
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,78,auto,7,15,nnClassifier,8,3,adam,distance,0.8805220883534136,375.26479764212854
