activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,kd_tree,15,gini,1,1,1,1,1,1,1,1,0,0,1,1,1,1,12,invscaling,47,log2,16,20,kneighborsClassifier,8,4,adam,distance,0.9769076305220884,210.59928928804584
tanh,auto,21,gini,1,0,1,1,1,1,1,1,1,1,0,1,0,1,12,adaptive,64,sqrt,16,10,kneighborsClassifier,5,6,lbfgs,distance,0.9939759036144579,210.5993555879686
identity,kd_tree,11,gini,1,1,1,1,1,1,1,1,1,0,0,0,1,1,23,adaptive,57,auto,14,17,kneighborsClassifier,3,7,sgd,distance,0.9598393574297188,210.59940171800554
identity,kd_tree,19,gini,1,0,1,1,1,1,1,0,1,1,0,0,1,1,36,adaptive,80,sqrt,15,29,kneighborsClassifier,10,2,adam,distance,0.9246987951807228,210.59944730694406
tanh,ball_tree,12,gini,1,0,1,1,1,1,1,0,1,0,1,1,0,1,26,constant,22,sqrt,9,35,nnClassifier,6,6,sgd,distance,0.7379518072289156,210.59949251706712
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,0,0,0,1,1,6,invscaling,77,auto,9,20,kneighborsClassifier,5,2,lbfgs,distance,0.9156626506024096,210.59953681612387
identity,brute,12,gini,1,0,1,1,1,1,1,0,0,0,0,0,0,1,38,adaptive,31,log2,18,19,kneighborsClassifier,10,1,lbfgs,distance,0.9959839357429718,210.5995814660564
relu,kd_tree,28,gini,1,1,1,1,1,1,1,0,0,1,1,0,0,1,9,constant,43,auto,16,19,kneighborsClassifier,9,1,sgd,distance,0.8955823293172691,210.5996260859538
identity,kd_tree,20,gini,1,0,1,1,1,1,1,0,0,0,1,1,1,1,6,constant,32,log2,14,6,kneighborsClassifier,7,5,adam,distance,0.9738955823293173,210.5996706651058
tanh,brute,21,gini,1,0,1,1,1,1,1,0,0,0,0,0,1,1,36,invscaling,32,auto,16,20,nnClassifier,9,5,adam,distance,0.7630522088353414,210.5997147851158
identity,brute,22,gini,1,0,1,1,1,1,1,0,0,1,0,1,0,1,7,adaptive,8,sqrt,17,17,kneighborsClassifier,6,5,sgd,distance,0.9598393574297188,210.5997582350392
identity,kd_tree,12,gini,1,0,1,1,1,1,1,0,1,0,0,1,1,1,39,invscaling,38,auto,16,7,nnClassifier,10,5,sgd,distance,0.821285140562249,210.59980201395229
tanh,kd_tree,12,gini,1,0,1,1,1,1,1,0,1,1,1,0,0,1,27,invscaling,71,sqrt,18,19,kneighborsClassifier,10,6,adam,distance,0.9698795180722891,210.5998460240662
identity,kd_tree,21,gini,1,1,1,1,1,1,1,1,0,1,0,0,1,1,30,invscaling,5,sqrt,8,7,nnClassifier,10,3,lbfgs,distance,0.7259036144578314,210.5998898530379
identity,brute,19,gini,1,1,1,1,1,1,1,1,0,1,0,1,1,1,38,adaptive,65,sqrt,17,18,kneighborsClassifier,10,10,sgd,distance,0.9046184738955824,210.59993346314877
relu,ball_tree,23,gini,1,1,1,1,1,1,1,1,1,0,1,1,0,1,27,invscaling,22,auto,7,32,kneighborsClassifier,10,1,adam,distance,0.8664658634538153,210.59997812309302
identity,ball_tree,10,gini,1,1,1,1,1,1,1,0,0,0,1,1,0,1,38,constant,15,sqrt,14,19,nnClassifier,10,4,adam,distance,0.7991967871485943,210.60002249199897
identity,kd_tree,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,0,1,39,invscaling,32,auto,13,10,nnClassifier,7,1,sgd,distance,0.75,210.6000662620645
tanh,auto,20,gini,1,0,1,1,1,1,1,0,0,1,0,1,1,1,20,constant,40,log2,13,18,nnClassifier,10,2,lbfgs,distance,0.7339357429718876,210.60011029196903
identity,brute,17,gini,1,0,1,1,1,1,1,1,0,0,0,0,1,1,17,constant,84,auto,17,19,kneighborsClassifier,10,1,lbfgs,distance,0.9407630522088354,210.60015402105637
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,51,auto,17,20,nnClassifier,7,2,adam,distance,0.9026104417670683,402.38621898693964
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,68,auto,18,14,nnClassifier,9,2,adam,distance,0.9959839357429718,402.3862956161611
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,61,auto,18,21,nnClassifier,5,4,adam,distance,0.9196787148594378,402.3863428160548
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,80,auto,19,25,nnClassifier,10,1,adam,distance,0.9979919678714859,402.38638823502697
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,26,auto,13,31,nnClassifier,5,7,adam,distance,0.7339357429718876,402.386432684958
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,79,auto,13,22,nnClassifier,6,1,adam,distance,0.8734939759036144,402.3864765651524
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,35,auto,17,19,nnClassifier,10,1,adam,distance,0.9959839357429718,402.3865199841093
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,47,auto,17,18,nnClassifier,6,2,adam,distance,0.8614457831325302,402.3865632240195
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,36,auto,18,10,nnClassifier,10,1,adam,distance,0.9959839357429718,402.38660661294125
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,36,auto,12,21,nnClassifier,10,2,adam,distance,0.7329317269076305,402.3866498931311
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,12,auto,18,20,nnClassifier,9,1,adam,distance,0.9949799196787149,402.3866935831029
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,42,auto,20,11,nnClassifier,8,1,adam,distance,0.7369477911646586,402.38673782208934
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,75,auto,17,17,nnClassifier,10,2,adam,distance,0.9969879518072289,402.38678141194396
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,9,auto,12,11,nnClassifier,10,2,adam,distance,0.7459839357429718,402.38682517106645
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,69,auto,19,22,nnClassifier,10,6,adam,distance,0.9176706827309237,402.3868687809445
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,26,auto,11,28,nnClassifier,10,1,adam,distance,0.8815261044176707,402.38691220106557
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,19,auto,11,19,nnClassifier,10,5,adam,distance,0.7319277108433735,402.38695535995066
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,36,auto,17,14,nnClassifier,9,1,adam,distance,0.7379518072289156,402.38699861010537
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,44,auto,17,16,nnClassifier,10,1,adam,distance,0.7329317269076305,402.387041748967
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,82,auto,17,19,nnClassifier,10,1,adam,distance,0.998995983935743,402.3870848689694
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,55,auto,18,16,nnClassifier,5,6,adam,distance,0.7359437751004017,937.9697380659636
