activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,10,gini,1,0,0,1,1,1,1,0,1,1,1,0,1,0,24,constant,92,sqrt,13,15,kneighborsClassifier,6,2,adam,uniform,0.9377510040160643,161.8939577988349
relu,ball_tree,24,gini,1,1,0,1,1,1,1,1,1,0,1,1,1,1,25,constant,84,auto,11,18,kneighborsClassifier,3,4,adam,distance,0.9046184738955824,161.89403967792168
identity,kd_tree,20,gini,1,0,0,1,1,1,1,1,1,1,1,0,1,0,13,constant,61,sqrt,3,24,kneighborsClassifier,5,5,adam,uniform,0.963855421686747,161.8940880468581
identity,ball_tree,21,gini,1,1,0,0,1,1,1,1,1,0,1,0,1,0,21,constant,59,auto,9,18,nnClassifier,4,1,adam,uniform,0.7419678714859438,161.8941343058832
relu,ball_tree,23,gini,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,constant,64,sqrt,14,31,nnClassifier,6,3,adam,distance,0.7439759036144579,161.8941793050617
relu,auto,14,gini,1,0,0,0,1,1,1,0,1,1,1,1,1,0,7,constant,94,sqrt,2,29,kneighborsClassifier,8,6,adam,uniform,0.9608433734939759,161.89422484394163
relu,ball_tree,22,gini,1,0,0,1,1,1,1,0,1,1,1,0,1,0,13,constant,93,auto,2,10,kneighborsClassifier,6,2,adam,distance,0.929718875502008,161.89427097304724
logistic,kd_tree,19,gini,1,1,1,1,1,1,1,1,1,1,1,0,1,0,26,constant,41,auto,12,10,kneighborsClassifier,9,2,adam,distance,0.8995983935742972,161.8943159619812
logistic,auto,19,gini,1,1,1,1,1,1,1,1,1,0,1,0,1,1,10,constant,21,sqrt,16,33,kneighborsClassifier,6,1,adam,distance,0.9628514056224899,161.89436174090952
tanh,kd_tree,16,gini,1,1,0,1,1,1,1,0,1,1,1,1,1,1,22,constant,33,log2,4,28,nnClassifier,6,1,adam,distance,0.7600401606425703,161.89440714986995
relu,ball_tree,20,gini,1,0,1,0,1,1,1,1,1,0,1,0,1,0,16,constant,97,log2,16,10,nnClassifier,7,4,adam,distance,0.7309236947791165,161.89445288898423
logistic,brute,22,gini,1,1,1,0,1,1,1,0,1,0,1,1,1,1,28,constant,17,log2,8,25,kneighborsClassifier,6,2,adam,distance,0.9598393574297188,161.89449835801497
identity,auto,25,gini,1,0,0,1,1,1,1,1,1,1,1,0,1,0,8,constant,83,log2,2,32,kneighborsClassifier,8,4,adam,uniform,0.9839357429718876,161.8945439569652
logistic,kd_tree,24,gini,1,0,1,1,1,1,1,0,1,0,1,1,1,0,9,constant,94,sqrt,3,12,kneighborsClassifier,10,1,adam,uniform,0.9718875502008032,161.89458977687173
