,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
69,0,0,1,randomForestClassifier,None,None,None,gini,None,None,87,log2,8,19,None,None,None,None,0.965965965965966,ok,124.5886342539452
70,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,46,log2,2,15,None,None,None,None,0.965965965965966,ok,126.19602029398084
71,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,67,auto,15,23,None,None,None,None,0.9679679679679679,ok,127.66384978382848
72,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,53,auto,14,27,None,None,None,None,0.9679679679679679,ok,129.13672272092663
73,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,80,log2,13,12,None,None,None,None,0.9679679679679679,ok,130.61791710392572
74,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,54,log2,11,16,None,None,None,None,0.9679679679679679,ok,132.11977292783558
75,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,35,log2,16,11,None,None,None,None,0.9679679679679679,ok,133.5827864059247
76,1,0,1,kneighborsClassifier,None,kd_tree,None,None,24.0,None,None,None,None,None,None,1.0,None,distance,0.938938938938939,ok,133.61723574181087
77,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,35,sqrt,16,39,None,None,None,None,0.9679679679679679,ok,135.07997149485163
78,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,67,log2,8,14,None,None,None,None,0.9669669669669669,ok,136.3584387898445
79,1,0,1,nnClassifier,tanh,None,22.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.9319319319319319,ok,141.89475178578869
80,0,0,1,kneighborsClassifier,None,auto,None,None,3.0,None,None,None,None,None,None,3.0,None,uniform,0.9619619619619619,ok,141.955678593833
81,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
82,0,1,1,randomForestClassifier,None,None,None,gini,None,None,75,log2,6,10,None,None,None,None,0.9669669669669669,ok,142.97723734891042
83,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,25,auto,18,37,None,None,None,None,0.9679679679679679,ok,144.42970112082548
84,1,0,1,nnClassifier,tanh,None,10.0,None,None,invscaling,None,None,None,None,2.0,None,lbfgs,None,0.9319319319319319,ok,149.95923890080303
85,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
86,0,1,1,kneighborsClassifier,None,brute,None,None,34.0,None,None,None,None,None,None,5.0,None,distance,0.9529529529529529,ok,150.25608885590918
