feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,nnClassifier,identity,NA,24,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.2692307692307692,13.29140043258667
1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,99,sqrt,19,13,nan,nan,NA,NA,0.9047619047619048,19.39146614074707
0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,62,sqrt,4,40,nan,nan,NA,NA,0.9010989010989011,25.632184982299805
0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,44,log2,7,29,nan,nan,NA,NA,0.8974358974358975,31.15944743156433
1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,35,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8131868131868132,35.9329514503479
0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,sqrt,14,33,nan,nan,NA,NA,0.9688644688644689,41.94960594177246
1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,76,log2,7,30,nan,nan,NA,NA,0.978021978021978,47.9282968044281
0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,60,log2,18,2,nan,nan,NA,NA,0.8516483516483516,53.66917300224304
0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,90,sqrt,13,31,nan,nan,NA,NA,0.9743589743589743,59.245017528533936
0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,kneighborsClassifier,NA,auto,nan,NA,22,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8717948717948718,64.28372430801392
0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,94,log2,1,38,nan,nan,NA,NA,0.9908424908424909,69.97082281112671
1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,nnClassifier,relu,NA,11,NA,nan,constant,nan,NA,nan,nan,1,nan,lbfgs,NA,0.0,75.25085544586182
0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9102564102564102,80.33536696434021
0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,91,auto,13,6,nan,nan,NA,NA,0.9120879120879121,86.22845888137817
0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,nnClassifier,relu,NA,17,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.07326007326007326,104.92045569419861
1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,33,log2,10,3,nan,nan,NA,NA,0.9853479853479854,110.86516904830933
1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,44,sqrt,4,30,nan,nan,NA,NA,0.9945054945054945,116.68125033378601
