feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8827838827838828,5.653573036193848
0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8644688644688645,11.477953433990479
0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,100,sqrt,15,17,nan,nan,NA,NA,0.9706959706959707,18.053574562072754
1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,32,log2,6,9,nan,nan,NA,NA,0.9413919413919414,23.8499436378479
0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,78,sqrt,11,39,nan,nan,NA,NA,0.8809523809523809,30.266602993011475
1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,96,sqrt,4,35,nan,nan,NA,NA,0.9194139194139194,36.7138397693634
0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,34,log2,8,29,nan,nan,NA,NA,0.9761904761904762,42.937335729599
1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,60,log2,17,29,nan,nan,NA,NA,0.9835164835164835,49.22715187072754
0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,auto,12,28,nan,nan,NA,NA,0.9157509157509157,55.70139479637146
1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,3,log2,15,22,nan,nan,NA,NA,0.8901098901098901,61.252556800842285
0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,auto,20,31,nan,nan,NA,NA,0.9505494505494505,67.4718828201294
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,83,sqrt,14,18,nan,nan,NA,NA,0.8498168498168498,73.73565459251404
0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,88,log2,2,32,nan,nan,NA,NA,0.9432234432234432,79.80868411064148
1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,nnClassifier,logistic,NA,31,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.29853479853479853,94.99187874794006
0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,nnClassifier,relu,NA,20,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.2783882783882784,112.64218235015869
1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,nnClassifier,tanh,NA,9,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,0.27289377289377287,147.78364634513855
0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,45,log2,14,14,nan,nan,NA,NA,0.9761904761904762,153.89911365509033
