feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,nnClassifier,logistic,NA,30,NA,nan,constant,nan,NA,nan,nan,2,nan,lbfgs,NA,0.3663003663003663,8.262243270874023
1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,nnClassifier,logistic,NA,28,NA,nan,constant,nan,NA,nan,nan,6,nan,sgd,NA,0.21794871794871795,24.43531060218811
0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,kneighborsClassifier,NA,brute,nan,NA,29,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8553113553113553,29.937408685684204
1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,kneighborsClassifier,NA,brute,nan,NA,15,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.793040293040293,35.009236335754395
1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8754578754578755,39.88617515563965
0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,log2,18,20,nan,nan,NA,NA,0.9725274725274725,46.26576375961304
0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,auto,9,12,nan,nan,NA,NA,0.9761904761904762,53.75506854057312
1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,79,auto,5,25,nan,nan,NA,NA,0.9377289377289377,60.45735836029053
0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,91,log2,11,18,nan,nan,NA,NA,0.9010989010989011,67.59997653961182
0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,auto,5,19,nan,nan,NA,NA,0.9761904761904762,73.75079035758972
0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,log2,17,5,nan,nan,NA,NA,0.9633699633699634,79.64746856689453
0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.8333333333333334,85.48257637023926
0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,53,sqrt,10,11,nan,nan,NA,NA,0.9835164835164835,91.8876371383667
0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,57,log2,15,35,nan,nan,NA,NA,0.9761904761904762,98.01120376586914
1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,auto,7,12,nan,nan,NA,NA,0.9523809523809523,104.0074896812439
0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,67,sqrt,19,40,nan,nan,NA,NA,0.9615384615384616,110.59533929824829
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,47,sqrt,20,10,nan,nan,NA,NA,0.8882783882783882,116.62541484832764
1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,38,log2,1,20,nan,nan,NA,NA,0.989010989010989,122.86951208114624
