feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,kneighborsClassifier,NA,auto,nan,NA,20,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8882783882783882,5.754284620285034
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,kneighborsClassifier,NA,brute,nan,NA,11,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8424908424908425,11.396317481994629
0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,nnClassifier,identity,NA,27,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.1978021978021978,24.16281294822693
0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8626373626373627,29.34846258163452
0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,90,sqrt,18,35,nan,nan,NA,NA,0.9413919413919414,35.279250383377075
1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,78,auto,5,18,nan,nan,NA,NA,0.9798534798534798,41.15892744064331
0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,81,auto,6,16,nan,nan,NA,NA,0.9761904761904762,47.31795144081116
1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,45,sqrt,2,28,nan,nan,NA,NA,0.9157509157509157,53.561795234680176
1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,nnClassifier,tanh,NA,28,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.31135531135531136,70.17147278785706
1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,73,sqrt,8,22,nan,nan,NA,NA,0.9706959706959707,76.33487749099731
1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,80,auto,17,10,nan,nan,NA,NA,0.8937728937728938,82.3907151222229
0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,nnClassifier,relu,NA,25,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.326007326007326,97.69669938087463
1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,auto,20,37,nan,nan,NA,NA,0.9487179487179487,103.40301322937012
0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,85,auto,15,2,nan,nan,NA,NA,0.9505494505494505,109.23910593986511
1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,auto,4,31,nan,nan,NA,NA,0.9212454212454212,115.62459540367126
0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,22,log2,7,11,nan,nan,NA,NA,0.978021978021978,121.35286235809326
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8589743589743589,126.31800889968872
1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,auto,3,24,nan,nan,NA,NA,0.9798534798534798,131.7429871559143
1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,73,log2,4,7,nan,nan,NA,NA,0.9597069597069597,137.68600869178772
0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,nnClassifier,identity,NA,13,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,0.2454212454212454,143.15022373199463
1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,auto,2,18,nan,nan,NA,NA,0.9908424908424909,149.21464037895203
1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,39,log2,12,17,nan,nan,NA,NA,0.9597069597069597,155.2476351261139
1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,63,log2,3,21,nan,nan,NA,NA,0.9816849816849816,161.12167048454285
0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,log2,2,14,nan,nan,NA,NA,0.9798534798534798,167.30679845809937
1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,94,sqrt,3,4,nan,nan,NA,NA,0.989010989010989,173.73315978050232
