activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,19,gini,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,10,invscaling,77,sqrt,11,14,kneighborsClassifier,6,8,lbfgs,distance,0.9836363636363636
relu,ball_tree,25,entropy,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,21,constant,81,log2,9,29,nnClassifier,4,7,lbfgs,distance,0.07454545454545454
relu,auto,15,entropy,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,29,constant,69,auto,11,19,randomForestClassifier,1,8,lbfgs,distance,0.9472727272727273
logistic,brute,26,gini,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,23,constant,68,log2,10,4,kneighborsClassifier,6,8,adam,uniform,0.9618181818181818
identity,brute,22,gini,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,22,adaptive,97,auto,8,6,randomForestClassifier,8,8,lbfgs,uniform,0.96
relu,brute,27,entropy,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,5,adaptive,58,log2,8,15,kneighborsClassifier,8,7,lbfgs,distance,0.9890909090909091
identity,ball_tree,28,gini,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,36,adaptive,68,sqrt,7,8,kneighborsClassifier,4,10,lbfgs,distance,0.9854545454545455
tanh,brute,15,gini,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,34,adaptive,70,log2,10,8,kneighborsClassifier,10,3,sgd,distance,0.9890909090909091
tanh,auto,28,gini,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,27,adaptive,84,sqrt,15,12,kneighborsClassifier,3,8,sgd,uniform,0.9563636363636364
identity,brute,29,entropy,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,27,constant,22,auto,20,40,randomForestClassifier,1,5,sgd,distance,0.9309090909090909
