activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,19,entropy,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,6,invscaling,27,log2,7,27,randomForestClassifier,3,9,sgd,distance,0.9218181818181819
relu,auto,19,gini,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,29,invscaling,4,log2,5,30,randomForestClassifier,2,3,adam,distance,0.8054545454545454
logistic,ball_tree,10,gini,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,24,invscaling,22,sqrt,5,13,kneighborsClassifier,8,8,sgd,distance,0.9636363636363636
tanh,ball_tree,15,gini,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,40,constant,19,log2,11,37,nnClassifier,6,2,adam,distance,0.09090909090909091
identity,brute,27,entropy,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,40,constant,18,log2,4,9,nnClassifier,10,10,adam,distance,0.08545454545454545
relu,brute,25,entropy,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,37,constant,36,log2,15,9,nnClassifier,7,9,lbfgs,distance,0.0890909090909091
identity,kd_tree,23,entropy,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,4,adaptive,85,sqrt,12,11,randomForestClassifier,1,9,lbfgs,uniform,0.9454545454545454
relu,brute,30,entropy,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,6,invscaling,73,auto,4,39,randomForestClassifier,7,2,adam,uniform,0.9327272727272727
logistic,ball_tree,13,gini,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,22,invscaling,4,log2,14,16,kneighborsClassifier,4,1,adam,distance,0.9763636363636363
tanh,ball_tree,26,gini,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,23,adaptive,57,sqrt,5,21,randomForestClassifier,6,7,lbfgs,distance,0.9454545454545454
relu,kd_tree,32,entropy,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,6,constant,32,log2,4,16,nnClassifier,2,4,lbfgs,uniform,0.00909090909090909
identity,kd_tree,18,entropy,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,14,invscaling,80,log2,2,14,randomForestClassifier,2,2,adam,uniform,0.9509090909090909
tanh,kd_tree,8,entropy,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,24,invscaling,52,auto,5,16,randomForestClassifier,6,4,sgd,uniform,0.9563636363636364
tanh,kd_tree,14,gini,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,4,constant,26,sqrt,12,23,nnClassifier,3,2,lbfgs,uniform,0.05090909090909091
identity,ball_tree,28,gini,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,40,invscaling,99,log2,5,29,kneighborsClassifier,8,9,lbfgs,uniform,0.98
logistic,ball_tree,16,entropy,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,16,constant,94,sqrt,4,17,randomForestClassifier,2,8,adam,distance,0.9545454545454546
relu,brute,18,gini,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,4,adaptive,58,auto,7,2,randomForestClassifier,4,8,sgd,uniform,0.9490909090909091
relu,kd_tree,28,entropy,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,38,constant,88,auto,16,21,kneighborsClassifier,2,8,sgd,distance,0.98
relu,auto,14,entropy,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,7,invscaling,98,auto,13,29,randomForestClassifier,6,8,sgd,distance,0.9545454545454546
relu,ball_tree,16,gini,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,8,constant,12,sqrt,7,10,nnClassifier,8,7,adam,distance,0.09272727272727273
identity,kd_tree,18,gini,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,28,constant,48,log2,10,40,kneighborsClassifier,2,5,adam,uniform,0.9763636363636363
logistic,auto,17,gini,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,22,constant,9,auto,3,18,randomForestClassifier,1,6,adam,uniform,0.9327272727272727
tanh,auto,9,gini,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,4,adaptive,72,sqrt,2,18,nnClassifier,10,10,lbfgs,distance,0.09272727272727273
relu,kd_tree,16,gini,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,3,adaptive,6,sqrt,19,38,kneighborsClassifier,9,2,adam,distance,0.9727272727272728
logistic,ball_tree,17,entropy,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,7,invscaling,77,sqrt,19,17,nnClassifier,1,1,adam,uniform,0.0
relu,auto,26,entropy,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,36,invscaling,89,auto,20,22,kneighborsClassifier,1,9,adam,uniform,0.9763636363636363
tanh,brute,30,gini,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,39,adaptive,98,auto,3,10,randomForestClassifier,3,6,lbfgs,uniform,0.9618181818181818
logistic,kd_tree,27,gini,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,29,constant,91,auto,20,20,kneighborsClassifier,10,9,lbfgs,uniform,0.98
tanh,kd_tree,20,gini,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,7,adaptive,28,log2,19,13,nnClassifier,4,3,lbfgs,uniform,0.07818181818181819
relu,brute,32,gini,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,20,constant,93,log2,5,33,kneighborsClassifier,2,1,sgd,distance,0.9781818181818182
relu,ball_tree,29,gini,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,22,invscaling,32,sqrt,11,19,nnClassifier,10,9,sgd,distance,0.0
relu,ball_tree,18,gini,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,23,invscaling,22,sqrt,19,24,nnClassifier,7,6,sgd,distance,0.0
identity,brute,28,entropy,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,39,constant,31,sqrt,11,40,randomForestClassifier,10,7,lbfgs,distance,0.9290909090909091
tanh,brute,26,gini,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,8,constant,22,sqrt,18,40,kneighborsClassifier,5,5,sgd,distance,0.9854545454545455
tanh,auto,16,gini,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,9,adaptive,16,log2,6,13,kneighborsClassifier,3,4,adam,distance,0.9854545454545455
identity,brute,21,entropy,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,39,constant,14,log2,9,26,randomForestClassifier,3,5,adam,uniform,0.9527272727272728
logistic,auto,10,gini,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,6,invscaling,76,sqrt,5,27,randomForestClassifier,7,9,lbfgs,distance,0.9581818181818181
relu,brute,25,gini,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,37,invscaling,31,sqrt,2,31,kneighborsClassifier,1,10,adam,uniform,0.9472727272727273
relu,ball_tree,25,gini,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,13,adaptive,1,log2,10,3,randomForestClassifier,8,5,lbfgs,uniform,0.9381818181818182
relu,brute,27,gini,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,7,adaptive,78,sqrt,11,25,kneighborsClassifier,4,1,sgd,uniform,0.9872727272727273
logistic,brute,30,entropy,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,23,adaptive,76,sqrt,17,36,kneighborsClassifier,4,2,sgd,uniform,0.9872727272727273
identity,brute,14,gini,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,26,constant,91,auto,15,12,nnClassifier,5,10,adam,uniform,0.07636363636363637
logistic,ball_tree,16,entropy,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,7,adaptive,80,auto,7,11,nnClassifier,9,2,adam,uniform,0.09272727272727273
logistic,brute,12,gini,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,constant,72,log2,9,35,kneighborsClassifier,6,9,adam,distance,0.9818181818181818
relu,auto,8,gini,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,5,constant,46,sqrt,20,28,randomForestClassifier,4,1,adam,uniform,0.9145454545454546
identity,kd_tree,23,gini,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,33,invscaling,56,sqrt,14,13,randomForestClassifier,10,9,sgd,uniform,0.9290909090909091
logistic,brute,10,gini,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,34,invscaling,40,sqrt,11,34,kneighborsClassifier,3,7,sgd,uniform,0.9745454545454545
identity,ball_tree,17,gini,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,19,constant,28,log2,15,26,randomForestClassifier,6,3,adam,uniform,0.9218181818181819
relu,ball_tree,22,entropy,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,39,adaptive,42,auto,18,38,randomForestClassifier,9,1,adam,distance,0.94
relu,ball_tree,31,gini,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,21,adaptive,77,sqrt,16,32,kneighborsClassifier,5,6,lbfgs,uniform,0.9763636363636363
relu,brute,25,gini,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,26,constant,55,sqrt,2,39,kneighborsClassifier,3,3,adam,distance,0.9872727272727273
relu,ball_tree,22,gini,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,11,constant,35,auto,16,38,nnClassifier,4,3,lbfgs,distance,0.06545454545454546
tanh,kd_tree,30,gini,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,6,adaptive,61,log2,16,14,nnClassifier,3,5,sgd,distance,0.04909090909090909
identity,auto,20,gini,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,32,invscaling,66,sqrt,2,36,nnClassifier,4,7,sgd,distance,0.005454545454545455
relu,kd_tree,29,gini,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,15,invscaling,80,sqrt,20,29,nnClassifier,10,7,lbfgs,uniform,0.09090909090909091
relu,brute,14,gini,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,15,invscaling,47,log2,6,38,randomForestClassifier,6,7,lbfgs,uniform,0.9563636363636364
identity,kd_tree,12,entropy,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,16,constant,72,sqrt,15,9,kneighborsClassifier,9,8,sgd,distance,0.9727272727272728
identity,auto,9,entropy,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,13,constant,74,sqrt,3,13,kneighborsClassifier,9,7,sgd,uniform,0.9781818181818182
identity,kd_tree,23,gini,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,13,invscaling,56,auto,3,3,randomForestClassifier,10,7,lbfgs,uniform,0.9618181818181818
logistic,ball_tree,30,entropy,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,34,constant,29,auto,18,38,nnClassifier,1,5,adam,uniform,0.0
logistic,kd_tree,26,gini,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,20,invscaling,53,auto,20,14,randomForestClassifier,9,7,sgd,distance,0.9254545454545454
relu,brute,31,gini,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,17,adaptive,99,log2,9,35,nnClassifier,1,3,adam,uniform,0.01090909090909091
tanh,auto,17,gini,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,38,adaptive,6,sqrt,2,28,nnClassifier,8,8,lbfgs,distance,0.07636363636363637
relu,ball_tree,23,gini,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,16,constant,2,auto,18,36,kneighborsClassifier,10,6,adam,uniform,0.9745454545454545
tanh,auto,10,entropy,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,23,adaptive,87,sqrt,13,14,kneighborsClassifier,6,4,sgd,uniform,0.9836363636363636
relu,ball_tree,12,entropy,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,10,constant,60,auto,14,19,randomForestClassifier,10,6,adam,distance,0.94
logistic,kd_tree,14,gini,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,26,constant,71,log2,17,38,randomForestClassifier,7,8,sgd,uniform,0.9490909090909091
