activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,25,gini,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,14,adaptive,41,sqrt,17,36,nnClassifier,1,4,sgd,uniform,0.0
relu,brute,30,gini,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,35,constant,61,sqrt,15,10,nnClassifier,9,6,adam,distance,0.09818181818181818
tanh,brute,26,entropy,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,33,invscaling,47,sqrt,8,30,nnClassifier,10,1,sgd,uniform,0.0
identity,auto,14,entropy,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,adaptive,83,sqrt,3,38,kneighborsClassifier,7,9,adam,distance,0.9654545454545455
identity,ball_tree,25,gini,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,14,constant,96,auto,11,17,nnClassifier,10,3,sgd,uniform,0.08363636363636363
identity,auto,22,entropy,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,2,adaptive,42,log2,20,2,kneighborsClassifier,4,6,sgd,distance,0.9781818181818182
identity,ball_tree,16,entropy,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,34,adaptive,11,auto,16,13,randomForestClassifier,7,2,lbfgs,uniform,0.9490909090909091
logistic,auto,24,gini,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,8,adaptive,95,auto,17,3,randomForestClassifier,7,5,adam,uniform,0.9472727272727273
tanh,kd_tree,17,gini,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,8,adaptive,54,sqrt,14,6,nnClassifier,5,8,lbfgs,uniform,0.10545454545454545
identity,ball_tree,26,gini,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,8,constant,31,log2,16,18,randomForestClassifier,2,7,adam,uniform,0.9345454545454546
