activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,14,entropy,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,15,adaptive,22,log2,20,35,kneighborsClassifier,4,8,adam,distance,0.9927272727272727
tanh,brute,10,gini,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,7,constant,95,sqrt,13,25,kneighborsClassifier,4,4,lbfgs,distance,0.98
tanh,ball_tree,19,gini,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,19,constant,86,log2,12,22,kneighborsClassifier,5,6,sgd,uniform,0.9872727272727273
relu,auto,18,gini,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,35,constant,97,log2,10,8,randomForestClassifier,6,8,adam,uniform,0.9618181818181818
relu,auto,9,gini,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,30,constant,3,auto,7,12,nnClassifier,5,5,sgd,distance,0.09636363636363636
tanh,auto,32,gini,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,27,constant,14,sqrt,16,5,kneighborsClassifier,3,1,sgd,uniform,0.9818181818181818
tanh,kd_tree,30,gini,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,34,constant,4,log2,20,21,nnClassifier,8,7,sgd,distance,0.09818181818181818
identity,ball_tree,20,entropy,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,4,adaptive,82,log2,12,8,randomForestClassifier,8,1,sgd,uniform,0.9454545454545454
identity,auto,31,gini,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,12,invscaling,58,sqrt,10,18,nnClassifier,5,5,sgd,uniform,0.023636363636363636
relu,ball_tree,11,gini,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,5,invscaling,63,auto,3,26,randomForestClassifier,4,2,adam,uniform,0.9545454545454546
relu,brute,17,gini,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,21,invscaling,98,auto,8,4,nnClassifier,4,8,lbfgs,uniform,0.07272727272727272
