activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,8,entropy,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,2,constant,86,sqrt,9,19,nnClassifier,6,7,sgd,uniform,0.02909090909090909
logistic,ball_tree,11,entropy,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,23,constant,42,sqrt,12,20,nnClassifier,2,8,adam,distance,0.04
logistic,ball_tree,24,entropy,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,18,invscaling,95,log2,7,17,kneighborsClassifier,2,4,lbfgs,uniform,0.9618181818181818
tanh,ball_tree,17,entropy,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,39,constant,42,auto,3,9,kneighborsClassifier,1,7,adam,distance,0.9636363636363636
identity,brute,24,gini,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,32,adaptive,89,log2,17,2,kneighborsClassifier,9,6,adam,distance,0.9709090909090909
tanh,auto,27,entropy,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,4,constant,31,log2,3,34,nnClassifier,4,8,lbfgs,uniform,0.038181818181818185
tanh,auto,16,gini,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,13,constant,22,auto,17,35,nnClassifier,4,2,sgd,distance,0.07090909090909091
tanh,ball_tree,25,entropy,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,29,constant,93,auto,18,9,randomForestClassifier,10,9,sgd,uniform,0.9509090909090909
logistic,auto,11,gini,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,27,constant,47,sqrt,3,20,randomForestClassifier,7,1,sgd,distance,0.9527272727272728
relu,auto,24,gini,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,29,constant,13,sqrt,5,24,kneighborsClassifier,9,3,sgd,uniform,0.9818181818181818
tanh,ball_tree,13,entropy,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,40,adaptive,37,sqrt,9,40,randomForestClassifier,2,4,sgd,uniform,0.9327272727272727
logistic,brute,26,entropy,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,15,constant,55,log2,9,26,nnClassifier,2,10,sgd,distance,0.0
identity,kd_tree,29,gini,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,25,adaptive,8,log2,15,5,nnClassifier,10,3,sgd,distance,0.08545454545454545
relu,brute,14,gini,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,36,adaptive,40,sqrt,3,19,randomForestClassifier,7,5,adam,distance,0.9509090909090909
logistic,brute,13,gini,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,7,invscaling,61,log2,19,26,kneighborsClassifier,5,9,sgd,uniform,0.9745454545454545
