feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,42,auto,11,16,nan,nan,NA,NA,0.5548446069469836,7.835995197296143
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,8,NA,distance,0.48720292504570384,12.953895092010498
0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,60,sqrt,1,7,nan,nan,NA,NA,0.6316270566727605,20.64445447921753
0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,53,log2,7,21,nan,nan,NA,NA,0.5411334552102377,27.07644271850586
1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,91,sqrt,4,17,nan,nan,NA,NA,0.5009140767824497,35.089927673339844
0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,82,log2,13,3,nan,nan,NA,NA,0.5840950639853748,41.278188705444336
0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,85,sqrt,3,28,nan,nan,NA,NA,0.5457038391224863,47.92446231842041
0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.47714808043875684,52.90191459655762
0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,distance,0.4405850091407678,58.24981117248535
0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,nnClassifier,tanh,NA,27,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.2340036563071298,84.45327520370483
1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,nnClassifier,logistic,NA,13,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.21115173674588666,95.8200101852417
1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,auto,1,2,nan,nan,NA,NA,0.5521023765996343,101.95396494865417
0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,38,sqrt,8,20,nan,nan,NA,NA,0.5740402193784278,107.92308926582336
1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.45521023765996343,112.64042663574219
1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,log2,9,37,nan,nan,NA,NA,0.5475319926873857,120.35886764526367
1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,59,log2,1,3,nan,nan,NA,NA,0.6919561243144424,127.72098541259766
0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,36,auto,2,37,nan,nan,NA,NA,0.5987202925045704,134.4181354045868
