feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,1,NA,distance,0.360146252285192,5.682199954986572
1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,26,log2,16,20,nan,nan,NA,NA,0.613345521023766,12.40650463104248
0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,auto,18,8,nan,nan,NA,NA,0.5694698354661791,18.93193769454956
0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,50,log2,17,38,nan,nan,NA,NA,0.5639853747714808,26.49359703063965
1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,nnClassifier,tanh,NA,32,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,0.20658135283363802,50.96700596809387
1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,65,auto,2,27,nan,nan,NA,NA,0.573126142595978,58.56199860572815
1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,nnClassifier,identity,NA,30,NA,nan,constant,nan,NA,nan,nan,8,nan,sgd,NA,0.0356489945155393,68.03182554244995
1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,33,sqrt,5,22,nan,nan,NA,NA,0.6014625228519196,74.54250144958496
1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,auto,1,20,nan,nan,NA,NA,0.5978062157221207,81.20610284805298
0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.38482632541133455,86.10163521766663
0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,98,auto,16,34,nan,nan,NA,NA,0.5648994515539305,92.24212908744812
1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,39,auto,11,2,nan,nan,NA,NA,0.5877513711151737,99.45732712745667
0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.43144424131627057,104.99272155761719
1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,log2,16,19,nan,nan,NA,NA,0.5310786106032906,112.5055639743805
1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,3,log2,17,2,nan,nan,NA,NA,0.5237659963436929,118.21926236152649
0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,87,log2,5,13,nan,nan,NA,NA,0.526508226691042,125.56724166870117
1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,log2,14,23,nan,nan,NA,NA,0.5429616087751371,132.42554688453674
1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,sqrt,1,20,nan,nan,NA,NA,0.42413162705667273,138.29288721084595
0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,auto,16,21,nan,nan,NA,NA,0.520109689213894,144.39030957221985
1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,54,sqrt,15,20,nan,nan,NA,NA,0.5027422303473492,151.75033712387085
0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,24,auto,1,20,nan,nan,NA,NA,0.6343692870201096,159.72167015075684
1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,2,auto,3,3,nan,nan,NA,NA,0.47074954296160876,165.4981505870819
1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,41,sqrt,1,24,nan,nan,NA,NA,0.5420475319926874,173.12246584892273
0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,33,auto,7,23,nan,nan,NA,NA,0.546617915904936,180.40338444709778
0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,13,log2,9,21,nan,nan,NA,NA,0.5557586837294333,186.6173813343048
1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,27,sqrt,7,14,nan,nan,NA,NA,0.5877513711151737,194.31952214241028
0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,52,sqrt,1,14,nan,nan,NA,NA,0.6261425959780622,202.34136724472046
0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,17,sqrt,2,36,nan,nan,NA,NA,0.5411334552102377,209.4621856212616
1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,78,sqrt,1,21,nan,nan,NA,NA,0.6087751371115173,217.0963568687439
0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,sqrt,1,21,nan,nan,NA,NA,0.5365630712979891,223.78550624847412
