feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,42,auto,16,6,nan,nan,NA,NA,0.5054844606946983,7.70757532119751
0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,53,auto,1,4,nan,nan,NA,NA,0.6023765996343693,15.356085062026978
0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,kneighborsClassifier,NA,brute,nan,NA,36,NA,nan,NA,nan,nan,nan,4,NA,distance,0.4351005484460695,20.896716117858887
1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,log2,1,17,nan,nan,NA,NA,0.4689213893967093,27.23185896873474
0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,23,NA,nan,NA,nan,nan,nan,10,NA,distance,0.4606946983546618,32.55784773826599
0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,73,sqrt,3,34,nan,nan,NA,NA,0.5,39.29310870170593
0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,auto,1,30,nan,nan,NA,NA,0.5511882998171846,47.413779973983765
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,81,auto,18,33,nan,nan,NA,NA,0.5712979890310786,54.229907274246216
0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,88,auto,13,8,nan,nan,NA,NA,0.5228519195612431,60.854164838790894
1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,nnClassifier,tanh,NA,31,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.2303473491773309,73.5020055770874
1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,auto,10,15,nan,nan,NA,NA,0.6087751371115173,81.39941620826721
0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,auto,4,40,nan,nan,NA,NA,0.5511882998171846,88.56702303886414
1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.4140767824497258,93.29046273231506
0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,100,auto,5,7,nan,nan,NA,NA,0.4990859232175503,100.44083452224731
1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,72,auto,2,13,nan,nan,NA,NA,0.5694698354661791,109.58279514312744
0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,nnClassifier,identity,NA,10,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.08043875685557587,115.2821319103241
0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,86,auto,16,23,nan,nan,NA,NA,0.5164533820840951,122.26150631904602
1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,49,auto,2,11,nan,nan,NA,NA,0.5411334552102377,132.19545316696167
