feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,nnClassifier,tanh,NA,27,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,0.22394881170018283,30.074946641921997
0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,45,log2,20,19,nan,nan,NA,NA,0.453382084095064,36.58571410179138
1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,44,log2,9,29,nan,nan,NA,NA,0.6361974405850092,44.00767922401428
1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,67,sqrt,4,25,nan,nan,NA,NA,0.6224862888482633,50.95176386833191
0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,31,sqrt,15,23,nan,nan,NA,NA,0.5987202925045704,57.78290772438049
0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,auto,11,10,nan,nan,NA,NA,0.5557586837294333,64.6331627368927
1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.4753199268738574,69.55724334716797
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,95,sqrt,2,31,nan,nan,NA,NA,0.546617915904936,76.88549709320068
1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,nnClassifier,relu,NA,23,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,0.0,81.80066537857056
0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,log2,2,30,nan,nan,NA,NA,0.6051188299817185,88.8744113445282
0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,6,NA,distance,0.3875685557586837,93.78811287879944
1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,44,auto,19,16,nan,nan,NA,NA,0.546617915904936,100.41210603713989
1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,log2,10,7,nan,nan,NA,NA,0.6069469835466179,106.94046354293823
0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,20,auto,1,22,nan,nan,NA,NA,0.5914076782449725,113.18636441230774
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,7,NA,distance,0.4936014625228519,118.59641909599304
0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,81,sqrt,16,26,nan,nan,NA,NA,0.5658135283363802,125.19754362106323
1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,30,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.48171846435100546,129.88716650009155
0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,log2,4,36,nan,nan,NA,NA,0.5484460694698354,136.240962266922
1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,70,sqrt,2,39,nan,nan,NA,NA,0.6179159049360147,142.91339707374573
1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,nnClassifier,identity,NA,25,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,0.17276051188299818,158.2435064315796
1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,auto,13,17,nan,nan,NA,NA,0.5511882998171846,164.52545809745789
1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,55,sqrt,14,25,nan,nan,NA,NA,0.5648994515539305,171.23646998405457
0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,92,auto,5,3,nan,nan,NA,NA,0.6553930530164533,178.1154923439026
0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,95,sqrt,11,18,nan,nan,NA,NA,0.6334552102376599,184.69648122787476
0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,11,sqrt,2,4,nan,nan,NA,NA,0.6288848263254113,192.3232502937317
0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,91,auto,10,5,nan,nan,NA,NA,0.5475319926873857,199.34452891349792
0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,63,log2,20,16,nan,nan,NA,NA,0.5850091407678245,205.563129901886
0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,100,auto,5,22,nan,nan,NA,NA,0.6160877513711152,213.95910692214966
0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,87,sqrt,2,39,nan,nan,NA,NA,0.6124314442413162,221.36530661582947
1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,21,auto,4,2,nan,nan,NA,NA,0.6444241316270567,228.61921048164368
0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,76,log2,9,17,nan,nan,NA,NA,0.5886654478976234,236.12864685058594
0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,auto,6,6,nan,nan,NA,NA,0.649908592321755,243.3006613254547
1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,55,auto,10,27,nan,nan,NA,NA,0.6014625228519196,249.50701355934143
0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,89,auto,17,6,nan,nan,NA,NA,0.576782449725777,256.3526277542114
1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,10,auto,8,27,nan,nan,NA,NA,0.603290676416819,263.5528335571289
