feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,nnClassifier,relu,NA,19,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.2376599634369287,30.705464601516724
1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,nnClassifier,tanh,NA,31,NA,nan,constant,nan,NA,nan,nan,2,nan,lbfgs,NA,0.2687385740402194,42.93011546134949
0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,nnClassifier,relu,NA,16,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.1663619744058501,52.91330933570862
1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,nnClassifier,tanh,NA,17,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,0.3080438756855576,66.36372804641724
1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,nnClassifier,identity,NA,18,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,0.01736745886654479,80.66733860969543
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,nnClassifier,tanh,NA,26,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.29250457038391225,93.66308236122131
1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,nnClassifier,tanh,NA,18,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,0.16544789762340037,127.58301639556885
1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,nnClassifier,relu,NA,10,NA,nan,adaptive,nan,NA,nan,nan,5,nan,lbfgs,NA,0.27513711151736747,138.18598747253418
0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,nnClassifier,identity,NA,30,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,0.031078610603290677,143.78972601890564
1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,23,NA,nan,NA,nan,nan,nan,4,NA,distance,0.5402193784277879,149.26593852043152
