feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9836363636363636,5.907856702804565
0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,sqrt,12,3,nan,nan,NA,NA,0.9145454545454546,12.868364334106445
0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,nnClassifier,identity,NA,30,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,0.014545454545454545,19.60557532310486
1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9890909090909091,24.842451333999634
1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9818181818181818,30.31119966506958
1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,13,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9636363636363636,36.037272691726685
1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9763636363636363,41.53425717353821
0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9872727272727273,47.206342458724976
1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9672727272727273,52.70082664489746
0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,auto,3,8,nan,nan,NA,NA,0.9436363636363636,60.457722663879395
