feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,nnClassifier,tanh,NA,27,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,0.09272727272727273,9.499039649963379
1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,auto,9,19,nan,nan,NA,NA,0.9072727272727272,16.227113962173462
1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,log2,16,11,nan,nan,NA,NA,0.9327272727272727,22.206132650375366
1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,log2,20,29,nan,nan,NA,NA,0.9454545454545454,29.583569049835205
1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,57,sqrt,1,3,nan,nan,NA,NA,0.96,36.294973611831665
0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,nnClassifier,tanh,NA,24,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,0.03272727272727273,45.79174280166626
0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,sqrt,4,16,nan,nan,NA,NA,0.9818181818181818,53.81664061546326
0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,78,sqrt,8,20,nan,nan,NA,NA,0.9618181818181818,60.77229619026184
1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9818181818181818,66.09578275680542
1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9836363636363636,71.21208333969116
0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9745454545454545,76.94741010665894
0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,nnClassifier,identity,NA,31,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.012727272727272728,90.04482817649841
0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9818181818181818,95.22759103775024
0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9854545454545455,100.67893671989441
1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.990909090909091,105.71559023857117
0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9763636363636363,111.2463903427124
0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.98,116.37218403816223
0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9745454545454545,121.46588706970215
1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9818181818181818,127.17559337615967
0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,39,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.98,132.50993824005127
1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,24,auto,5,31,nan,nan,NA,NA,0.9581818181818181,140.3014476299286
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,log2,1,39,nan,nan,NA,NA,0.9636363636363636,147.8741409778595
1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,kneighborsClassifier,NA,brute,nan,NA,24,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9890909090909091,153.27855920791626
1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,82,auto,7,7,nan,nan,NA,NA,0.9545454545454546,159.84226822853088
1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9890909090909091,165.8862340450287
0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,auto,1,21,nan,nan,NA,NA,0.9709090909090909,173.22903442382812
1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,sqrt,8,7,nan,nan,NA,NA,0.9654545454545455,179.52979230880737
1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,nnClassifier,tanh,NA,18,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,0.09272727272727273,199.93465304374695
1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,73,log2,3,37,nan,nan,NA,NA,0.9581818181818181,207.00748896598816
0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,34,log2,11,22,nan,nan,NA,NA,0.9563636363636364,213.94579935073853
0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,sqrt,6,13,nan,nan,NA,NA,0.9672727272727273,221.40964913368225
0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,85,sqrt,1,10,nan,nan,NA,NA,0.9672727272727273,229.37939453125
0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,auto,3,12,nan,nan,NA,NA,0.9654545454545455,235.75065326690674
0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,nnClassifier,relu,NA,27,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,0.09272727272727273,252.31519079208374
1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.990909090909091,257.4268887042999
0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,kneighborsClassifier,NA,brute,nan,NA,11,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.98,262.6160774230957
1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,28,auto,9,15,nan,nan,NA,NA,0.9509090909090909,269.5966703891754
0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,6,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9872727272727273,274.883887052536
0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,24,auto,7,27,nan,nan,NA,NA,0.9709090909090909,282.37916588783264
0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,94,sqrt,8,36,nan,nan,NA,NA,0.9327272727272727,288.9314923286438
1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,log2,8,8,nan,nan,NA,NA,0.9545454545454546,295.1530385017395
0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,auto,7,7,nan,nan,NA,NA,0.88,301.8883831501007
1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,7,sqrt,6,17,nan,nan,NA,NA,0.9090909090909091,308.50536155700684
1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,nnClassifier,identity,NA,12,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.056363636363636366,334.5175766944885
1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,log2,2,26,nan,nan,NA,NA,0.9690909090909091,341.98029088974
0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,5,auto,5,3,nan,nan,NA,NA,0.8854545454545455,348.60300040245056
0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,88,auto,2,36,nan,nan,NA,NA,0.9690909090909091,356.5944995880127
